,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5,slf_6,slf_7,slf_8,slf_9,slf_10,slf_11,slf_12,slf_13,slf_14,slf_15,slf_16,slf_17,slf_18,slf_19,slf_20,slf_21,slf_22,slf_23,slf_24,slf_25,slf_26,slf_27,slf_28,slf_29,slf_30,slf_31,slf_32,slf_33,slf_34,slf_35,slf_36,slf_37,slf_38,slf_39,slf_40,slf_41,slf_42,slf_43,slf_44,slf_45,slf_46,slf_47,slf_48,slf_49,slf_50,slf_51,slf_52,slf_53,slf_54,slf_55,slf_56,slf_57,slf_58,slf_59,slf_60,slf_61,slf_62,slf_63,slf_64,slf_65,slf_66,slf_67,slf_68,slf_69,slf_70,slf_71,slf_72,slf_73,slf_74,slf_75,slf_76,slf_77,slf_78,slf_79,slf_80,slf_81,slf_82,slf_83,slf_84,slf_85,slf_86,slf_87,slf_88,slf_89,slf_90,slf_91,slf_92,slf_93,slf_94,slf_95,slf_96,slf_97,slf_98,slf_99,slf_100,slf_101,slf_102,slf_103,slf_104,slf_105,slf_106,slf_107,slf_108,slf_109,slf_110,slf_111,slf_112,slf_113,slf_114,slf_115,slf_116,slf_117,slf_118,slf_119,slf_120
1482,N,False,0.0,0.0,0.0,0.0,50.405,46.842,0.0,0.0,0.0,0.0,55.673,0.0,27.697,0.0,0.0,0.0,56.419,0.0,55.458,27.075,28.158,28.67,0.0,57.983,53.285,52.601,48.018,51.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1483,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1622,2.8285,0.0,0.0
1484,N,False,3.1372,3.1737,3.1598,3.2839,3.0648,3.1996,3.1216,3.1159,3.3004,3.1314,3.2758,3.1556,3.2258,3.1757,3.2032,3.2916,3.3213,3.4028,3.5854,3.4657,3.5533,3.588,3.4913,3.3591,3.3862,3.4245,3.437,3.2871,3.6522,3.5864,3.4212,3.3507,3.3285,3.5415,3.2567,3.5951,3.7826,3.9245,3.9884,3.8431,3.6381,3.7999,3.9389,3.9502,3.5016,2.7542,2.8353,2.4453,2.4106,3.4845,2.8956,2.9492,3.191,3.1659,2.7386,2.7088,2.8306,2.9492,2.8271,2.6488,2.708,2.7766,2.3721,2.4186,2.572,2.5926,2.4719,2.8375,2.6667,2.6153,2.5087,2.3773,2.5206,2.5327,2.4741,2.4939,0.0,0.0,3.0941,2.4905,2.4905,2.4645,2.352,2.3216,0.0,0.0,0.0,2.303,2.2648,2.4635,0.0,4.5723,4.7142,2.9648,2.8566,3.0841,3.2906,3.0173,1.5052,4.7114,4.6724,4.7679,2.5155,2.8639,2.5039,2.3189,2.312,1.9771,2.2798,2.1093,2.1557,2.1208,2.2849,2.2636,2.1093,1.9951,2.226,0.0,0.0,0.0
1485,N,False,31.523,28.195,31.608,30.706,32.689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.399,72.934,77.614,74.791,75.337,0.0,73.471,72.236,83.698,71.599,86.309,69.928,66.878,71.061,74.791,71.08,71.04,66.066,65.191,71.624,62.471,71.023,75.793,71.595,69.999,70.512,64.536,66.316,61.038,65.456,66.648,62.958,65.948,67.914,69.975,66.29,75.169,87.515,74.327,98.197,85.041,0.0,86.283,77.92,74.177,79.883,81.349,79.883,78.494,75.919,81.349,78.494,75.902,77.143,82.483,87.506,79.05,76.978,80.997,84.054,85.719,82.483,86.318,86.303,83.045,80.983,84.04,85.704,87.461,95.802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1486,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0649,3.0649
1487,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1488,N,False,25.986,26.388,26.766,27.157,28.02,27.494,28.482,29.439,29.152,29.6,29.44,29.145,29.881,29.918,29.461,30.1,30.808,30.793,31.196,31.386,31.696,31.733,31.61,32.148,32.973,33.367,33.314,34.541,33.714,33.224,34.874,35.172,34.992,36.115,36.052,36.184,36.503,37.042,37.538,37.077,37.173,36.973,37.408,37.421,37.678,38.767,38.717,38.66,39.51,39.787,40.155,39.496,40.032,39.187,41.087,41.754,41.943,42.688,42.05,42.108,42.764,43.751,43.27,42.962,44.16,43.907,44.226,44.209,44.197,44.283,43.272,34.775,33.098,34.119,37.202,37.056,37.301,45.558,46.254,46.764,47.782,47.456,27.509,48.256,47.947,48.033,48.301,47.12,46.343,48.154,48.737,48.461,51.534,52.619,53.412,54.743,54.118,56.009,57.878,63.957,61.648,61.417,63.934,63.528,61.919,60.621,57.075,59.672,60.298,58.369,57.331,57.561,62.897,61.92,60.717,72.819,72.014,70.15,66.08,52.04
1489,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7197,2.9238,2.8551,2.952,2.4573,2.5272,2.5394,2.9445,2.7017,2.7176,2.6355,2.7017,2.8461,2.8289,2.4007,2.6582,2.3162,2.1672,2.5461,2.5749,2.303,0.0,1.8313,2.2773,2.4306,2.1603,2.6524,2.735,2.5197,2.7707,2.6151,2.6513,2.8445,2.9509,2.8466,2.9292,0.0,0.0,2.5504,2.8666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490,N,False,25.276,24.973,25.34,26.06,25.986,26.388,26.766,27.157,28.02,27.494,28.482,29.439,29.152,29.6,29.44,29.145,29.881,29.918,29.461,30.1,30.808,30.793,31.196,31.386,31.696,31.733,31.61,32.148,32.973,33.367,33.314,34.541,33.714,33.224,34.874,35.172,34.992,36.115,36.052,36.184,36.503,37.042,37.538,37.077,37.173,36.973,37.408,37.421,37.678,38.767,38.717,38.66,39.51,39.787,40.155,39.496,40.032,39.187,41.087,41.754,41.943,42.688,42.05,42.108,42.764,43.751,43.27,42.962,44.16,43.907,44.226,44.209,44.197,44.283,43.272,34.775,33.098,34.119,37.202,37.056,37.301,45.558,46.254,46.764,47.782,47.456,27.509,48.256,47.947,48.033,48.301,47.12,46.343,48.154,48.737,48.461,51.534,52.619,53.412,54.743,54.118,56.009,57.878,63.957,61.648,61.417,63.934,63.528,61.919,60.621,57.075,59.672,60.298,58.369,57.331,57.561,62.897,61.92,60.717,72.819
1491,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492,N,False,18.027,18.215,18.049,17.966,18.557,18.287,17.921,18.175,18.323,18.847,18.704,19.267,19.865,19.335,19.069,19.509,19.029,19.764,20.696,20.646,23.008,21.886,22.7,24.119,25.509,25.145,24.049,23.039,23.14,23.941,24.865,25.224,26.057,25.786,26.307,26.005,25.682,27.801,28.374,29.273,28.417,29.227,30.419,31.976,30.825,31.818,33.324,34.713,33.649,33.046,33.915,36.165,35.246,36.703,40.236,41.912,41.979,41.412,47.208,46.942,48.464,44.233,48.176,50.688,50.714,0.0,6.2718,6.6769,6.791,6.2445,6.2952,6.8293,6.8293,6.7634,64.429,6.6769,6.6369,5.9166,6.8973,6.9878,7.0587,6.4498,6.8521,7.0928,7.8126,7.7114,8.1232,9.9533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1493,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1854,2.8285,2.8285,2.9255,3.2946,3.1011,3.8192,0.0,3.8803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1494,N,False,2.5108,2.5329,2.5779,2.574,2.507,2.5134,2.5474,0.0,0.0,2.6133,2.5501,2.7054,2.6787,2.6194,2.7068,2.6208,2.5924,2.6167,2.6787,2.6139,2.6983,2.7212,2.8016,2.8662,2.7792,1.7437,0.0,2.6221,0.0,2.7204,2.7513,2.6608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.909,2.9183,0.0,0.0,0.0,0.0,0.0,2.0532,0.0,1.4513,0.0,0.0,0.0,3.0545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6368,2.6727,2.7147,2.6553,2.6801,2.6012,0.0,2.5705,2.4961,0.0,2.6132,2.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495,N,False,0.0,0.0,0.0,0.0,0.0,0.0,3.7161,38.518,34.451,30.31,26.896,21.378,21.332,19.592,18.584,15.624,12.495,13.156,11.874,12.768,13.14,12.409,10.731,10.097,9.8559,10.264,9.9889,9.8194,9.8271,9.5846,9.6475,9.443,9.3946,9.8644,9.7844,10.278,9.8962,9.7857,9.4314,9.4288,9.7039,9.6593,9.4625,9.6459,10.047,9.8613,10.128,10.141,10.252,10.066,10.177,10.136,9.8864,10.017,10.071,10.195,10.012,10.21,10.42,10.193,10.182,9.9588,9.6821,9.7597,10.04,9.8909,9.5632,9.9786,9.9437,9.4712,9.2512,9.282,9.3562,9.3031,9.4925,9.3917,9.3936,9.2734,9.1931,9.2488,9.1071,9.2451,9.2462,9.3104,9.2425,9.428,9.7385,9.6171,9.534,9.5287,9.5019,9.698,9.8702,9.8578,10.098,10.254,10.431,10.644,11.162,11.118,11.195,10.955,11.054,11.228,10.779,10.981,10.877,11.104,11.106,11.503,11.939,12.08,12.412,12.279,12.108,12.276,12.208,12.427,12.352,12.387
