,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10,MEANGBH_11,MEANGBH_12,MEANGBH_13,MEANGBH_14,MEANGBH_15,MEANGBH_16,MEANGBH_17,MEANGBH_18,MEANGBH_19,MEANGBH_20,MEANGBH_21,MEANGBH_22,MEANGBH_23,MEANGBH_24,MEANGBH_25,MEANGBH_26,MEANGBH_27,MEANGBH_28,MEANGBH_29,MEANGBH_30,MEANGBH_31,MEANGBH_32,MEANGBH_33,MEANGBH_34,MEANGBH_35,MEANGBH_36,MEANGBH_37,MEANGBH_38,MEANGBH_39,MEANGBH_40,MEANGBH_41,MEANGBH_42,MEANGBH_43,MEANGBH_44,MEANGBH_45,MEANGBH_46,MEANGBH_47,MEANGBH_48,MEANGBH_49,MEANGBH_50,MEANGBH_51,MEANGBH_52,MEANGBH_53,MEANGBH_54,MEANGBH_55,MEANGBH_56,MEANGBH_57,MEANGBH_58,MEANGBH_59,MEANGBH_60,MEANGBH_61,MEANGBH_62,MEANGBH_63,MEANGBH_64,MEANGBH_65,MEANGBH_66,MEANGBH_67,MEANGBH_68,MEANGBH_69,MEANGBH_70,MEANGBH_71,MEANGBH_72,MEANGBH_73,MEANGBH_74,MEANGBH_75,MEANGBH_76,MEANGBH_77,MEANGBH_78,MEANGBH_79,MEANGBH_80,MEANGBH_81,MEANGBH_82,MEANGBH_83,MEANGBH_84,MEANGBH_85,MEANGBH_86,MEANGBH_87,MEANGBH_88,MEANGBH_89,MEANGBH_90,MEANGBH_91,MEANGBH_92,MEANGBH_93,MEANGBH_94,MEANGBH_95,MEANGBH_96,MEANGBH_97,MEANGBH_98,MEANGBH_99,MEANGBH_100,MEANGBH_101,MEANGBH_102,MEANGBH_103,MEANGBH_104,MEANGBH_105,MEANGBH_106,MEANGBH_107,MEANGBH_108,MEANGBH_109,MEANGBH_110,MEANGBH_111,MEANGBH_112,MEANGBH_113,MEANGBH_114,MEANGBH_115,MEANGBH_116,MEANGBH_117,MEANGBH_118,MEANGBH_119
10,X,True,50.418,50.548,50.835,50.851,50.882,50.874,51.241,50.841,50.822,50.957,50.85,49.984,49.537,49.41,48.913,47.98,47.397,47.303,46.811,46.846,46.787,46.545,46.26,46.382,47.107,46.895,47.502,47.698,48.087,48.517,48.778,48.912,48.875,49.005,48.78,48.739,48.76,48.049,47.935,47.658,47.475,47.148,47.087,46.778,46.342,46.134,45.619,45.532,44.8,44.558,44.652,44.398,44.572,44.706,44.578,44.887,44.785,44.882,45.274,45.182,45.135,45.102,44.988,45.522,45.714,45.459,45.258,45.614,45.677,45.774,45.239,45.377,45.306,44.49,44.488,43.757,43.244,43.179,42.626,42.213,41.695,41.777,41.539,41.461,41.198,41.44,41.177,41.802,41.748,41.605,42.138,42.003,42.49,42.841,42.802,42.919,42.888,42.987,42.374,42.336,42.17,41.847,41.269,40.934,40.593,40.328,40.436,40.35,40.008,39.602,39.393,39.182,39.022,38.681,38.531,38.504,38.596,38.635,38.546
11,X,False,35.407,34.687,34.5,34.861,34.72,34.37,34.753,34.359,34.195,33.888,33.738,33.638,33.322,32.988,33.265,32.69,32.692,32.451,32.192,33.011,32.754,32.878,32.673,32.097,32.952,32.208,33.26,33.008,32.849,32.797,32.583,32.885,32.338,31.786,31.759,32.155,31.854,31.337,31.11,31.14,30.717,30.421,30.442,30.497,30.186,30.281,30.668,30.559,31.376,30.258,30.21,30.318,29.965,29.806,29.792,30.188,29.838,29.521,29.533,29.532,29.437,28.768,29.227,28.937,29.499,29.602,29.203,28.829,28.104,27.861,28.432,27.95,27.96,28.183,27.394,27.448,27.184,26.473,26.929,26.905,26.992,26.789,28.024,27.732,28.16,27.69,29.336,27.61,27.613,26.932,29.083,27.055,26.615,26.979,27.584,27.305,27.269,27.68,27.437,27.579,27.992,28.962,28.788,29.176,28.786,30.135,28.411,29.618,28.852,29.886,29.721,29.662,27.878,26.892,26.389,26.774,28.277,26.823,25.889
12,X,False,49.664,49.558,49.519,49.283,49.522,49.588,49.233,49.592,49.435,49.498,49.816,49.642,49.899,50.117,50.518,50.998,51.345,51.331,51.702,52.217,52.663,52.416,52.822,52.635,52.662,53.192,52.423,52.292,52.107,51.986,51.731,52.242,52.114,51.767,51.671,51.317,51.222,51.239,50.721,50.52,50.352,50.467,50.337,50.864,51.044,51.753,51.833,52.451,53.023,53.258,53.354,53.714,53.93,54.025,53.813,53.981,53.92,54.155,54.422,54.234,53.716,53.487,53.567,53.379,53.664,53.701,53.303,53.433,53.281,53.498,53.536,53.836,54.069,54.559,54.524,54.391,54.704,54.691,55.186,55.012,55.232,55.452,55.507,55.355,55.511,55.442,54.881,54.41,54.051,53.749,53.814,53.5,53.321,53.003,53.139,52.986,53.113,53.047,52.98,53.567,54.176,55.03,55.656,56.061,56.573,56.736,57.279,57.514,57.598,57.739,58.269,58.186,58.116,57.776,57.576,57.224,56.954,56.436,56.65
13,X,False,66.801,67.613,67.692,67.809,68.519,68.463,68.679,68.908,69.229,69.543,69.802,69.759,69.369,68.807,68.474,68.129,67.747,67.382,67.035,66.935,66.742,66.749,66.991,66.966,66.845,66.816,66.969,66.984,66.56,66.693,66.663,66.577,66.732,66.418,66.518,66.546,66.766,66.593,67.01,66.345,66.683,66.721,66.787,66.242,66.392,66.133,66.016,66.145,66.357,66.22,66.83,67.174,67.812,68.099,68.129,68.526,68.134,68.318,68.326,67.97,67.605,67.167,66.765,66.776,66.178,65.288,64.769,64.768,64.183,63.701,63.346,63.599,64.003,64.475,64.915,65.292,65.46,65.578,65.349,65.683,66.782,66.583,66.407,66.644,66.971,67.303,68.086,67.606,67.729,67.551,67.275,67.366,67.938,68.254,68.085,67.779,67.596,67.876,67.768,67.824,67.899,67.654,67.91,67.778,67.495,67.361,66.893,66.855,66.635,66.149,65.231,65.374,64.929,64.576,63.888,63.993,63.818,63.268,63.11
14,X,False,45.517,45.372,45.092,44.697,44.45,44.875,44.8,45.0,44.784,44.252,44.336,44.11,44.392,44.314,44.454,44.454,44.759,44.713,45.057,45.533,45.033,45.115,45.182,45.2,45.041,45.089,45.415,45.358,45.161,45.209,45.339,44.525,44.432,44.158,44.064,43.765,43.398,43.627,43.586,41.97,43.011,43.186,43.217,43.156,43.303,43.258,43.48,43.682,43.805,43.883,43.506,43.482,43.141,42.812,43.224,43.32,43.148,41.543,42.755,42.333,42.627,42.115,41.848,41.51,41.249,40.954,41.118,41.371,41.104,41.277,41.164,40.824,40.985,41.107,40.868,40.734,40.109,40.162,40.462,40.597,41.446,40.907,40.67,40.838,40.915,41.229,41.37,41.121,40.522,40.616,40.554,40.355,40.389,40.336,40.186,39.787,40.257,40.489,40.248,39.851,39.357,39.141,39.055,38.564,38.583,38.59,38.519,38.667,38.525,38.84,39.196,38.634,39.35,38.644,39.743,38.752,38.596,38.531,38.467
15,X,False,57.091,57.434,57.763,58.229,58.611,59.005,59.11,59.437,59.077,59.391,59.427,59.034,59.052,58.475,58.112,58.053,57.975,57.33,57.187,56.875,56.823,56.758,56.726,56.927,57.058,57.434,57.441,57.631,57.531,57.827,58.227,58.261,58.22,58.479,58.5,58.331,58.389,58.464,58.548,58.087,57.923,57.79,57.481,57.509,57.645,57.79,57.931,57.809,57.659,57.704,57.522,57.425,57.18,57.065,57.131,57.151,57.214,57.294,57.662,57.79,57.667,58.378,58.448,58.81,59.207,59.802,59.827,60.094,60.258,60.162,60.11,60.12,60.115,59.852,60.0,59.879,59.401,59.398,59.482,59.086,58.861,58.606,58.204,58.061,57.84,58.019,57.916,57.84,58.064,58.079,58.339,58.068,58.462,58.464,58.521,58.808,58.691,58.553,58.722,58.535,58.558,58.696,58.594,58.408,58.117,58.133,58.275,58.605,58.59,58.612,58.613,58.577,58.478,59.048,59.013,59.183,59.197,59.471,59.725
16,X,False,21.894,22.405,22.366,22.389,22.851,22.67,22.886,22.887,22.363,21.824,22.786,22.991,22.348,23.938,24.573,24.853,25.089,24.465,25.173,26.179,25.767,26.557,25.717,26.221,26.722,27.223,27.397,27.136,26.372,27.237,26.415,25.335,25.161,25.554,25.883,25.08,26.106,26.746,26.46,26.883,27.2,27.155,27.364,27.495,27.538,27.157,27.242,26.807,27.209,27.319,28.37,27.545,27.752,28.517,29.13,29.423,30.65,31.227,32.803,32.801,32.285,32.594,32.591,32.994,32.071,33.748,34.479,33.863,33.775,33.577,32.231,32.488,32.701,31.532,31.924,32.007,31.802,32.499,32.63,31.537,31.901,31.409,31.848,31.804,31.905,30.713,30.665,30.292,30.561,30.053,30.043,30.34,30.173,30.332,31.282,31.86,31.015,32.239,33.939,32.847,33.523,33.195,32.799,32.384,32.198,32.127,31.822,32.723,31.977,31.944,31.555,31.283,29.946,31.001,30.837,31.158,31.13,30.855,30.814
17,X,True,71.381,71.478,69.905,68.576,68.285,69.125,69.235,69.734,70.627,70.777,72.26,74.117,74.55,74.558,75.25,74.655,73.214,71.688,69.807,69.816,68.838,67.007,66.878,66.695,66.325,65.281,65.33,64.983,65.047,64.937,65.242,65.491,66.068,66.363,66.042,65.704,65.99,65.386,65.624,65.278,64.921,64.864,65.648,65.692,65.815,66.587,66.277,66.638,67.641,67.781,68.846,69.438,71.331,71.722,71.958,72.044,71.176,71.103,70.382,69.904,68.952,68.036,66.93,65.876,65.107,64.325,65.178,64.436,64.656,64.527,64.928,65.672,66.87,67.597,68.505,70.856,71.647,72.357,71.759,73.357,72.551,71.992,71.484,69.993,69.18,68.979,67.857,67.001,67.027,66.038,66.079,65.183,64.876,64.816,64.716,64.861,64.983,65.026,64.66,65.645,65.329,66.018,65.59,65.875,66.695,66.266,67.017,67.534,67.526,67.158,68.029,67.84,67.166,67.087,65.146,63.559,62.397,61.014,60.282
18,X,False,34.002,33.589,33.961,34.578,34.815,35.071,35.225,35.254,35.599,35.821,35.833,36.854,37.032,37.741,37.564,38.279,39.045,38.692,38.909,38.899,40.028,39.211,39.719,39.832,39.809,39.453,39.768,38.953,38.737,38.152,38.519,37.922,37.508,37.636,37.681,37.778,37.679,37.691,38.391,38.345,38.412,38.682,39.364,39.309,40.1,40.45,41.017,40.813,40.623,40.628,40.705,41.433,41.513,41.275,40.859,40.84,41.054,41.407,41.529,40.65,40.639,40.98,40.557,40.578,40.332,40.425,40.649,40.223,40.202,40.137,40.414,40.74,40.49,39.199,38.838,38.894,38.86,38.664,38.481,37.721,37.146,36.503,36.409,36.298,36.6,35.805,35.764,35.997,35.845,35.82,36.066,36.37,36.611,37.021,37.123,37.235,37.64,37.739,37.647,37.184,36.673,36.286,36.002,35.693,35.271,34.831,34.461,33.924,33.272,33.247,33.268,32.85,32.7,32.572,32.327,32.46,32.411,32.227,32.395
19,X,False,35.537,35.819,35.407,36.21,36.717,35.913,37.365,36.743,37.661,38.608,38.231,37.941,38.387,38.28,38.633,39.806,40.214,38.898,39.031,40.475,39.374,39.804,39.329,39.598,39.475,39.459,38.476,38.056,38.463,37.627,39.138,37.705,37.865,38.484,38.287,37.989,37.853,37.676,38.218,37.348,37.511,37.319,36.779,37.014,36.453,37.114,37.702,37.361,37.7,38.104,38.345,40.418,38.664,38.41,38.788,39.45,39.367,41.173,40.058,41.555,40.49,41.461,40.782,41.001,41.361,41.25,41.573,42.143,42.043,41.332,41.455,40.459,41.424,42.061,41.389,41.602,40.686,41.958,41.81,41.639,43.097,42.851,43.081,41.364,41.693,42.114,41.963,42.835,44.34,43.298,41.628,43.023,41.811,41.833,41.952,42.723,42.674,44.108,44.051,43.37,44.073,44.433,45.024,44.246,44.144,41.615,41.578,42.447,43.038,42.651,42.469,43.113,40.34,40.583,40.714,40.924,40.359,41.265,41.178
20,X,False,35.53,36.956,35.529,37.085,35.66,35.633,35.436,35.715,36.464,36.837,35.472,35.81,35.88,35.92,35.996,36.631,36.445,36.904,37.018,36.889,36.934,38.079,36.822,36.78,36.883,36.878,36.731,37.033,37.027,37.021,36.915,36.999,36.821,36.695,37.022,37.443,36.954,36.926,37.17,37.062,37.032,36.781,36.8,36.775,36.993,37.125,37.315,37.433,37.681,37.52,37.714,37.963,38.451,38.36,38.594,38.645,38.892,38.904,39.067,39.051,39.084,39.238,39.229,39.389,39.497,38.997,38.971,38.677,38.664,38.415,38.208,38.307,38.399,38.628,39.019,39.21,39.485,39.842,39.883,39.984,40.172,40.232,40.501,40.749,40.705,40.771,40.947,40.738,40.93,40.68,40.508,40.554,40.426,40.279,40.325,40.302,40.312,40.477,40.262,40.295,40.296,40.508,40.659,40.552,40.909,40.931,41.222,41.553,41.831,42.165,42.409,42.811,43.169,43.069,43.204,43.447,43.632,43.709,43.499
21,X,True,49.835,50.002,50.147,50.314,50.554,50.721,50.862,51.038,50.91,50.925,51.035,50.755,50.419,50.164,49.843,49.58,48.977,48.775,48.51,48.201,48.137,47.879,47.872,48.147,48.23,48.388,48.624,48.888,49.13,49.474,49.877,49.719,50.034,49.908,50.484,50.16,50.488,49.982,50.34,50.105,49.844,49.593,49.21,48.808,48.683,48.649,48.4,48.05,48.126,48.025,48.014,48.187,48.038,47.681,47.87,48.001,48.096,48.33,48.466,48.442,48.654,48.731,48.477,48.619,48.475,48.228,47.946,47.721,47.371,46.873,46.755,46.58,46.304,46.352,46.311,45.917,45.739,45.798,45.931,45.93,46.15,46.331,46.622,46.655,46.908,47.064,47.167,47.342,47.377,47.579,47.404,47.493,47.232,47.124,46.849,46.618,46.274,46.144,46.08,45.957,45.946,45.776,45.71,45.477,45.418,45.501,45.322,45.262,45.219,45.117,44.965,45.01,44.857,45.037,45.152,45.05,45.196,45.079,45.322
22,X,False,47.999,47.512,47.682,47.83,47.714,47.685,48.317,48.467,48.996,49.521,49.743,50.439,50.508,51.129,51.965,52.441,52.938,53.217,53.35,53.438,53.913,53.692,53.046,52.918,53.217,52.93,52.284,52.168,51.915,51.915,51.888,52.054,51.981,51.577,51.714,51.757,51.974,52.114,51.84,52.177,51.977,52.118,52.6,52.677,52.708,52.984,53.489,53.235,53.992,53.991,54.541,54.751,55.327,55.751,55.714,55.697,55.899,55.458,55.075,55.37,54.764,54.545,54.252,53.545,53.189,52.3,51.805,51.084,51.004,51.147,51.376,51.264,51.378,51.562,52.118,52.533,52.872,53.711,53.902,55.003,55.473,55.93,56.42,56.509,56.66,56.491,56.734,56.825,56.479,56.37,56.172,56.706,56.547,56.718,56.271,56.32,56.616,56.737,57.087,56.9,57.37,57.386,57.021,57.136,57.182,56.958,57.039,57.354,57.455,56.984,57.205,56.802,56.406,55.87,55.41,55.454,54.948,54.082,54.164
23,X,False,54.681,54.694,54.308,54.097,54.124,53.877,53.801,53.757,53.821,53.712,53.855,53.767,53.91,53.843,53.816,53.968,53.995,53.894,53.579,53.083,53.406,53.116,52.729,52.277,51.73,51.56,51.332,50.886,50.646,49.566,49.283,49.042,48.914,49.215,49.279,49.162,49.432,49.737,49.822,50.044,50.448,50.458,50.92,51.378,51.565,51.666,51.631,51.931,51.967,52.122,52.002,52.025,51.951,51.951,51.613,51.372,51.507,51.368,51.051,50.713,50.6,50.416,50.411,50.288,50.308,50.196,50.207,50.094,50.166,50.064,50.07,50.315,50.419,50.371,50.758,50.533,50.729,50.896,50.602,50.589,50.15,50.008,49.73,49.587,49.056,48.882,48.45,48.254,47.818,47.426,47.192,46.891,46.607,46.511,46.486,46.45,46.346,46.384,46.667,46.726,47.33,47.563,47.767,48.274,48.205,48.687,48.565,48.966,49.027,49.263,49.405,49.482,49.809,49.713,49.694,49.493,49.281,49.388,49.202
