,FLARE_TYPE,COINCIDENCE,R_VALUE_1,R_VALUE_2,R_VALUE_3,R_VALUE_4,R_VALUE_5,R_VALUE_6,R_VALUE_7,R_VALUE_8,R_VALUE_9,R_VALUE_10,R_VALUE_11,R_VALUE_12,R_VALUE_13,R_VALUE_14,R_VALUE_15,R_VALUE_16,R_VALUE_17,R_VALUE_18,R_VALUE_19,R_VALUE_20,R_VALUE_21,R_VALUE_22,R_VALUE_23,R_VALUE_24,R_VALUE_25,R_VALUE_26,R_VALUE_27,R_VALUE_28,R_VALUE_29,R_VALUE_30,R_VALUE_31,R_VALUE_32,R_VALUE_33,R_VALUE_34,R_VALUE_35,R_VALUE_36,R_VALUE_37,R_VALUE_38,R_VALUE_39,R_VALUE_40,R_VALUE_41,R_VALUE_42,R_VALUE_43,R_VALUE_44,R_VALUE_45,R_VALUE_46,R_VALUE_47,R_VALUE_48,R_VALUE_49,R_VALUE_50,R_VALUE_51,R_VALUE_52,R_VALUE_53,R_VALUE_54,R_VALUE_55,R_VALUE_56,R_VALUE_57,R_VALUE_58,R_VALUE_59,R_VALUE_60,R_VALUE_61,R_VALUE_62,R_VALUE_63,R_VALUE_64,R_VALUE_65,R_VALUE_66,R_VALUE_67,R_VALUE_68,R_VALUE_69,R_VALUE_70,R_VALUE_71,R_VALUE_72,R_VALUE_73,R_VALUE_74,R_VALUE_75,R_VALUE_76,R_VALUE_77,R_VALUE_78,R_VALUE_79,R_VALUE_80,R_VALUE_81,R_VALUE_82,R_VALUE_83,R_VALUE_84,R_VALUE_85,R_VALUE_86,R_VALUE_87,R_VALUE_88,R_VALUE_89,R_VALUE_90,R_VALUE_91,R_VALUE_92,R_VALUE_93,R_VALUE_94,R_VALUE_95,R_VALUE_96,R_VALUE_97,R_VALUE_98,R_VALUE_99,R_VALUE_100,R_VALUE_101,R_VALUE_102,R_VALUE_103,R_VALUE_104,R_VALUE_105,R_VALUE_106,R_VALUE_107,R_VALUE_108,R_VALUE_109,R_VALUE_110,R_VALUE_111,R_VALUE_112,R_VALUE_113,R_VALUE_114,R_VALUE_115,R_VALUE_116,R_VALUE_117,R_VALUE_118,R_VALUE_119
42,B,False,2.5973,2.772,2.9378,2.1568,2.2084,2.1923,2.3387,2.501,2.8411,2.0522,0.0,2.251,3.0652,2.6882,2.7988,2.8433,3.1685,3.1089,2.999,3.0668,2.961,3.0102,2.6677,2.9184,3.2219,3.0713,2.8474,2.6815,2.5928,2.8625,3.0472,3.0083,2.9734,2.9569,2.5552,2.7132,2.8668,2.8406,2.4671,2.4529,2.7837,2.6738,2.6724,3.0082,2.687,2.7778,2.7108,2.9383,2.7993,2.6776,3.0934,3.1149,2.8315,3.1367,2.9949,3.0359,2.9558,2.9455,2.7784,3.3343,3.4123,3.1357,3.1381,3.25,2.8059,3.0567,3.0692,3.1613,2.9299,2.9254,2.9549,2.7886,3.2413,3.1877,3.0336,3.1699,3.2797,3.4192,3.2695,3.2024,3.1667,2.8972,2.8674,2.7657,2.6457,2.4085,2.4436,1.9388,2.6559,2.8226,2.6913,2.7596,3.1733,2.5565,2.5567,3.1682,3.0225,2.9629,3.0566,3.1024,3.0027,3.1144,3.053,3.0739,2.9626,2.8819,2.8912,2.8244,2.8192,3.1466,3.0848,2.8932,3.0454,3.3883,3.1291,3.0141,3.0515,2.875,3.1506
43,B,False,1.9946,1.9886,1.9857,1.6867,1.6887,2.128,1.67,0.0,1.6334,1.6085,0.0,0.0,0.0,0.0,0.0,0.0,1.6119,1.6307,1.6202,1.9023,1.8924,0.0,1.578,1.5834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6765,1.6733,0.0,0.0,1.5619,1.5532,2.4599,2.091,2.6287,0.0,2.1579,2.0523,2.4547,2.6785,2.2781,3.0584,3.0607,2.9136,2.8962,2.7277,2.652,3.064,2.8522,2.7136,3.1488,3.2764,3.2053,3.439,3.3572,3.2587,3.3892,3.3225,3.228,3.2386,3.495,3.3557,3.2637,3.1735,2.8329,2.7592,3.0988,3.3228,2.8784,3.4849,3.5353,3.2722,3.1474,2.8327,3.4053,3.4956,3.3703,3.4096,2.957,3.264,2.9632,2.9274,3.4271,3.2345,3.0239,2.9365,3.0527,3.2153,2.983,3.2324,3.2899,3.1321,2.8534,2.901,3.0911,3.1352,2.7386,2.1136,2.6756,2.6737,2.5437,3.0325,0.0,2.2684,3.1102,3.0295,3.1476,3.2507,3.2173,2.2339,2.4126,2.6092
44,B,False,2.7589,3.098,3.2171,2.7354,2.9998,3.3371,2.9929,3.048,3.0612,3.31,3.0744,3.3499,3.3005,3.2602,3.2788,3.5408,2.8066,2.5073,2.6417,2.2665,2.023,1.9994,2.8229,3.2174,2.7017,3.1096,3.0622,2.7918,3.325,2.878,3.093,3.0854,2.7738,3.3836,3.313,3.2954,2.7703,2.4835,2.8055,2.8535,2.1795,3.2494,3.2193,3.2867,3.4029,2.7217,2.8484,3.105,2.9999,2.8075,2.7305,3.0818,3.0297,3.4474,3.2922,3.3295,3.3263,2.8312,3.1147,3.1231,2.9134,3.1394,2.4998,2.6589,2.6104,2.2495,1.949,1.9467,1.9512,3.3486,2.8405,2.0968,2.3886,2.0889,2.5191,2.7182,3.1914,3.3283,2.5352,3.356,3.0989,3.1474,3.277,2.999,2.5752,3.109,2.3337,2.459,2.6675,2.5807,2.7093,2.9887,2.8166,2.6568,3.472,2.7219,2.9366,3.2101,3.203,3.0886,0.0,3.2245,2.4946,2.4897,2.9767,3.1142,3.1094,2.5186,2.9393,2.1824,2.876,3.0244,3.2147,3.0714,2.8315,2.9432,2.9681,2.7297,2.9159
45,B,False,3.7267,3.8303,3.7183,3.7991,3.7998,3.7576,3.8028,3.7891,3.7907,3.8532,3.8144,3.7796,3.7511,3.7194,3.7374,3.7493,3.759,3.8053,3.7406,3.7275,3.651,3.6604,3.6196,3.6558,3.7452,3.7661,3.7493,3.6573,3.6497,3.8029,3.753,3.756,3.7777,3.7183,3.6063,3.7448,3.7738,3.6689,3.7207,3.7384,3.7087,3.7161,3.7448,3.7047,3.7396,3.628,3.6958,3.5908,3.5118,3.5498,3.2708,3.3319,3.6004,3.4807,3.4023,3.4753,3.5651,3.3895,3.4329,3.4547,3.4216,3.4917,3.6076,3.6817,3.5978,3.4846,3.5729,3.6405,3.5939,3.5966,3.5485,3.4671,3.5497,3.4984,3.4988,3.5313,3.5679,3.5555,3.646,3.6497,3.4566,3.4539,3.4299,3.5711,3.5584,3.507,3.4945,3.474,3.4824,3.4669,3.4323,3.471,3.4677,3.4823,3.4916,3.5323,3.4543,3.5194,3.5188,3.5701,3.5426,3.5648,3.5318,3.5162,3.5127,3.6026,3.5773,3.5754,3.4967,3.53,3.5274,3.53,3.5624,3.5595,3.5698,3.6116,3.6127,3.511,3.5524
46,B,False,3.9945,4.0305,4.0638,3.9846,3.8524,3.878,3.9058,3.8724,3.8953,3.9565,3.9528,3.7966,3.8696,3.7322,3.8709,3.8466,3.8673,3.9506,3.9818,3.9617,4.033,3.9784,4.0515,3.9058,4.0567,4.1128,4.0939,4.0009,4.0268,4.054,3.9596,3.9464,3.8922,3.8385,3.8707,3.8205,3.8902,4.0241,4.0458,4.1041,3.9599,3.9831,4.0956,3.9642,4.029,3.9818,4.0759,4.1176,4.0919,4.0152,4.0086,4.0135,4.0474,3.9298,3.9694,3.9862,4.04,4.0691,3.9945,4.0199,4.0476,4.0399,4.1669,4.1705,4.205,4.1215,4.1091,4.0352,4.1206,4.0651,4.0969,4.013,4.0029,4.0348,4.1267,3.991,3.9394,4.0964,4.1033,4.0949,4.1237,4.2259,4.1501,4.0891,4.093,4.1423,4.1732,4.0534,4.0549,4.0846,4.3163,4.3368,4.3534,4.3057,4.3096,4.2855,4.3067,4.3164,4.2899,4.2729,4.2715,4.2982,4.2372,4.3157,4.3486,4.3116,4.2607,4.1839,4.1407,4.0952,4.1792,4.1453,4.1326,4.1351,4.1599,4.1059,4.1043,4.1446,4.129
47,B,False,2.4129,2.2208,2.2263,2.7154,2.6563,2.826,2.7826,0.0,3.0969,3.293,0.0,2.8027,0.0,3.157,0.0,2.5303,2.5257,2.5215,2.5441,2.6706,2.5071,2.5013,2.492,1.9306,0.0,0.0,2.7671,2.8254,2.7712,2.2446,2.9617,2.4501,2.287,2.2862,2.2694,2.2726,2.4675,2.604,2.6939,2.6945,2.6936,2.5866,2.5813,2.0039,2.7072,2.685,2.6768,2.6691,2.7455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7503,2.3709,2.0379,2.0387,2.0518,2.2924,0.0,0.0,2.3454,1.9397,1.9361,1.8,1.8055,2.7056,2.2958,2.5742,3.226,0.0,3.094,3.12,3.182,3.2394,2.6786,2.7446,3.191,3.2111,3.1768,3.3357,3.1368,3.1625,3.0803,2.0655,3.1627,3.1439,3.0999,3.113,1.9825,2.8073,3.1783,3.1335,3.1323,2.7879,1.9886,1.9857,2.7689,2.1501,3.1415,3.0405,3.1805,3.1755,3.1107,3.2342,2.6122,3.1442,3.1057,3.2747,3.0995
48,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6839,2.3611,0.0,0.0,0.0,0.0,0.0,2.3883,2.3855,2.3831,2.5842,2.5931,2.5935,2.7759,2.7763,2.7694,2.5918,2.4724,2.4542,2.4592,2.4658,2.6226,2.7445,2.7392,2.3689,2.6706,2.5778,2.8058,2.8927,2.9783,2.9342,2.7476,2.8206,2.8112,2.8513,2.7848,2.7234,2.5582,2.4298,0.0,0.0,0.0,0.0,1.9589,1.973,0.0,0.0,1.9185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2328,2.2503,2.2442,1.9413,1.9334,1.9392,1.9396,1.9341,2.2039,1.925,1.9356,2.2155,1.9339,1.9295,1.9276,1.9175,1.9195,2.5241,2.5326,2.5268,2.5301,2.5313,2.5389,2.5474,2.5473,2.6683,2.5497,2.5484,2.6007,2.7692,2.7649,2.749,2.5303,2.5304,2.2097,2.2048,2.2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2294,0.0,2.3921,2.2393,2.2423,2.2445,1.9141,1.9081,1.8975,0.0
49,N,False,0.0,3.0322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9311,2.2306,0.0,0.0,0.0,2.8234,0.0,0.0,0.0,0.0,0.0,2.6504,0.0,0.0,0.0,0.0,2.245,2.7187,0.0,0.0,0.0,0.0,0.0,2.7766,1.8893,1.8882,1.8916,1.8902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.307,2.2992,1.8189,1.8174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,N,False,2.1478,2.1426,0.0,0.0,0.0,2.5656,2.7786,0.0,0.0,2.1094,2.1141,0.0,0.0,0.0,2.2037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9375,1.662,1.658,1.6308,1.6285,1.6122,1.5966,1.6185,1.6347,1.6465,1.6281,1.6197,1.6313,1.6212,1.5998,1.8995,2.2033,1.8977,1.8803,0.0,2.0867,2.0954,2.0877,0.0,0.0,0.0,1.5756,1.8614,1.8622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5526,1.5285,0.0,0.0,1.7364,0.0,1.733,0.0,1.8335,1.8212,1.8308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9215,1.9184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
