,name,tss,timepoint,dataset
273,SVM,0.7127814088598402,9,All Flares
274,DART,0.7612563543936093,9,All Flares
275,LDA,0.6518760590656016,9,All Flares
276,KNN,0.7537037037037037,9,Coincidental Flares
277,LR,0.7925925925925926,9,Coincidental Flares
278,RFC,0.828395061728395,9,Coincidental Flares
279,SVM,0.7956790123456791,9,Coincidental Flares
280,DART,0.8253086419753084,9,Coincidental Flares
281,LDA,0.7499999999999999,9,Coincidental Flares
282,KNN,0.6479945873624033,9,Noncoincidental Flares
283,LR,0.7603828376816882,9,Noncoincidental Flares
284,RFC,0.6899820592349327,9,Noncoincidental Flares
285,SVM,0.6361141519187499,9,Noncoincidental Flares
286,DART,0.6891443167305235,9,Noncoincidental Flares
287,LDA,0.6357751018670559,9,Noncoincidental Flares
288,KNN,0.7144113482436836,8,All Flares
289,LR,0.7725664056502379,8,All Flares
290,RFC,0.7686191719125849,8,All Flares
291,SVM,0.7206403432451337,8,All Flares
292,DART,0.7585282426599792,8,All Flares
293,LDA,0.6657087534333045,8,All Flares
294,KNN,0.7732142857142857,8,Coincidental Flares
295,LR,0.7988095238095237,8,Coincidental Flares
296,RFC,0.8327380952380953,8,Coincidental Flares
297,SVM,0.8047619047619047,8,Coincidental Flares
298,DART,0.8267857142857143,8,Coincidental Flares
299,LDA,0.7511904761904762,8,Coincidental Flares
300,KNN,0.6571559452915385,8,Noncoincidental Flares
301,LR,0.7514044310654479,8,Noncoincidental Flares
302,RFC,0.7029026605297791,8,Noncoincidental Flares
303,SVM,0.6447556515353124,8,Noncoincidental Flares
304,DART,0.7018643340677237,8,Noncoincidental Flares
305,LDA,0.6224490834660326,8,Noncoincidental Flares
306,KNN,0.7104743066817371,7,All Flares
307,LR,0.7682535587334347,7,All Flares
308,RFC,0.7726649139187838,7,All Flares
309,SVM,0.7080900781365178,7,All Flares
310,DART,0.7663324979114453,7,All Flares
311,LDA,0.663382311989123,7,All Flares
312,KNN,0.7725146198830409,7,Coincidental Flares
313,LR,0.8017543859649123,7,Coincidental Flares
314,RFC,0.8163742690058479,7,Coincidental Flares
315,SVM,0.795906432748538,7,Coincidental Flares
316,DART,0.8222222222222223,7,Coincidental Flares
317,LDA,0.7473684210526315,7,Coincidental Flares
318,KNN,0.6391712319145947,7,Noncoincidental Flares
319,LR,0.761479842674533,7,Noncoincidental Flares
320,RFC,0.70795336423655,7,Noncoincidental Flares
321,SVM,0.6419700800674252,7,Noncoincidental Flares
322,DART,0.7067614833544036,7,Noncoincidental Flares
323,LDA,0.6240012642225031,7,Noncoincidental Flares
324,KNN,0.7148792270531403,6,All Flares
325,LR,0.7657805383022774,6,All Flares
326,RFC,0.7594616977225674,6,All Flares
327,SVM,0.7120524499654934,6,All Flares
328,DART,0.7604278812974468,6,All Flares
329,LDA,0.6698136645962731,6,All Flares
330,KNN,0.7480225988700565,6,Coincidental Flares
331,LR,0.8090395480225988,6,Coincidental Flares
332,RFC,0.8293785310734463,6,Coincidental Flares
333,SVM,0.8039548022598872,6,Coincidental Flares
334,DART,0.7994350282485877,6,Coincidental Flares
335,LDA,0.7508474576271187,6,Coincidental Flares
336,KNN,0.6187214334009467,6,Noncoincidental Flares
337,LR,0.7433921568627451,6,Noncoincidental Flares
338,RFC,0.715818120351589,6,Noncoincidental Flares
339,SVM,0.635158891142664,6,Noncoincidental Flares
340,DART,0.686945909398242,6,Noncoincidental Flares
341,LDA,0.617551048005409,6,Noncoincidental Flares
342,KNN,0.7084840193060464,5,All Flares
343,LR,0.7441751225629916,5,All Flares
344,RFC,0.7713073385778892,5,All Flares
345,SVM,0.7174092653821306,5,All Flares
346,DART,0.7619401056511993,5,All Flares
347,LDA,0.6565347926880251,5,All Flares
348,KNN,0.7626271186440677,5,Coincidental Flares
349,LR,0.7925235404896422,5,Coincidental Flares
350,RFC,0.812758945386064,5,Coincidental Flares
351,SVM,0.7903389830508475,5,Coincidental Flares
352,DART,0.8069585687382298,5,Coincidental Flares
353,LDA,0.7508568738229756,5,Coincidental Flares
354,KNN,0.6257173053587507,5,Noncoincidental Flares
355,LR,0.7358241672212001,5,Noncoincidental Flares
356,RFC,0.7007835231794992,5,Noncoincidental Flares
357,SVM,0.6395245364752548,5,Noncoincidental Flares
358,DART,0.6984238201484846,5,Noncoincidental Flares
359,LDA,0.6180066804973839,5,Noncoincidental Flares
360,KNN,0.7104732600732601,4,All Flares
361,LR,0.7530124542124543,4,All Flares
362,RFC,0.7637069597069597,4,All Flares
363,SVM,0.7002058608058607,4,All Flares
364,DART,0.7564754578754579,4,All Flares
365,LDA,0.6616417582417581,4,All Flares
366,KNN,0.7644523418990341,4,Coincidental Flares
367,LR,0.8015582285401859,4,Coincidental Flares
368,RFC,0.8069345726262074,4,Coincidental Flares
369,SVM,0.7900400947694551,4,Coincidental Flares
370,DART,0.8203207581556405,4,Coincidental Flares
371,LDA,0.7501731365044652,4,Coincidental Flares
372,KNN,0.6290381708238851,4,Noncoincidental Flares
373,LR,0.7473091458805745,4,Noncoincidental Flares
374,RFC,0.7341987906273622,4,Noncoincidental Flares
375,SVM,0.6374489795918366,4,Noncoincidental Flares
376,DART,0.6970105820105821,4,Noncoincidental Flares
377,LDA,0.6162131519274376,4,Noncoincidental Flares
378,KNN,0.7226627019947256,3,All Flares
379,LR,0.7549634506805432,3,All Flares
380,RFC,0.7589426361528523,3,All Flares
381,SVM,0.6954346094621143,3,All Flares
382,DART,0.7644634418308289,3,All Flares
383,LDA,0.6579270429565125,3,All Flares
384,KNN,0.7377916558244426,3,Coincidental Flares
385,LR,0.7890016480180416,3,Coincidental Flares
386,RFC,0.7971289790961923,3,Coincidental Flares
387,SVM,0.8073380171740827,3,Coincidental Flares
388,DART,0.8145546014398473,3,Coincidental Flares
389,LDA,0.7679417122040072,3,Coincidental Flares
390,KNN,0.633928462764857,3,Noncoincidental Flares
391,LR,0.7572395243832681,3,Noncoincidental Flares
392,RFC,0.7211374396047076,3,Noncoincidental Flares
393,SVM,0.6388897002446237,3,Noncoincidental Flares
394,DART,0.6938119926491172,3,Noncoincidental Flares
395,LDA,0.6131628269256514,3,Noncoincidental Flares
396,KNN,0.7148395757819842,2,All Flares
397,LR,0.7526288763592428,2,All Flares
398,RFC,0.7598227950060409,2,All Flares
399,SVM,0.6987756745871931,2,All Flares
400,DART,0.7554638206470667,2,All Flares
401,LDA,0.6469009262988321,2,All Flares
402,KNN,0.7543178763440861,2,Coincidental Flares
403,LR,0.7868111559139787,2,Coincidental Flares
404,RFC,0.7957997311827957,2,Coincidental Flares
405,SVM,0.7800907258064519,2,Coincidental Flares
406,DART,0.794489247311828,2,Coincidental Flares
407,LDA,0.7587701612903227,2,Coincidental Flares
408,KNN,0.6391305344473863,2,Noncoincidental Flares
409,LR,0.7411741108780616,2,Noncoincidental Flares
410,RFC,0.6979386583227314,2,Noncoincidental Flares
411,SVM,0.6255343900789695,2,Noncoincidental Flares
412,DART,0.6842244610253412,2,Noncoincidental Flares
413,LDA,0.6204134144803952,2,Noncoincidental Flares
414,KNN,0.7110096670247045,1,All Flares
415,LR,0.7455334765485143,1,All Flares
416,RFC,0.7664249910490513,1,All Flares
417,SVM,0.6856784819190835,1,All Flares
418,DART,0.751423200859291,1,All Flares
419,LDA,0.6468492660221984,1,All Flares
420,KNN,0.7771306818181817,1,Coincidental Flares
421,LR,0.7622948232323232,1,Coincidental Flares
422,RFC,0.7946969696969697,1,Coincidental Flares
423,SVM,0.7702178030303028,1,Coincidental Flares
424,DART,0.7940183080808081,1,Coincidental Flares
425,LDA,0.7611268939393939,1,Coincidental Flares
426,KNN,0.6456836695642666,1,Noncoincidental Flares
427,LR,0.7312208189820131,1,Noncoincidental Flares
428,RFC,0.6948586736646436,1,Noncoincidental Flares
429,SVM,0.6174763544912799,1,Noncoincidental Flares
430,DART,0.6742884478705373,1,Noncoincidental Flares
431,LDA,0.5993280848504728,1,Noncoincidental Flares
