,name,tss,timepoint,dataset
195,SVM,0.6529597965226915,10,Noncoincidental Flares
196,DART,0.769240301874182,10,Noncoincidental Flares
197,LDA,0.6057158372552841,10,Noncoincidental Flares
198,KNN,0.7802626394922908,11,All Flares
199,LR,0.8026293231961836,11,All Flares
200,RFC,0.8235324026748445,11,All Flares
201,SVM,0.7351022765993694,11,All Flares
202,DART,0.8172227723826562,11,All Flares
203,LDA,0.6666435066871114,11,All Flares
204,KNN,0.8074805194805195,11,Coincidental Flares
205,LR,0.8154978354978355,11,Coincidental Flares
206,RFC,0.8426493506493508,11,Coincidental Flares
207,SVM,0.8112150072150072,11,Coincidental Flares
208,DART,0.843059163059163,11,Coincidental Flares
209,LDA,0.8141067821067822,11,Coincidental Flares
210,KNN,0.7199666750211182,11,Noncoincidental Flares
211,LR,0.7956166977637916,11,Noncoincidental Flares
212,RFC,0.7800969116377509,11,Noncoincidental Flares
213,SVM,0.6659556100142028,11,Noncoincidental Flares
214,DART,0.7685371355370519,11,Noncoincidental Flares
215,LDA,0.6027792475423989,11,Noncoincidental Flares
216,KNN,0.7700474912684214,12,All Flares
217,LR,0.7928986710963456,12,All Flares
218,RFC,0.8250859847516824,12,All Flares
219,SVM,0.7203733282221652,12,All Flares
220,DART,0.8121933299258881,12,All Flares
221,LDA,0.6467669200954084,12,All Flares
222,KNN,0.795047619047619,12,Coincidental Flares
223,LR,0.8130562770562769,12,Coincidental Flares
224,RFC,0.8325194805194804,12,Coincidental Flares
225,SVM,0.8096450216450217,12,Coincidental Flares
226,DART,0.8364271284271284,12,Coincidental Flares
227,LDA,0.7781702741702741,12,Coincidental Flares
228,KNN,0.7161997456533643,12,Noncoincidental Flares
229,LR,0.7963695266739071,12,Noncoincidental Flares
230,RFC,0.7857960399899748,12,Noncoincidental Flares
231,SVM,0.6704665497043453,12,Noncoincidental Flares
232,DART,0.7701927093486312,12,Noncoincidental Flares
233,LDA,0.6118289750944518,12,Noncoincidental Flares
234,KNN,0.7669714732941476,13,All Flares
235,LR,0.80194756793594,13,All Flares
236,RFC,0.8113047320896158,13,All Flares
237,SVM,0.7239098837209301,13,All Flares
238,DART,0.8108556414515717,13,All Flares
239,LDA,0.647009168157424,13,All Flares
240,KNN,0.7897489177489176,13,Coincidental Flares
241,LR,0.8153823953823953,13,Coincidental Flares
242,RFC,0.8166349206349207,13,Coincidental Flares
243,SVM,0.8055642135642137,13,Coincidental Flares
244,DART,0.8251024531024529,13,Coincidental Flares
245,LDA,0.7994458874458874,13,Coincidental Flares
246,KNN,0.7108306181365862,13,Noncoincidental Flares
247,LR,0.7910287114650923,13,Noncoincidental Flares
248,RFC,0.7600401941945845,13,Noncoincidental Flares
249,SVM,0.6667079747881218,13,Noncoincidental Flares
250,DART,0.762870496718557,13,Noncoincidental Flares
251,LDA,0.5912561382011938,13,Noncoincidental Flares
252,KNN,0.7707830202742992,14,All Flares
253,LR,0.7995972293210666,14,All Flares
254,RFC,0.8234501448164239,14,All Flares
255,SVM,0.7300438176164918,14,All Flares
256,DART,0.815766355737286,14,All Flares
257,LDA,0.6431712667177784,14,All Flares
258,KNN,0.7862164502164503,14,Coincidental Flares
259,LR,0.7909379509379508,14,Coincidental Flares
260,RFC,0.7964790764790766,14,Coincidental Flares
261,SVM,0.799994227994228,14,Coincidental Flares
262,DART,0.8096161616161616,14,Coincidental Flares
263,LDA,0.7591053391053392,14,Coincidental Flares
264,KNN,0.7195758723439806,14,Noncoincidental Flares
265,LR,0.7956004529969272,14,Noncoincidental Flares
266,RFC,0.7769895198046916,14,Noncoincidental Flares
267,SVM,0.681806789384277,14,Noncoincidental Flares
268,DART,0.7731580755056765,14,Noncoincidental Flares
269,LDA,0.606440353857436,14,Noncoincidental Flares
270,KNN,0.7526008390833974,15,All Flares
271,LR,0.7886460196779964,15,All Flares
272,RFC,0.8153526705852288,15,All Flares
273,SVM,0.7224787567084078,15,All Flares
274,DART,0.8132381910724934,15,All Flares
275,LDA,0.6531383103330779,15,All Flares
276,KNN,0.765893217893218,15,Coincidental Flares
277,LR,0.7905743145743146,15,Coincidental Flares
278,RFC,0.797731601731602,15,Coincidental Flares
279,SVM,0.7749033189033189,15,Coincidental Flares
280,DART,0.8017431457431458,15,Coincidental Flares
281,LDA,0.7719134199134199,15,Coincidental Flares
282,KNN,0.7042658757785885,15,Noncoincidental Flares
283,LR,0.7887066380758768,15,Noncoincidental Flares
284,RFC,0.7678051927557623,15,Noncoincidental Flares
285,SVM,0.6619937434440762,15,Noncoincidental Flares
286,DART,0.7695090367317385,15,Noncoincidental Flares
287,LDA,0.5940790145460285,15,Noncoincidental Flares
288,KNN,0.7641289185620581,16,All Flares
289,LR,0.7916352542806031,16,All Flares
290,RFC,0.8111274384530199,16,All Flares
291,SVM,0.7326880483857228,16,All Flares
292,DART,0.8096936493738819,16,All Flares
293,LDA,0.6460851648351649,16,All Flares
294,KNN,0.7684444444444445,16,Coincidental Flares
295,LR,0.792092352092352,16,Coincidental Flares
296,RFC,0.8065858585858584,16,Coincidental Flares
297,SVM,0.7794574314574313,16,Coincidental Flares
298,DART,0.8024473304473304,16,Coincidental Flares
299,LDA,0.7758210678210677,16,Coincidental Flares
300,KNN,0.7100049198436788,16,Noncoincidental Flares
301,LR,0.7882299702024562,16,Noncoincidental Flares
302,RFC,0.7492532048604341,16,Noncoincidental Flares
303,SVM,0.6615258941583818,16,Noncoincidental Flares
304,DART,0.7618048400122533,16,Noncoincidental Flares
305,LDA,0.5999726159644286,16,Noncoincidental Flares
306,KNN,0.7661451678166794,17,All Flares
307,LR,0.7836730130334781,17,All Flares
308,RFC,0.8008928571428571,17,All Flares
309,SVM,0.7147143070108187,17,All Flares
310,DART,0.8106424099156657,17,All Flares
311,LDA,0.6354922693585484,17,All Flares
312,KNN,0.7449466089466089,17,Coincidental Flares
313,LR,0.773823953823954,17,Coincidental Flares
314,RFC,0.7919653679653679,17,Coincidental Flares
315,SVM,0.7611139971139972,17,Coincidental Flares
316,DART,0.8097662337662336,17,Coincidental Flares
317,LDA,0.7471861471861472,17,Coincidental Flares
318,KNN,0.7001086078698932,17,Noncoincidental Flares
319,LR,0.7845929989696179,17,Noncoincidental Flares
320,RFC,0.7654255664782273,17,Noncoincidental Flares
321,SVM,0.6696854084862663,17,Noncoincidental Flares
322,DART,0.7778555979466614,17,Noncoincidental Flares
323,LDA,0.58736342792429,17,Noncoincidental Flares
324,KNN,0.7526916155549876,18,All Flares
325,LR,0.7768538631910726,18,All Flares
326,RFC,0.8003487307266377,18,All Flares
327,SVM,0.6978386681148308,18,All Flares
328,DART,0.8056087081523128,18,All Flares
329,LDA,0.6350437111338275,18,All Flares
330,KNN,0.7329177489177489,18,Coincidental Flares
331,LR,0.7767734487734489,18,Coincidental Flares
332,RFC,0.7993362193362192,18,Coincidental Flares
333,SVM,0.7568311688311689,18,Coincidental Flares
334,DART,0.778077922077922,18,Coincidental Flares
335,LDA,0.7450562770562769,18,Coincidental Flares
336,KNN,0.7024478542983652,18,Noncoincidental Flares
337,LR,0.7805215962572057,18,Noncoincidental Flares
338,RFC,0.761878637667437,18,Noncoincidental Flares
339,SVM,0.6588250856331281,18,Noncoincidental Flares
340,DART,0.7786488067058399,18,Noncoincidental Flares
341,LDA,0.5932570293426901,18,Noncoincidental Flares
342,KNN,0.7502837763012182,19,All Flares
343,LR,0.7775715563506262,19,All Flares
344,RFC,0.7997582843513076,19,All Flares
