,name,tss_mean,tss_std,hours,dataset
303,DART,0.6996192539854512,0.04981366492747706,17,Noncoincidental Flares
304,RFC,0.7074322860238351,0.03215292073354071,17,Noncoincidental Flares
305,SVM,0.6304875406283857,0.057561884197307206,17,Noncoincidental Flares
306,LR,0.7672869722869724,0.025678317092315515,18,All Flares
307,LDA,0.3958806008806009,0.04024798834687564,18,All Flares
308,KNN,0.7231261331261333,0.024946728819653603,18,All Flares
309,DART,0.7761227661227664,0.03694209807802282,18,All Flares
310,RFC,0.7974125874125875,0.02680441831135053,18,All Flares
311,SVM,0.7178166278166279,0.030324190541357314,18,All Flares
312,LR,0.826190476190476,0.0508879990801073,18,Coincidental Flares
313,LDA,0.6393374741200829,0.0689483478029585,18,Coincidental Flares
314,KNN,0.8415113871635609,0.04940636383978988,18,Coincidental Flares
315,DART,0.8892339544513458,0.04223974597607999,18,Coincidental Flares
316,RFC,0.8939268461007591,0.03451387086034378,18,Coincidental Flares
317,SVM,0.8421325051759836,0.04751823426980757,18,Coincidental Flares
318,LR,0.7006202848158999,0.046035396135844626,18,Noncoincidental Flares
319,LDA,0.2755964070699591,0.06121534272325327,18,Noncoincidental Flares
320,KNN,0.6089619351169203,0.04650810227254831,18,Noncoincidental Flares
321,DART,0.7106339139113356,0.04856774248204872,18,Noncoincidental Flares
322,RFC,0.7334599658736035,0.044186198455968294,18,Noncoincidental Flares
323,SVM,0.6313125784746144,0.04919825827401525,18,Noncoincidental Flares
324,LR,0.7676365066769755,0.041982046983493775,19,All Flares
325,LDA,0.37761365100680244,0.03970021067974942,19,All Flares
326,KNN,0.7093816761276934,0.03185624751502672,19,All Flares
327,DART,0.790664442138531,0.03249167600108322,19,All Flares
328,RFC,0.7905410079554008,0.022298407028526583,19,All Flares
329,SVM,0.7165625614627629,0.035484976974044,19,All Flares
330,LR,0.821824751580849,0.05460928682164002,19,Coincidental Flares
331,LDA,0.6490153568202349,0.09272894712480595,19,Coincidental Flares
332,KNN,0.8688346883468834,0.03747423017957076,19,Coincidental Flares
333,DART,0.9086901535682023,0.040981424510429576,19,Coincidental Flares
334,RFC,0.8964950316169826,0.038027383358425385,19,Coincidental Flares
335,SVM,0.8432339656729901,0.050387789424106745,19,Coincidental Flares
336,LR,0.6994521744975465,0.0413661618206534,19,Noncoincidental Flares
337,LDA,0.18015392888351148,0.05197051245705686,19,Noncoincidental Flares
338,KNN,0.6357565369362101,0.04428599940821302,19,Noncoincidental Flares
339,DART,0.6963332661154802,0.04691320053042583,19,Noncoincidental Flares
340,RFC,0.7068461383343416,0.0482241515243964,19,Noncoincidental Flares
341,SVM,0.6396249243799156,0.04331635799314898,19,Noncoincidental Flares
342,LR,0.7463601049868765,0.03493074732235083,20,All Flares
343,LDA,0.3193322834645669,0.04485348893740158,20,All Flares
344,KNN,0.7084304461942259,0.0310196242352069,20,All Flares
345,DART,0.7887601049868768,0.02394083753190109,20,All Flares
346,RFC,0.8126509186351707,0.030282752058772778,20,All Flares
347,SVM,0.712130183727034,0.036077477568779846,20,All Flares
348,LR,0.836404697380307,0.05740859787379277,20,Coincidental Flares
349,LDA,0.6439927732610661,0.06781815369158192,20,Coincidental Flares
350,KNN,0.8368925022583559,0.05892921508965462,20,Coincidental Flares
351,DART,0.895230352303523,0.03566630415417093,20,Coincidental Flares
352,RFC,0.8987172538392051,0.035939696021271395,20,Coincidental Flares
353,SVM,0.8303884372177055,0.05001233599696982,20,Coincidental Flares
354,LR,0.6816526610644257,0.04829354157749485,20,Noncoincidental Flares
355,LDA,0.16962068160597574,0.06430384583272701,20,Noncoincidental Flares
356,KNN,0.6325933706816058,0.05205204474375015,20,Noncoincidental Flares
357,DART,0.712999533146592,0.04912239950620489,20,Noncoincidental Flares
358,RFC,0.7264507469654529,0.04391693602734618,20,Noncoincidental Flares
359,SVM,0.6287838468720822,0.03218095067572062,20,Noncoincidental Flares
360,LR,0.7560617198535556,0.0355736336746336,21,All Flares
361,LDA,0.2725943382628499,0.044170379741224876,21,All Flares
362,KNN,0.7103397330565887,0.03586447277154373,21,All Flares
363,DART,0.7846147193634869,0.02971490575660555,21,All Flares
364,RFC,0.8060328922713252,0.025220925006775915,21,All Flares
365,SVM,0.7171466459108073,0.031188478514819082,21,All Flares
366,LR,0.8314814814814814,0.04734913953905775,21,Coincidental Flares
367,LDA,0.6675925925925925,0.07757358557974628,21,Coincidental Flares
368,KNN,0.8573148148148146,0.042452365785291345,21,Coincidental Flares
369,DART,0.9080555555555556,0.03768200004739682,21,Coincidental Flares
370,RFC,0.8923148148148149,0.03708573187785733,21,Coincidental Flares
371,SVM,0.8383333333333334,0.03898401065077518,21,Coincidental Flares
372,LR,0.6946038700255568,0.04684909630193234,21,Noncoincidental Flares
373,LDA,0.22526712912255079,0.06822969319383902,21,Noncoincidental Flares
374,KNN,0.6251028355847633,0.03772788554006623,21,Noncoincidental Flares
375,DART,0.6941000365096749,0.050725169263693866,21,Noncoincidental Flares
376,RFC,0.7207046367287332,0.0492071808992924,21,Noncoincidental Flares
377,SVM,0.6253036387976145,0.03442517626610483,21,Noncoincidental Flares
378,LR,0.7304496317415062,0.03697871956178179,22,All Flares
379,LDA,0.14246703492516039,0.05138060623254918,22,All Flares
