,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5,SHRGT45_6,SHRGT45_7,SHRGT45_8,SHRGT45_9,SHRGT45_10,SHRGT45_11,SHRGT45_12,SHRGT45_13,SHRGT45_14,SHRGT45_15,SHRGT45_16,SHRGT45_17,SHRGT45_18,SHRGT45_19,SHRGT45_20,SHRGT45_21,SHRGT45_22,SHRGT45_23,SHRGT45_24,SHRGT45_25,SHRGT45_26,SHRGT45_27,SHRGT45_28,SHRGT45_29,SHRGT45_30,SHRGT45_31,SHRGT45_32,SHRGT45_33,SHRGT45_34,SHRGT45_35,SHRGT45_36,SHRGT45_37,SHRGT45_38,SHRGT45_39,SHRGT45_40,SHRGT45_41,SHRGT45_42,SHRGT45_43,SHRGT45_44,SHRGT45_45,SHRGT45_46,SHRGT45_47,SHRGT45_48,SHRGT45_49,SHRGT45_50,SHRGT45_51,SHRGT45_52,SHRGT45_53,SHRGT45_54,SHRGT45_55,SHRGT45_56,SHRGT45_57,SHRGT45_58,SHRGT45_59,SHRGT45_60,SHRGT45_61,SHRGT45_62,SHRGT45_63,SHRGT45_64,SHRGT45_65,SHRGT45_66,SHRGT45_67,SHRGT45_68,SHRGT45_69,SHRGT45_70,SHRGT45_71,SHRGT45_72,SHRGT45_73,SHRGT45_74,SHRGT45_75,SHRGT45_76,SHRGT45_77,SHRGT45_78,SHRGT45_79,SHRGT45_80,SHRGT45_81,SHRGT45_82,SHRGT45_83,SHRGT45_84,SHRGT45_85,SHRGT45_86,SHRGT45_87,SHRGT45_88,SHRGT45_89,SHRGT45_90,SHRGT45_91,SHRGT45_92,SHRGT45_93,SHRGT45_94,SHRGT45_95,SHRGT45_96,SHRGT45_97,SHRGT45_98,SHRGT45_99,SHRGT45_100,SHRGT45_101,SHRGT45_102,SHRGT45_103,SHRGT45_104,SHRGT45_105,SHRGT45_106,SHRGT45_107,SHRGT45_108,SHRGT45_109,SHRGT45_110,SHRGT45_111,SHRGT45_112,SHRGT45_113,SHRGT45_114,SHRGT45_115
329,M,False,63.323,62.905,62.93,62.906,62.847,62.596,62.699,62.568,62.622,62.518,62.61,62.717,62.422,62.549,62.511,62.444,62.438,62.252,62.593,62.647,62.949,62.888,62.875,62.931,63.068,63.231,63.497,63.451,63.453,63.365,63.306,63.345,63.463,63.26,63.213,63.171,62.888,63.027,63.2,63.12,63.128,62.752,63.002,63.185,63.115,63.022,63.093,62.726,63.13,62.902,62.628,62.787,62.769,62.598,62.872,62.911,63.171,63.214,62.822,62.779,62.712,62.259,62.331,62.009,61.9,61.724,61.74,61.842,62.005,61.951,61.844,61.402,61.741,61.846,62.146,61.885,61.815,62.358,62.541,62.641,62.594,62.735,62.963,62.708,62.838,62.684,63.091,62.515,62.585,62.508,62.586,62.736,62.78,62.558,62.55,62.443,62.512,62.485,62.358,62.487,62.449,62.548,62.416,62.193,62.243,62.271,62.199,62.371,62.139,62.173,62.371,62.413,62.502,62.526,62.231
330,M,False,19.956,17.853,16.55,17.094,16.982,16.693,17.26,16.427,18.976,17.083,16.942,18.671,17.806,18.252,17.785,18.948,19.023,19.361,18.296,17.908,18.335,19.11,17.186,18.293,17.509,17.378,17.04,17.136,16.86,17.903,18.829,16.102,15.575,17.541,17.238,18.338,19.485,18.349,16.156,16.275,15.787,16.346,15.692,15.75,16.594,14.615,15.827,16.359,16.008,16.317,15.043,15.193,14.72,15.18,15.259,15.345,14.132,13.887,14.21,13.773,14.323,14.327,15.042,14.435,14.306,14.504,14.759,14.138,14.679,14.623,14.532,14.775,14.716,14.809,14.664,14.512,15.462,15.807,15.368,14.667,14.977,15.766,16.666,16.149,16.135,15.898,15.609,16.15,15.956,15.525,15.035,14.224,14.092,14.469,14.968,14.397,13.732,13.702,13.973,14.126,13.821,13.794,15.058,14.527,14.739,14.908,15.73,15.373,15.018,14.801,16.304,16.157,15.511,15.043,15.468
331,M,True,23.179,21.964,23.363,23.039,25.03,24.33,25.425,25.577,26.526,27.048,25.062,28.71,27.079,24.785,26.867,27.305,28.151,27.984,28.75,29.02,28.537,28.174,27.819,28.973,30.033,29.757,29.441,29.551,27.936,29.517,28.211,30.013,30.814,32.341,31.38,31.048,31.541,32.132,33.462,35.021,33.804,34.794,33.338,33.158,33.874,34.98,35.853,36.091,37.75,37.6,37.776,39.346,38.117,40.502,40.291,39.749,42.295,42.256,40.673,40.457,41.531,41.793,41.763,40.308,41.392,41.939,42.457,42.456,43.389,42.264,44.964,43.912,42.612,44.936,45.289,45.44,46.366,46.097,46.238,45.444,48.112,47.835,46.533,47.244,47.378,47.03,47.687,47.861,47.483,47.835,47.772,47.228,48.913,49.39,49.161,49.666,50.312,50.744,50.126,48.683,48.466,50.516,48.644,48.378,49.026,48.321,48.55,50.539,50.348,50.234,49.306,49.464,49.047,49.853,49.142
332,M,False,41.793,41.763,40.308,41.392,41.939,42.457,42.456,43.389,42.264,44.964,43.912,42.612,44.936,45.289,45.44,46.366,46.097,46.238,45.444,48.112,47.835,46.533,47.244,47.378,47.03,47.687,47.861,47.483,47.835,47.772,47.228,48.913,49.39,49.161,49.666,50.312,50.744,50.126,48.683,48.466,50.516,48.644,48.378,49.026,48.321,48.55,50.539,50.348,50.234,49.306,49.464,49.047,49.853,49.142,50.597,51.636,49.736,50.416,50.688,50.648,51.003,51.199,51.876,53.301,53.039,51.304,54.363,51.489,52.487,53.648,53.281,53.09,53.349,53.95,53.862,53.323,53.888,53.152,53.531,53.856,54.726,54.142,54.264,54.012,54.86,55.175,55.594,54.287,54.375,54.264,53.854,54.388,54.868,54.501,54.747,54.834,55.432,55.031,55.587,55.486,55.204,54.389,54.535,54.231,55.35,54.476,53.46,54.648,54.709,54.523,55.243,54.681,54.844,54.459,55.277
333,M,True,17.211,17.7,17.818,17.112,17.359,17.351,17.884,18.036,18.119,18.619,18.157,19.515,19.324,19.737,19.626,20.525,20.86,20.033,20.483,21.447,20.51,20.56,20.353,21.286,21.101,21.586,19.69,19.733,20.655,20.442,21.418,21.039,21.703,21.73,22.326,22.306,22.647,22.961,23.493,23.885,23.126,24.336,24.413,24.003,24.756,24.308,23.291,23.684,24.03,25.167,25.286,24.141,24.91,24.817,23.925,23.965,23.967,24.813,25.97,26.299,26.858,26.955,26.975,26.945,27.577,27.77,28.897,28.939,29.016,29.225,29.335,29.474,28.914,29.103,29.453,29.352,30.017,29.83,30.034,29.095,28.832,29.989,28.542,28.172,27.424,27.534,27.175,26.997,28.262,28.006,27.741,28.419,29.034,27.941,27.964,28.887,28.364,27.765,28.221,28.132,28.956,29.732,29.691,30.244,29.23,30.171,29.414,28.704,28.317,28.898,28.774,29.105,29.342,29.41,30.883
334,M,True,23.493,23.885,23.126,24.336,24.413,24.003,24.756,24.308,23.291,23.684,24.03,25.167,25.286,24.141,24.91,24.817,23.925,23.965,23.967,24.813,25.97,26.299,26.858,26.955,26.975,26.945,27.577,27.77,28.897,28.939,29.016,29.225,29.335,29.474,28.914,29.103,29.453,29.352,30.017,29.83,30.034,29.095,28.832,29.989,28.542,28.172,27.424,27.534,27.175,26.997,28.262,28.006,27.741,28.419,29.034,27.941,27.964,28.887,28.364,27.765,28.221,28.132,28.956,29.732,29.691,30.244,29.23,30.171,29.414,28.704,28.317,28.898,28.774,29.105,29.342,29.41,30.883,29.766,31.141,31.391,31.797,30.779,31.698,31.854,31.476,31.751,31.145,32.321,32.254,32.314,32.986,32.986,33.484,33.154,33.058,32.588,32.934,32.825,33.487,34.086,34.143,35.18,34.253,34.662,34.437,34.591,33.952,34.193,34.048,34.555,35.628,34.74,35.129,35.343,35.406
335,M,False,27.175,26.997,28.262,28.006,27.741,28.419,29.034,27.941,27.964,28.887,28.364,27.765,28.221,28.132,28.956,29.732,29.691,30.244,29.23,30.171,29.414,28.704,28.317,28.898,28.774,29.105,29.342,29.41,30.883,29.766,31.141,31.391,31.797,30.779,31.698,31.854,31.476,31.751,31.145,32.321,32.254,32.314,32.986,32.986,33.484,33.154,33.058,32.588,32.934,32.825,33.487,34.086,34.143,35.18,34.253,34.662,34.437,34.591,33.952,34.193,34.048,34.555,35.628,34.74,35.129,35.343,35.406,35.2,35.625,35.818,35.442,35.875,36.706,37.155,37.005,37.391,38.641,38.394,37.922,37.643,38.284,38.345,38.232,39.263,39.006,38.865,39.33,39.882,39.69,39.576,39.464,39.55,40.098,40.263,40.399,40.222,39.695,39.955,40.512,40.5,40.145,40.882,40.682,40.787,40.601,40.329,40.469,40.403,40.702,40.271,40.21,40.438,40.861,40.039,40.541
336,M,True,34.591,33.952,34.193,34.048,34.555,35.628,34.74,35.129,35.343,35.406,35.2,35.625,35.818,35.442,35.875,36.706,37.155,37.005,37.391,38.641,38.394,37.922,37.643,38.284,38.345,38.232,39.263,39.006,38.865,39.33,39.882,39.69,39.576,39.464,39.55,40.098,40.263,40.399,40.222,39.695,39.955,40.512,40.5,40.145,40.882,40.682,40.787,40.601,40.329,40.469,40.403,40.702,40.271,40.21,40.438,40.861,40.039,40.541,40.234,40.277,41.016,41.294,41.55,41.941,42.426,41.894,42.505,42.513,42.699,42.145,42.146,42.401,42.126,41.935,41.737,41.733,42.236,41.49,41.471,41.473,41.563,42.363,42.482,42.528,42.198,42.241,41.923,42.369,42.328,42.808,42.661,42.894,42.72,42.851,42.712,42.66,42.984,42.797,43.041,43.154,43.163,43.127,42.923,41.966,43.268,43.058,42.841,43.362,43.332,43.463,43.901,43.759,44.346,44.406,43.885
337,M,False,41.737,41.733,42.236,41.49,41.471,41.473,41.563,42.363,42.482,42.528,42.198,42.241,41.923,42.369,42.328,42.808,42.661,42.894,42.72,42.851,42.712,42.66,42.984,42.797,43.041,43.154,43.163,43.127,42.923,41.966,43.268,43.058,42.841,43.362,43.332,43.463,43.901,43.759,44.346,44.406,43.885,43.958,43.813,44.158,44.116,44.368,44.606,44.998,45.269,45.922,45.776,46.147,46.381,46.06,46.049,45.802,45.949,46.225,46.333,46.584,46.624,46.692,46.986,46.813,47.089,46.8,47.178,47.628,47.663,47.665,48.207,48.372,48.619,48.368,48.349,48.447,48.708,49.148,49.317,48.792,48.93,48.808,48.847,48.523,48.541,48.466,48.467,48.462,48.844,48.374,48.322,48.769,48.875,48.27,48.743,48.754,49.118,49.146,48.719,48.596,48.771,49.058,49.231,49.215,49.11,49.52,49.51,49.182,49.694,49.998,49.744,50.048,49.628,49.692,49.286
338,M,True,51.127,51.253,51.467,51.662,51.431,51.4,51.329,51.49,51.454,51.557,51.24,51.166,50.797,50.649,50.768,50.72,50.377,50.386,50.157,50.083,50.051,49.955,49.953,50.274,50.565,50.312,50.458,50.576,50.392,50.101,50.136,50.004,50.418,50.142,50.145,50.274,49.829,49.811,50.182,50.347,50.551,50.767,50.685,50.975,51.29,51.585,51.514,51.556,51.609,51.471,51.667,51.796,51.57,51.36,51.342,51.217,50.989,51.053,50.623,50.346,50.099,50.027,50.022,50.695,50.727,51.091,51.211,50.969,51.42,51.309,51.265,51.416,51.67,52.172,52.148,52.222,52.115,52.179,52.512,52.16,51.786,51.728,51.215,51.567,51.369,51.35,51.339,51.741,51.515,50.876,51.269,51.412,51.538,51.183,51.552,51.879,51.843,51.917,52.023,52.568,52.57,52.533,52.461,52.452,52.641,52.626,52.899,52.759,52.688,52.59,52.432,52.587,52.485,52.415,52.215
339,M,False,51.796,51.57,51.36,51.342,51.217,50.989,51.053,50.623,50.346,50.099,50.027,50.022,50.695,50.727,51.091,51.211,50.969,51.42,51.309,51.265,51.416,51.67,52.172,52.148,52.222,52.115,52.179,52.512,52.16,51.786,51.728,51.215,51.567,51.369,51.35,51.339,51.741,51.515,50.876,51.269,51.412,51.538,51.183,51.552,51.879,51.843,51.917,52.023,52.568,52.57,52.533,52.461,52.452,52.641,52.626,52.899,52.759,52.688,52.59,52.432,52.587,52.485,52.415,52.215,52.285,52.14,51.968,51.579,51.789,52.145,52.507,52.983,53.0,53.358,52.955,53.257,53.114,53.253,53.133,53.15,52.82,52.844,52.54,52.443,52.716,52.551,52.066,51.857,52.165,52.53,52.244,51.949,51.912,51.758,51.513,51.243,51.535,51.514,51.284,51.545,51.754,51.538,51.939,52.028,51.719,51.72,51.679,51.65,51.997,51.875,52.294,52.454,52.555,52.665,52.989
340,M,False,29.858,29.724,29.209,29.355,29.085,28.839,28.145,27.085,27.467,27.254,27.074,27.033,26.729,26.403,26.292,27.518,26.225,26.275,26.739,26.454,26.978,27.425,27.393,26.924,26.632,26.287,26.393,25.736,26.475,25.938,25.852,26.573,25.363,26.082,25.607,26.386,25.204,25.09,24.908,25.601,25.49,24.204,24.452,23.943,24.417,24.93,25.622,24.614,24.592,24.193,23.425,23.637,23.848,23.762,23.611,23.369,23.043,22.927,22.681,22.176,22.114,22.191,22.305,22.213,22.258,22.674,22.546,22.64,22.762,22.978,22.668,22.031,21.896,21.904,20.782,21.775,20.99,21.32,21.412,20.573,20.209,20.52,19.474,20.417,19.784,18.937,20.533,20.256,20.663,20.321,20.082,19.231,19.572,19.508,18.628,18.866,18.92,18.292,18.307,17.503,17.649,17.925,17.796,17.876,16.869,17.345,16.599,17.032,17.45,17.829,17.619,17.868,17.47,17.307,17.771
341,M,True,56.022,56.408,56.101,56.795,56.29,56.689,56.136,56.23,56.794,56.791,56.888,57.095,56.991,56.483,56.361,56.103,55.912,55.98,55.732,55.394,55.007,54.942,55.066,55.408,55.741,55.827,55.98,56.04,56.076,55.634,55.846,55.62,55.384,55.618,55.916,55.843,55.653,55.472,54.966,55.166,54.931,54.662,54.48,54.632,54.986,55.18,55.52,55.406,55.907,55.78,56.069,56.192,56.493,56.049,56.41,56.117,56.094,55.812,56.025,56.45,56.39,56.418,56.283,56.235,55.895,55.89,55.943,55.86,55.882,55.623,55.967,56.003,56.201,56.304,56.575,56.553,56.645,56.757,56.617,56.311,56.215,56.346,56.338,56.392,56.387,56.641,56.195,56.801,56.442,56.385,56.543,56.771,56.562,56.434,55.867,56.408,56.515,56.385,56.806,56.385,56.879,57.297,57.493,57.498,57.716,58.09,58.127,58.163,58.057,58.119,58.07,57.894,57.914,57.907,57.854
342,M,True,56.049,56.41,56.117,56.094,55.812,56.025,56.45,56.39,56.418,56.283,56.235,55.895,55.89,55.943,55.86,55.882,55.623,55.967,56.003,56.201,56.304,56.575,56.553,56.645,56.757,56.617,56.311,56.215,56.346,56.338,56.392,56.387,56.641,56.195,56.801,56.442,56.385,56.543,56.771,56.562,56.434,55.867,56.408,56.515,56.385,56.806,56.385,56.879,57.297,57.493,57.498,57.716,58.09,58.127,58.163,58.057,58.119,58.07,57.894,57.914,57.907,57.854,57.223,57.25,56.83,56.849,57.008,57.181,56.977,57.11,56.589,57.244,56.894,57.154,57.412,57.548,57.193,57.217,57.349,56.873,57.087,56.806,56.762,56.694,56.792,56.733,56.732,56.572,56.81,56.931,56.851,56.921,56.863,57.131,57.239,57.467,57.452,57.577,57.344,57.341,57.534,57.357,57.256,56.887,56.684,56.211,55.837,55.502,55.364,56.173,55.923,56.138,56.056,56.302,56.538
343,M,True,11.674,12.268,12.117,11.711,10.117,11.931,12.039,12.332,13.238,14.036,14.487,14.353,12.625,13.027,15.5,15.667,15.962,14.29,12.259,12.643,13.048,12.974,14.252,14.111,14.442,14.212,14.237,15.892,14.447,14.482,13.15,15.876,17.014,14.935,14.307,14.809,14.293,15.031,15.305,14.787,14.643,14.222,15.053,16.099,14.769,15.423,17.179,15.841,16.173,14.592,15.8,15.052,16.771,16.882,15.98,16.687,15.185,16.089,16.523,15.776,13.645,15.376,15.233,14.267,15.463,16.635,15.154,15.684,16.452,16.876,17.639,18.792,19.118,17.483,18.03,18.265,19.189,18.566,18.902,18.764,20.898,20.845,19.44,20.542,20.843,20.812,20.704,21.48,21.98,20.906,22.068,21.301,21.283,22.958,21.697,22.712,21.119,22.584,22.221,21.8,22.333,20.618,19.437,21.229,22.233,21.398,22.829,23.193,23.51,23.291,22.856,22.65,23.077,22.273,22.25
344,M,True,58.09,58.127,58.163,58.057,58.119,58.07,57.894,57.914,57.907,57.854,57.223,57.25,56.83,56.849,57.008,57.181,56.977,57.11,56.589,57.244,56.894,57.154,57.412,57.548,57.193,57.217,57.349,56.873,57.087,56.806,56.762,56.694,56.792,56.733,56.732,56.572,56.81,56.931,56.851,56.921,56.863,57.131,57.239,57.467,57.452,57.577,57.344,57.341,57.534,57.357,57.256,56.887,56.684,56.211,55.837,55.502,55.364,56.173,55.923,56.138,56.056,56.302,56.538,56.5,56.515,56.483,56.568,57.005,57.029,56.761,57.314,56.997,57.153,57.134,57.224,57.193,57.266,57.034,57.177,56.916,56.547,56.439,56.542,56.594,56.503,56.211,56.416,56.449,56.4,56.704,56.593,56.599,56.672,56.363,56.284,56.265,56.514,56.301,56.573,56.381,56.398,56.169,55.532,55.749,55.454,54.801,55.332,55.295,55.391,54.988,55.39,55.449,55.26,55.362,55.359
345,M,True,57.087,56.806,56.762,56.694,56.792,56.733,56.732,56.572,56.81,56.931,56.851,56.921,56.863,57.131,57.239,57.467,57.452,57.577,57.344,57.341,57.534,57.357,57.256,56.887,56.684,56.211,55.837,55.502,55.364,56.173,55.923,56.138,56.056,56.302,56.538,56.5,56.515,56.483,56.568,57.005,57.029,56.761,57.314,56.997,57.153,57.134,57.224,57.193,57.266,57.034,57.177,56.916,56.547,56.439,56.542,56.594,56.503,56.211,56.416,56.449,56.4,56.704,56.593,56.599,56.672,56.363,56.284,56.265,56.514,56.301,56.573,56.381,56.398,56.169,55.532,55.749,55.454,54.801,55.332,55.295,55.391,54.988,55.39,55.449,55.26,55.362,55.359,55.266,55.062,55.343,55.362,55.404,55.287,55.342,55.542,55.319,55.533,55.327,55.491,55.106,54.711,54.823,55.112,55.069,55.067,55.006,54.651,54.726,54.775,54.791,54.966,54.829,54.797,55.12,54.904
346,M,False,56.931,56.851,56.921,56.863,57.131,57.239,57.467,57.452,57.577,57.344,57.341,57.534,57.357,57.256,56.887,56.684,56.211,55.837,55.502,55.364,56.173,55.923,56.138,56.056,56.302,56.538,56.5,56.515,56.483,56.568,57.005,57.029,56.761,57.314,56.997,57.153,57.134,57.224,57.193,57.266,57.034,57.177,56.916,56.547,56.439,56.542,56.594,56.503,56.211,56.416,56.449,56.4,56.704,56.593,56.599,56.672,56.363,56.284,56.265,56.514,56.301,56.573,56.381,56.398,56.169,55.532,55.749,55.454,54.801,55.332,55.295,55.391,54.988,55.39,55.449,55.26,55.362,55.359,55.266,55.062,55.343,55.362,55.404,55.287,55.342,55.542,55.319,55.533,55.327,55.491,55.106,54.711,54.823,55.112,55.069,55.067,55.006,54.651,54.726,54.775,54.791,54.966,54.829,54.797,55.12,54.904,54.801,54.67,54.339,54.522,54.446,54.258,54.077,53.874,53.64
347,M,True,24.17,26.744,24.911,25.505,26.007,24.504,24.854,23.908,22.528,21.739,23.025,24.502,23.139,24.896,24.626,20.895,24.134,22.861,22.663,21.143,23.82,23.534,21.697,21.253,22.585,22.322,22.218,22.797,21.702,24.024,24.589,23.639,22.933,23.669,23.682,24.89,25.134,23.682,23.809,24.885,23.621,24.336,25.5,24.637,23.976,24.5,25.584,25.915,26.688,27.372,28.192,27.056,27.834,26.926,26.702,27.796,27.416,27.697,29.037,29.417,29.833,26.807,24.899,27.321,28.954,28.317,27.591,28.634,28.357,28.163,27.925,28.576,26.619,26.096,27.832,27.076,27.964,29.118,30.273,27.139,27.597,28.99,24.951,25.348,24.589,25.813,25.865,26.554,25.671,26.164,26.298,23.89,24.016,21.678,23.363,23.6,23.539,22.487,21.779,20.928,19.273,19.022,17.82,18.116,20.115,18.93,19.973,21.843,18.394,18.851,18.278,20.394,16.654,18.183,15.996
348,M,True,56.169,55.532,55.749,55.454,54.801,55.332,55.295,55.391,54.988,55.39,55.449,55.26,55.362,55.359,55.266,55.062,55.343,55.362,55.404,55.287,55.342,55.542,55.319,55.533,55.327,55.491,55.106,54.711,54.823,55.112,55.069,55.067,55.006,54.651,54.726,54.775,54.791,54.966,54.829,54.797,55.12,54.904,54.801,54.67,54.339,54.522,54.446,54.258,54.077,53.874,53.64,54.02,53.91,53.65,53.399,53.184,52.796,53.116,53.105,52.884,53.02,52.662,52.752,52.841,52.496,52.642,52.582,52.801,52.601,52.414,52.408,52.319,51.114,50.913,50.694,50.626,50.917,50.46,51.047,51.055,51.07,51.155,51.275,51.421,51.424,51.119,51.084,51.536,51.73,52.081,51.318,51.155,51.171,51.457,51.358,50.936,50.992,50.697,50.779,50.706,50.486,50.341,49.911,49.966,49.565,49.751,49.237,49.517,48.755,49.094,49.063,49.588,49.578,49.258,49.202
349,M,False,55.391,54.988,55.39,55.449,55.26,55.362,55.359,55.266,55.062,55.343,55.362,55.404,55.287,55.342,55.542,55.319,55.533,55.327,55.491,55.106,54.711,54.823,55.112,55.069,55.067,55.006,54.651,54.726,54.775,54.791,54.966,54.829,54.797,55.12,54.904,54.801,54.67,54.339,54.522,54.446,54.258,54.077,53.874,53.64,54.02,53.91,53.65,53.399,53.184,52.796,53.116,53.105,52.884,53.02,52.662,52.752,52.841,52.496,52.642,52.582,52.801,52.601,52.414,52.408,52.319,51.114,50.913,50.694,50.626,50.917,50.46,51.047,51.055,51.07,51.155,51.275,51.421,51.424,51.119,51.084,51.536,51.73,52.081,51.318,51.155,51.171,51.457,51.358,50.936,50.992,50.697,50.779,50.706,50.486,50.341,49.911,49.966,49.565,49.751,49.237,49.517,48.755,49.094,49.063,49.588,49.578,49.258,49.202,49.28,48.924,48.535,49.094,48.824,48.839,48.689
350,M,False,23.139,24.896,24.626,20.895,24.134,22.861,22.663,21.143,23.82,23.534,21.697,21.253,22.585,22.322,22.218,22.797,21.702,24.024,24.589,23.639,22.933,23.669,23.682,24.89,25.134,23.682,23.809,24.885,23.621,24.336,25.5,24.637,23.976,24.5,25.584,25.915,26.688,27.372,28.192,27.056,27.834,26.926,26.702,27.796,27.416,27.697,29.037,29.417,29.833,26.807,24.899,27.321,28.954,28.317,27.591,28.634,28.357,28.163,27.925,28.576,26.619,26.096,27.832,27.076,27.964,29.118,30.273,27.139,27.597,28.99,24.951,25.348,24.589,25.813,25.865,26.554,25.671,26.164,26.298,23.89,24.016,21.678,23.363,23.6,23.539,22.487,21.779,20.928,19.273,19.022,17.82,18.116,20.115,18.93,19.973,21.843,18.394,18.851,18.278,20.394,16.654,18.183,15.996,15.592,13.241,14.405,15.732,14.394,14.351,15.911,15.618,17.259,9.4321,12.865,15.482
351,M,False,55.26,55.362,55.359,55.266,55.062,55.343,55.362,55.404,55.287,55.342,55.542,55.319,55.533,55.327,55.491,55.106,54.711,54.823,55.112,55.069,55.067,55.006,54.651,54.726,54.775,54.791,54.966,54.829,54.797,55.12,54.904,54.801,54.67,54.339,54.522,54.446,54.258,54.077,53.874,53.64,54.02,53.91,53.65,53.399,53.184,52.796,53.116,53.105,52.884,53.02,52.662,52.752,52.841,52.496,52.642,52.582,52.801,52.601,52.414,52.408,52.319,51.114,50.913,50.694,50.626,50.917,50.46,51.047,51.055,51.07,51.155,51.275,51.421,51.424,51.119,51.084,51.536,51.73,52.081,51.318,51.155,51.171,51.457,51.358,50.936,50.992,50.697,50.779,50.706,50.486,50.341,49.911,49.966,49.565,49.751,49.237,49.517,48.755,49.094,49.063,49.588,49.578,49.258,49.202,49.28,48.924,48.535,49.094,48.824,48.839,48.689,48.205,48.123,48.152,48.015
352,M,False,55.062,55.343,55.362,55.404,55.287,55.342,55.542,55.319,55.533,55.327,55.491,55.106,54.711,54.823,55.112,55.069,55.067,55.006,54.651,54.726,54.775,54.791,54.966,54.829,54.797,55.12,54.904,54.801,54.67,54.339,54.522,54.446,54.258,54.077,53.874,53.64,54.02,53.91,53.65,53.399,53.184,52.796,53.116,53.105,52.884,53.02,52.662,52.752,52.841,52.496,52.642,52.582,52.801,52.601,52.414,52.408,52.319,51.114,50.913,50.694,50.626,50.917,50.46,51.047,51.055,51.07,51.155,51.275,51.421,51.424,51.119,51.084,51.536,51.73,52.081,51.318,51.155,51.171,51.457,51.358,50.936,50.992,50.697,50.779,50.706,50.486,50.341,49.911,49.966,49.565,49.751,49.237,49.517,48.755,49.094,49.063,49.588,49.578,49.258,49.202,49.28,48.924,48.535,49.094,48.824,48.839,48.689,48.205,48.123,48.152,48.015,47.729,47.735,47.441,47.701
353,M,False,21.702,24.024,24.589,23.639,22.933,23.669,23.682,24.89,25.134,23.682,23.809,24.885,23.621,24.336,25.5,24.637,23.976,24.5,25.584,25.915,26.688,27.372,28.192,27.056,27.834,26.926,26.702,27.796,27.416,27.697,29.037,29.417,29.833,26.807,24.899,27.321,28.954,28.317,27.591,28.634,28.357,28.163,27.925,28.576,26.619,26.096,27.832,27.076,27.964,29.118,30.273,27.139,27.597,28.99,24.951,25.348,24.589,25.813,25.865,26.554,25.671,26.164,26.298,23.89,24.016,21.678,23.363,23.6,23.539,22.487,21.779,20.928,19.273,19.022,17.82,18.116,20.115,18.93,19.973,21.843,18.394,18.851,18.278,20.394,16.654,18.183,15.996,15.592,13.241,14.405,15.732,14.394,14.351,15.911,15.618,17.259,9.4321,12.865,15.482,11.119,12.201,12.822,15.073,13.816,12.52,14.935,13.636,12.403,11.932,15.914,10.308,14.071,14.215,13.496,12.677
354,M,True,54.829,54.797,55.12,54.904,54.801,54.67,54.339,54.522,54.446,54.258,54.077,53.874,53.64,54.02,53.91,53.65,53.399,53.184,52.796,53.116,53.105,52.884,53.02,52.662,52.752,52.841,52.496,52.642,52.582,52.801,52.601,52.414,52.408,52.319,51.114,50.913,50.694,50.626,50.917,50.46,51.047,51.055,51.07,51.155,51.275,51.421,51.424,51.119,51.084,51.536,51.73,52.081,51.318,51.155,51.171,51.457,51.358,50.936,50.992,50.697,50.779,50.706,50.486,50.341,49.911,49.966,49.565,49.751,49.237,49.517,48.755,49.094,49.063,49.588,49.578,49.258,49.202,49.28,48.924,48.535,49.094,48.824,48.839,48.689,48.205,48.123,48.152,48.015,47.729,47.735,47.441,47.701,47.442,47.564,46.946,47.291,47.495,47.82,47.917,47.84,47.976,47.74,47.738,47.895,47.321,47.626,47.054,47.322,45.748,45.876,46.376,45.438,45.152,45.234,45.865
355,M,True,51.055,51.07,51.155,51.275,51.421,51.424,51.119,51.084,51.536,51.73,52.081,51.318,51.155,51.171,51.457,51.358,50.936,50.992,50.697,50.779,50.706,50.486,50.341,49.911,49.966,49.565,49.751,49.237,49.517,48.755,49.094,49.063,49.588,49.578,49.258,49.202,49.28,48.924,48.535,49.094,48.824,48.839,48.689,48.205,48.123,48.152,48.015,47.729,47.735,47.441,47.701,47.442,47.564,46.946,47.291,47.495,47.82,47.917,47.84,47.976,47.74,47.738,47.895,47.321,47.626,47.054,47.322,45.748,45.876,46.376,45.438,45.152,45.234,45.865,45.144,44.799,44.811,45.193,44.84,44.531,44.565,44.556,43.971,44.573,44.415,44.111,43.785,43.669,43.454,44.156,44.378,44.46,44.567,43.843,43.895,43.452,44.014,43.991,43.859,43.456,43.802,43.301,42.947,43.446,43.527,43.278,43.173,42.677,42.54,42.259,41.909,41.525,41.558,41.406,40.58
