,FLARE_TYPE,COINCIDENCE,MEANSHR_1,MEANSHR_2,MEANSHR_3,MEANSHR_4,MEANSHR_5,MEANSHR_6,MEANSHR_7,MEANSHR_8,MEANSHR_9,MEANSHR_10,MEANSHR_11,MEANSHR_12,MEANSHR_13,MEANSHR_14,MEANSHR_15,MEANSHR_16,MEANSHR_17,MEANSHR_18,MEANSHR_19,MEANSHR_20,MEANSHR_21,MEANSHR_22,MEANSHR_23,MEANSHR_24,MEANSHR_25,MEANSHR_26,MEANSHR_27,MEANSHR_28,MEANSHR_29,MEANSHR_30,MEANSHR_31,MEANSHR_32,MEANSHR_33,MEANSHR_34,MEANSHR_35,MEANSHR_36,MEANSHR_37,MEANSHR_38,MEANSHR_39,MEANSHR_40,MEANSHR_41,MEANSHR_42,MEANSHR_43,MEANSHR_44,MEANSHR_45,MEANSHR_46,MEANSHR_47,MEANSHR_48,MEANSHR_49,MEANSHR_50,MEANSHR_51,MEANSHR_52,MEANSHR_53,MEANSHR_54,MEANSHR_55,MEANSHR_56,MEANSHR_57,MEANSHR_58,MEANSHR_59,MEANSHR_60,MEANSHR_61,MEANSHR_62,MEANSHR_63,MEANSHR_64,MEANSHR_65,MEANSHR_66,MEANSHR_67,MEANSHR_68,MEANSHR_69,MEANSHR_70,MEANSHR_71,MEANSHR_72,MEANSHR_73,MEANSHR_74,MEANSHR_75,MEANSHR_76,MEANSHR_77,MEANSHR_78,MEANSHR_79,MEANSHR_80,MEANSHR_81,MEANSHR_82,MEANSHR_83,MEANSHR_84,MEANSHR_85,MEANSHR_86,MEANSHR_87,MEANSHR_88,MEANSHR_89,MEANSHR_90,MEANSHR_91,MEANSHR_92,MEANSHR_93,MEANSHR_94,MEANSHR_95,MEANSHR_96,MEANSHR_97,MEANSHR_98,MEANSHR_99,MEANSHR_100,MEANSHR_101,MEANSHR_102,MEANSHR_103,MEANSHR_104,MEANSHR_105,MEANSHR_106,MEANSHR_107,MEANSHR_108,MEANSHR_109,MEANSHR_110,MEANSHR_111,MEANSHR_112,MEANSHR_113,MEANSHR_114,MEANSHR_115
10,X,False,35.581,35.609,35.381,35.478,35.56,35.59,0.0,35.929,35.598,35.845,36.055,36.071,36.114,35.745,36.261,36.304,36.743,36.477,36.15,36.395,35.463,36.238,35.804,36.193,36.22,0.0,36.31,36.136,36.437,36.161,35.878,35.227,34.825,34.313,34.243,34.568,33.028,33.311,33.476,34.526,0.0,32.722,32.778,33.01,32.165,31.773,31.313,31.2,30.979,30.148,30.142,29.763,28.932,29.284,29.412,29.321,29.263,0.0,27.915,28.488,27.34,27.142,28.054,27.167,26.112,26.917,26.156,26.264,24.629,24.18,24.968,23.046,22.985,22.722,22.424,22.047,21.26,20.872,20.997,21.835,21.38,21.095,21.737,20.352,21.266,21.233,20.839,21.037,20.829,20.706,21.382,20.417,19.226,19.457,19.816,19.721,18.951,19.035,18.295,18.372,18.516,19.022,19.182,19.345,18.692,20.256,17.894,17.808,18.189,19.112,19.811,20.933,18.899,19.859,18.845
11,X,False,38.599,38.622,38.601,38.657,38.533,38.35,38.432,38.469,38.348,38.462,38.259,38.299,38.307,38.408,38.512,38.316,37.947,38.526,38.727,38.601,38.625,38.66,38.66,38.806,38.781,38.914,38.793,38.917,38.797,38.966,39.064,38.849,38.749,38.778,38.868,38.926,38.933,38.481,38.519,38.858,38.982,38.91,38.903,39.069,39.117,39.496,39.427,39.652,39.642,39.573,39.639,39.479,39.607,39.656,39.492,39.667,39.68,39.648,39.522,39.747,39.587,39.641,39.567,0.0,39.569,39.782,39.84,39.882,39.939,39.952,39.715,39.762,39.358,39.483,39.448,39.612,40.006,39.505,39.478,39.605,39.869,39.986,39.977,39.994,40.107,40.265,40.11,39.926,40.08,40.085,40.181,40.043,40.024,40.0,39.848,39.55,39.416,39.749,39.264,39.523,39.505,39.515,39.392,39.56,39.691,39.851,39.639,39.823,39.982,39.956,39.953,39.766,40.005,40.083,40.22
12,X,False,44.453,44.461,44.499,44.707,44.403,44.668,44.736,44.856,44.889,45.056,44.881,44.9,44.873,45.108,45.008,45.008,45.045,45.167,45.236,44.957,45.065,44.921,44.827,44.805,44.71,44.481,44.234,44.271,44.28,44.181,44.349,44.205,44.096,44.143,43.717,43.898,43.972,44.183,43.981,44.233,44.219,44.105,44.178,44.291,44.165,44.274,44.467,44.431,44.503,44.711,44.651,44.649,44.52,44.51,44.391,44.238,44.252,44.161,44.247,44.04,44.081,44.104,43.93,43.553,43.899,44.041,43.818,43.777,44.027,44.223,44.033,44.074,44.066,44.148,44.096,44.208,44.349,44.411,44.434,44.278,44.27,44.247,44.266,44.135,44.02,43.998,43.828,43.925,43.958,44.178,44.149,43.931,43.775,43.686,43.84,43.701,43.667,43.812,43.883,43.848,43.981,43.881,43.73,43.678,43.961,43.973,43.947,43.715,43.603,43.505,43.759,43.516,43.493,43.335,43.346
13,X,False,32.363,0.0,32.224,32.77,32.398,32.253,32.622,32.553,32.621,32.51,32.578,32.495,32.557,32.395,32.448,32.432,32.718,31.965,31.975,32.067,32.302,32.131,31.866,32.09,32.017,32.013,32.043,31.677,31.461,31.662,31.638,31.62,31.686,31.785,31.579,31.457,31.297,31.5,31.536,32.312,31.436,31.626,30.957,30.993,31.255,31.489,31.471,31.438,31.172,30.868,30.929,30.89,30.922,30.955,30.874,30.865,30.73,31.178,30.783,31.046,30.81,30.646,30.644,30.933,30.826,30.669,30.87,30.69,30.395,30.063,30.01,30.094,30.323,30.309,30.112,30.296,30.119,29.976,29.875,29.821,30.158,29.614,29.823,29.883,29.655,29.365,29.371,29.56,29.315,29.245,29.018,29.424,29.533,29.418,29.131,29.313,29.445,29.402,29.202,29.228,28.94,28.779,28.975,28.985,29.098,28.947,29.192,29.299,29.024,29.187,29.113,29.037,29.384,28.82,29.392
14,X,False,48.282,48.385,48.266,48.143,48.267,48.225,48.382,48.341,48.377,48.202,47.84,47.866,47.792,47.877,48.093,48.139,48.464,48.432,48.498,48.616,48.683,48.603,48.601,48.503,48.474,48.394,48.37,48.442,48.44,48.565,48.546,48.572,48.647,48.554,48.604,48.581,48.572,48.624,48.769,48.827,48.994,49.065,49.075,49.115,49.183,49.186,48.993,48.98,48.984,49.033,49.055,49.124,49.217,49.157,49.236,49.356,49.374,49.411,49.368,49.257,49.334,49.223,49.167,49.107,48.932,48.848,48.801,48.888,49.011,49.239,49.372,49.568,49.697,49.881,49.687,49.767,49.944,50.046,50.03,49.971,50.004,49.874,49.747,49.799,49.783,49.674,49.738,49.645,49.692,49.818,49.546,49.581,49.572,49.533,49.528,49.388,49.326,49.408,49.414,49.432,49.438,49.551,49.454,49.405,49.429,49.374,49.377,49.382,49.444,49.437,49.507,49.606,49.645,49.67,49.575
15,X,False,13.479,13.787,13.292,13.561,14.056,14.961,14.474,13.979,14.844,14.777,15.878,16.541,16.66,17.064,18.713,19.422,20.031,17.934,19.122,19.85,19.95,19.598,18.399,18.536,18.903,18.7,17.977,17.944,17.548,16.211,18.522,16.349,17.743,16.489,17.31,17.177,17.037,17.489,17.834,17.861,17.934,18.94,19.526,19.69,18.972,20.257,20.579,20.354,20.295,21.805,23.193,21.589,22.038,22.213,22.461,23.435,25.149,24.259,24.905,25.094,24.591,25.062,25.237,26.303,26.323,25.902,26.589,26.054,26.846,27.303,27.482,26.659,28.128,27.38,28.393,28.3,28.171,28.572,28.453,28.419,29.399,28.464,28.667,29.252,28.705,28.322,28.574,28.789,28.851,28.256,28.808,28.406,28.125,28.282,29.388,29.308,28.949,28.96,29.521,29.55,29.345,29.548,29.628,28.924,28.718,28.928,28.83,28.539,29.038,28.719,28.747,28.743,28.228,28.074,27.79
16,X,False,26.058,25.632,25.84,26.22,25.925,25.829,25.567,26.004,26.243,25.947,26.262,26.329,25.999,26.325,25.928,26.016,25.744,25.89,25.555,26.012,25.729,25.317,25.645,25.857,24.985,25.575,24.83,24.378,24.588,24.171,24.712,24.627,24.575,24.751,25.11,24.578,24.96,25.411,25.005,24.754,24.968,24.456,24.966,24.822,24.874,25.065,25.091,25.11,25.152,24.54,24.939,25.062,25.029,25.157,25.245,25.045,25.069,25.532,25.571,25.48,25.129,25.44,25.193,25.52,25.412,25.785,26.406,26.056,26.05,25.757,25.807,25.783,26.513,26.054,25.81,25.492,25.501,25.603,25.296,25.35,25.624,25.276,25.267,25.309,25.295,25.495,25.459,25.177,25.682,25.427,25.144,25.252,25.795,25.268,25.343,25.519,25.946,25.882,26.038,26.294,26.666,26.73,26.58,26.451,26.341,26.01,25.872,25.764,25.659,25.883,25.469,25.458,25.395,25.146,25.474
17,X,False,44.793,42.833,42.925,42.74,42.862,42.23,41.619,41.672,41.783,41.516,40.695,41.833,39.894,41.158,39.224,39.725,38.543,38.745,37.681,39.667,39.58,39.136,39.827,39.002,39.896,39.495,38.433,39.446,40.001,39.34,40.291,39.615,39.375,39.933,39.594,39.317,39.52,38.598,39.05,39.4,39.315,39.867,39.242,38.559,39.358,39.451,38.894,39.073,39.32,39.941,39.06,40.233,39.413,39.509,40.141,39.99,39.636,39.594,39.332,39.814,38.988,39.067,38.659,38.883,38.749,38.765,39.022,38.583,38.865,38.855,38.648,38.697,38.929,38.214,38.58,38.256,37.798,37.211,37.781,36.752,36.893,37.349,37.578,36.319,36.285,36.494,36.458,36.366,36.732,36.228,36.034,36.451,36.535,36.52,36.616,36.779,36.743,37.456,36.115,36.024,35.768,36.067,35.894,35.396,35.447,35.765,35.437,35.181,35.221,35.279,34.075,34.477,34.686,34.599,34.377
18,X,False,38.165,38.071,37.772,38.12,37.459,37.438,37.632,37.434,37.734,37.658,37.028,36.86,36.784,36.717,36.932,36.999,36.778,36.978,37.056,37.183,37.15,37.842,0.0,37.516,37.507,37.426,37.079,37.214,36.762,36.914,36.757,37.022,36.794,0.0,36.823,37.057,36.931,36.81,36.853,36.813,36.633,36.571,36.656,36.451,36.544,36.543,36.89,36.916,36.86,36.871,36.957,36.844,36.766,36.683,37.11,37.072,37.081,37.019,37.119,37.136,36.94,36.881,36.722,36.721,36.674,36.769,36.634,36.749,36.86,36.807,36.859,36.885,36.875,36.9,37.071,37.207,37.178,37.166,37.224,37.083,37.253,37.367,37.223,37.328,37.183,37.133,37.157,37.158,37.093,36.965,37.013,36.913,36.986,36.979,37.046,36.968,36.921,36.92,37.014,37.042,37.075,37.068,37.142,37.183,37.098,37.065,37.055,37.026,37.049,37.157,37.364,37.443,37.463,37.582,37.576
19,X,True,39.494,39.545,39.655,39.563,39.607,39.621,39.605,39.587,39.619,39.605,39.474,39.542,39.538,39.49,39.319,39.188,39.087,39.052,39.027,38.934,38.76,38.707,38.598,38.536,38.537,38.567,38.564,38.552,38.565,38.514,38.606,38.715,38.807,38.906,38.681,38.875,38.899,38.995,38.764,38.58,38.642,38.702,38.722,38.511,38.403,38.27,38.38,38.263,38.245,38.218,38.16,38.188,38.209,38.187,38.184,38.005,37.941,37.83,37.873,37.976,37.829,37.819,37.766,37.76,37.645,37.44,37.389,37.303,37.275,37.186,37.114,36.792,36.79,36.624,36.573,36.46,36.355,36.282,36.358,36.397,36.16,36.359,36.396,36.494,36.596,36.661,36.539,36.373,36.413,36.461,36.322,36.242,36.162,35.984,35.815,35.757,35.796,35.697,35.577,35.53,35.478,35.471,35.515,35.611,35.415,35.454,35.402,35.432,35.391,35.203,35.275,35.171,35.31,35.174,35.095
20,X,False,33.325,33.123,33.325,33.076,33.251,33.19,33.16,33.015,32.857,32.946,32.9,32.868,32.844,32.807,32.776,32.929,32.837,33.168,32.818,32.837,32.554,32.593,32.847,32.965,33.02,33.108,33.238,33.159,33.111,33.336,33.283,33.048,33.252,33.172,33.498,33.574,33.741,33.754,33.721,33.676,33.887,33.748,33.786,33.896,33.829,33.849,33.713,33.977,34.005,33.824,33.825,33.875,33.749,33.908,33.856,33.882,33.908,33.903,33.957,34.187,34.019,34.064,34.099,33.944,34.091,34.122,34.472,34.578,34.558,34.751,35.057,35.021,35.128,35.258,35.427,35.5,35.572,35.519,35.533,35.513,35.409,35.475,35.626,35.712,35.676,35.477,35.662,35.716,35.577,35.865,35.757,35.881,36.058,36.107,36.165,36.001,36.032,35.778,35.824,35.948,35.966,36.056,35.961,35.74,35.818,35.644,35.513,35.557,35.641,35.719,36.01,36.04,36.291,36.422,36.376
21,M,False,34.321,36.054,34.564,34.931,34.115,35.031,33.985,33.368,33.126,33.049,33.635,32.729,31.565,32.273,33.241,33.187,33.955,32.746,32.461,32.921,33.11,32.076,33.094,28.26,32.62,31.917,32.313,31.97,32.251,32.05,32.11,31.889,31.478,31.861,33.318,31.782,33.448,32.401,32.755,32.878,32.55,32.169,32.405,31.657,31.818,32.094,31.804,32.073,32.516,33.147,32.372,31.704,32.015,32.406,31.62,31.165,30.358,30.623,30.866,31.57,31.236,30.822,31.59,32.497,31.703,31.938,32.128,32.669,32.74,33.312,33.564,33.623,33.637,32.583,32.719,32.867,32.388,32.692,32.757,32.238,32.618,32.328,32.234,32.795,33.523,33.329,33.37,33.887,33.615,34.311,33.885,34.403,34.143,34.264,34.433,34.565,34.262,34.383,34.616,34.004,34.037,34.108,34.39,34.585,34.572,34.64,34.249,33.95,34.292,33.945,34.319,34.213,33.973,34.224,34.18
22,M,False,26.255,25.691,25.107,27.569,25.501,29.096,29.509,26.859,25.512,24.963,25.469,28.254,25.547,28.304,29.365,29.036,26.747,25.791,26.731,28.518,28.802,29.644,28.515,25.505,29.026,29.619,29.293,28.281,29.341,29.713,27.699,29.586,29.99,29.571,30.861,29.669,30.392,30.234,28.78,28.421,28.339,28.765,27.328,29.354,29.943,30.237,29.944,29.517,29.475,30.272,29.925,30.561,29.712,30.52,30.719,0.0,31.04,29.715,28.863,28.695,27.506,30.578,31.27,31.119,31.134,30.898,31.615,31.592,31.859,30.854,31.5,31.464,30.312,31.676,32.622,31.638,31.139,32.174,32.823,32.314,32.366,33.302,31.518,31.102,31.58,32.355,31.458,31.28,30.898,32.278,31.062,29.405,31.054,30.838,31.496,30.535,32.129,31.906,32.868,32.631,31.698,33.553,33.545,32.25,34.44,34.976,31.735,31.058,31.033,31.789,35.068,34.506,34.488,33.961,33.242
23,M,False,32.235,31.996,31.719,31.488,31.534,31.573,31.555,31.623,31.623,31.395,31.787,31.955,31.882,31.908,32.022,31.912,32.046,32.241,32.676,32.866,32.934,32.81,32.924,32.774,32.818,32.797,32.498,32.627,32.772,32.271,32.28,32.265,32.158,32.278,32.058,32.054,32.598,32.126,32.137,32.117,32.041,32.108,32.256,32.551,32.756,32.817,32.975,33.335,33.204,33.246,33.652,33.522,33.976,33.582,33.556,33.831,34.017,34.002,34.157,33.902,33.875,33.91,34.03,33.734,34.117,34.099,33.887,33.902,33.98,33.691,33.769,34.093,34.576,34.736,34.469,34.582,34.495,34.531,35.177,35.194,35.359,35.412,35.404,35.772,35.643,35.81,35.62,36.258,35.787,35.68,36.076,35.99,36.087,35.919,36.014,35.995,36.01,36.33,36.38,36.394,36.314,36.399,36.365,36.505,36.558,36.326,36.598,36.86,36.643,36.483,36.674,36.601,36.611,36.388,36.255
24,M,False,26.693,26.689,26.982,27.666,28.139,26.887,27.022,27.307,27.432,27.728,27.874,27.548,28.066,28.809,29.146,29.377,28.629,29.614,29.25,29.333,29.386,29.8,29.988,29.278,29.594,29.759,29.81,29.692,30.249,29.745,30.084,30.197,29.843,29.996,30.813,30.991,30.761,30.945,30.048,30.099,30.158,30.042,30.475,29.899,29.792,29.99,29.744,30.442,30.344,30.426,30.254,30.632,30.68,30.442,30.887,31.277,31.198,31.204,31.253,31.035,31.458,0.0,31.697,31.741,31.58,31.63,31.356,31.665,32.602,32.122,31.698,31.587,32.632,31.877,32.109,32.372,31.258,31.357,31.942,31.836,32.316,31.239,32.599,31.918,33.59,32.173,33.277,32.579,32.959,31.93,32.033,32.757,32.873,32.418,31.992,32.748,33.599,32.998,33.216,33.248,35.377,33.813,32.646,33.234,33.308,32.745,32.553,33.2,34.69,33.563,33.603,33.606,33.3,33.82,33.251
