index,nar,time_start,xray_class,time_peak,time_end
100,11372,2011-12-10 10:48:00,N,not applicable,not applicable
101,11373,2011-12-11 08:00:00,N,not applicable,not applicable
102,11378,2011-12-16 20:00:00,N,not applicable,not applicable
103,11379,2011-12-16 20:00:00,N,not applicable,not applicable
104,11380,2011-12-23 02:00:00,N,not applicable,not applicable
105,11383,2011-12-25 13:24:00,N,not applicable,not applicable
106,11385,2011-12-25 13:24:00,N,not applicable,not applicable
107,11388,2012-01-02 16:36:00,N,not applicable,not applicable
108,11394,2012-01-08 21:36:00,N,not applicable,not applicable
109,11397,2012-01-16 17:48:00,N,not applicable,not applicable
110,11398,2012-01-14 00:12:00,N,not applicable,not applicable
111,11400,2012-01-16 07:36:00,N,not applicable,not applicable
112,11404,2012-01-17 07:12:00,N,not applicable,not applicable
113,11405,2012-01-21 07:12:00,N,not applicable,not applicable
114,11406,2012-01-18 07:12:00,N,not applicable,not applicable
115,11407,2012-01-24 04:24:00,N,not applicable,not applicable
116,11411,2012-02-01 15:12:00,N,not applicable,not applicable
117,11412,2012-01-31 03:12:00,N,not applicable,not applicable
118,11414,2012-02-05 09:12:00,N,not applicable,not applicable
119,11420,2012-02-18 03:24:00,N,not applicable,not applicable
120,11425,2012-02-28 18:24:00,N,not applicable,not applicable
121,11426,2012-02-28 18:24:00,N,not applicable,not applicable
122,11431,2012-03-07 10:36:00,N,not applicable,not applicable
123,11435,2012-03-17 13:00:00,N,not applicable,not applicable
124,11436,2012-03-20 12:24:00,N,not applicable,not applicable
125,11437,2012-03-20 12:24:00,N,not applicable,not applicable
126,11439,2012-03-21 02:24:00,N,not applicable,not applicable
127,11441,2012-03-24 02:00:00,N,not applicable,not applicable
128,11443,2012-03-27 02:00:00,N,not applicable,not applicable
129,11448,2012-04-01 14:36:00,N,not applicable,not applicable
130,11449,2012-03-31 08:36:00,N,not applicable,not applicable
131,11453,2012-04-02 18:36:00,N,not applicable,not applicable
132,11454,2012-04-15 00:36:00,N,not applicable,not applicable
133,11456,2012-04-13 12:36:00,N,not applicable,not applicable
134,11457,2012-04-17 08:24:00,N,not applicable,not applicable
135,11458,2012-04-17 14:12:00,N,not applicable,not applicable
136,11464,2012-04-22 10:12:00,N,not applicable,not applicable
137,11472,2012-05-03 01:12:00,N,not applicable,not applicable
138,11477,2012-05-13 19:24:00,N,not applicable,not applicable
139,11478,2012-05-13 19:24:00,N,not applicable,not applicable
140,11480,2012-05-12 07:24:00,N,not applicable,not applicable
141,11481,2012-05-17 02:36:00,N,not applicable,not applicable
142,11486,2012-05-24 01:24:00,N,not applicable,not applicable
143,11487,2012-05-23 13:24:00,N,not applicable,not applicable
144,11489,2012-05-24 00:12:00,N,not applicable,not applicable
145,11495,2012-06-02 08:00:00,N,not applicable,not applicable
146,11497,2012-06-05 14:00:00,N,not applicable,not applicable
147,11500,2012-06-05 07:00:00,N,not applicable,not applicable
148,11501,2012-06-07 13:00:00,N,not applicable,not applicable
149,11502,2012-06-10 01:00:00,N,not applicable,not applicable
150,11503,2012-06-05 07:00:00,N,not applicable,not applicable
151,11509,2012-06-15 10:48:00,N,not applicable,not applicable
152,11510,2012-06-22 00:36:00,N,not applicable,not applicable
153,11511,2012-06-23 18:36:00,N,not applicable,not applicable
154,11517,2012-07-02 21:00:00,N,not applicable,not applicable
155,11518,2012-07-08 21:00:00,N,not applicable,not applicable
156,11523,2012-07-16 19:36:00,N,not applicable,not applicable
157,11529,2012-07-30 07:36:00,N,not applicable,not applicable
158,11533,2012-08-03 23:12:00,N,not applicable,not applicable
159,11534,2012-08-01 17:12:00,N,not applicable,not applicable
160,11537,2012-08-06 11:00:00,N,not applicable,not applicable
161,11541,2012-08-07 03:24:00,N,not applicable,not applicable
162,11545,2012-08-11 21:24:00,N,not applicable,not applicable
163,11546,2012-08-19 21:24:00,N,not applicable,not applicable
164,11547,2012-08-19 21:24:00,N,not applicable,not applicable
165,11549,2012-08-20 18:12:00,N,not applicable,not applicable
166,11550,2012-08-21 11:12:00,N,not applicable,not applicable
167,11551,2012-08-22 23:12:00,N,not applicable,not applicable
168,11557,2012-09-01 07:00:00,N,not applicable,not applicable
169,11559,2012-09-01 07:00:00,N,not applicable,not applicable
170,11561,2012-09-02 06:00:00,N,not applicable,not applicable
171,11570,2012-09-13 13:36:00,N,not applicable,not applicable
172,11571,2012-09-16 01:00:00,N,not applicable,not applicable
173,11572,2012-09-16 13:00:00,N,not applicable,not applicable
174,11581,2012-09-25 04:36:00,N,not applicable,not applicable
175,11586,2012-10-09 22:24:00,N,not applicable,not applicable
176,11588,2012-10-08 04:24:00,N,not applicable,not applicable
177,11592,2012-10-18 21:36:00,N,not applicable,not applicable
178,11595,2012-10-18 06:48:00,N,not applicable,not applicable
179,11600,2012-10-27 20:24:00,N,not applicable,not applicable
180,11601,2012-10-30 14:24:00,N,not applicable,not applicable
181,11602,2012-11-03 08:24:00,N,not applicable,not applicable
182,11605,2012-11-10 06:00:00,N,not applicable,not applicable
183,11609,2012-11-13 04:24:00,N,not applicable,not applicable
184,11612,2012-11-13 22:24:00,N,not applicable,not applicable
185,11616,2012-11-19 16:24:00,N,not applicable,not applicable
186,11617,2012-11-17 14:12:00,N,not applicable,not applicable
187,11622,2012-11-27 10:00:00,N,not applicable,not applicable
188,11624,2012-11-28 19:00:00,N,not applicable,not applicable
189,11626,2012-12-05 08:36:00,N,not applicable,not applicable
190,11627,2012-12-05 20:36:00,N,not applicable,not applicable
191,11642,2013-01-04 13:24:00,N,not applicable,not applicable
192,11647,2013-01-06 03:24:00,N,not applicable,not applicable
193,11648,2013-01-08 21:24:00,N,not applicable,not applicable
194,11649,2013-01-11 09:24:00,N,not applicable,not applicable
195,11651,2013-01-08 09:24:00,N,not applicable,not applicable
196,11656,2013-01-15 00:00:00,N,not applicable,not applicable
197,11662,2013-01-29 22:48:00,N,not applicable,not applicable
198,11664,2013-01-28 23:24:00,N,not applicable,not applicable
199,11668,2013-02-03 22:24:00,N,not applicable,not applicable
200,11671,2013-02-16 13:48:00,N,not applicable,not applicable
201,11672,2013-02-14 01:48:00,N,not applicable,not applicable
202,11677,2013-02-22 05:36:00,N,not applicable,not applicable
203,11685,2013-03-05 21:24:00,N,not applicable,not applicable
204,11693,2013-03-10 01:24:00,N,not applicable,not applicable
205,11697,2013-03-15 20:12:00,N,not applicable,not applicable
206,11699,2013-03-19 02:12:00,N,not applicable,not applicable
207,11702,2013-03-23 16:48:00,N,not applicable,not applicable
208,11705,2013-03-28 00:24:00,N,not applicable,not applicable
209,11706,2013-03-28 14:00:00,N,not applicable,not applicable
210,11707,2013-04-01 02:00:00,N,not applicable,not applicable
211,11709,2013-03-28 20:00:00,N,not applicable,not applicable
212,11712,2013-04-02 12:36:00,N,not applicable,not applicable
213,11716,2013-04-08 19:12:00,N,not applicable,not applicable
214,11720,2013-04-10 05:36:00,N,not applicable,not applicable
215,11722,2013-04-14 23:36:00,N,not applicable,not applicable
216,11725,2013-04-20 16:12:00,N,not applicable,not applicable
217,11728,2013-04-28 20:48:00,N,not applicable,not applicable
218,11729,2013-04-25 02:48:00,N,not applicable,not applicable
219,11737,2013-05-06 10:24:00,N,not applicable,not applicable
220,11747,2013-05-16 08:48:00,N,not applicable,not applicable
221,11749,2013-05-16 14:48:00,N,not applicable,not applicable
222,11758,2013-06-01 17:36:00,N,not applicable,not applicable
223,11759,2013-06-01 17:36:00,N,not applicable,not applicable
224,11763,2013-06-03 08:48:00,N,not applicable,not applicable
225,11764,2013-06-04 20:48:00,N,not applicable,not applicable
226,11766,2013-06-04 17:12:00,N,not applicable,not applicable
227,11767,2013-06-11 11:12:00,N,not applicable,not applicable
228,11771,2013-06-20 10:00:00,N,not applicable,not applicable
229,11779,2013-06-28 20:12:00,N,not applicable,not applicable
230,11782,2013-07-01 02:36:00,N,not applicable,not applicable
231,11786,2013-07-04 03:00:00,N,not applicable,not applicable
232,11789,2013-07-10 22:00:00,N,not applicable,not applicable
233,11790,2013-07-08 22:00:00,N,not applicable,not applicable
234,11795,2013-07-20 03:12:00,N,not applicable,not applicable
235,11796,2013-07-18 09:12:00,N,not applicable,not applicable
236,11797,2013-07-20 13:24:00,N,not applicable,not applicable
237,11799,2013-07-29 02:00:00,N,not applicable,not applicable
238,11802,2013-07-25 02:00:00,N,not applicable,not applicable
239,11804,2013-07-22 02:00:00,N,not applicable,not applicable
240,11811,2013-08-04 21:00:00,N,not applicable,not applicable
241,11812,2013-08-01 15:00:00,N,not applicable,not applicable
242,11814,2013-08-13 09:00:00,N,not applicable,not applicable
243,11815,2013-08-06 05:48:00,N,not applicable,not applicable
244,11816,2013-08-14 20:12:00,N,not applicable,not applicable
245,11821,2013-08-16 08:12:00,N,not applicable,not applicable
246,11822,2013-08-18 08:12:00,N,not applicable,not applicable
247,11826,2013-08-22 20:00:00,N,not applicable,not applicable
248,11831,2013-08-24 11:48:00,N,not applicable,not applicable
249,11832,2013-08-24 11:48:00,N,not applicable,not applicable
250,11833,2013-08-24 11:48:00,N,not applicable,not applicable
251,11835,2013-09-01 18:48:00,N,not applicable,not applicable
252,11839,2013-09-11 00:48:00,N,not applicable,not applicable
253,11840,2013-09-07 13:12:00,N,not applicable,not applicable
254,11842,2013-09-12 23:24:00,N,not applicable,not applicable
255,11843,2013-09-20 04:24:00,N,not applicable,not applicable
256,11848,2013-09-24 04:48:00,N,not applicable,not applicable
257,11849,2013-09-24 10:48:00,N,not applicable,not applicable
258,11851,2013-09-27 16:48:00,N,not applicable,not applicable
259,11852,2013-09-24 12:00:00,N,not applicable,not applicable
260,11854,2013-10-01 18:00:00,N,not applicable,not applicable
261,11855,2013-10-04 00:00:00,N,not applicable,not applicable
262,11858,2013-10-01 23:36:00,N,not applicable,not applicable
263,11859,2013-10-06 01:48:00,N,not applicable,not applicable
264,11860,2013-10-10 07:48:00,N,not applicable,not applicable
265,11862,2013-10-07 19:48:00,N,not applicable,not applicable
266,11863,2013-10-11 17:24:00,N,not applicable,not applicable
267,11864,2013-10-13 23:24:00,N,not applicable,not applicable
268,11866,2013-10-09 11:24:00,N,not applicable,not applicable
269,11871,2013-10-19 09:12:00,N,not applicable,not applicable
270,11872,2013-10-20 21:12:00,N,not applicable,not applicable
271,11874,2013-10-21 03:12:00,N,not applicable,not applicable
272,11878,2013-10-21 05:00:00,N,not applicable,not applicable
273,11879,2013-10-25 11:00:00,N,not applicable,not applicable
274,11880,2013-10-22 23:00:00,N,not applicable,not applicable
275,11881,2013-10-28 08:36:00,N,not applicable,not applicable
276,11883,2013-10-31 14:48:00,N,not applicable,not applicable
277,11886,2013-10-31 08:48:00,N,not applicable,not applicable
278,11888,2013-11-01 08:12:00,N,not applicable,not applicable
279,11892,2013-11-09 14:24:00,N,not applicable,not applicable
280,11896,2013-11-16 14:12:00,N,not applicable,not applicable
281,11898,2013-11-13 15:24:00,N,not applicable,not applicable
282,11901,2013-11-14 21:36:00,N,not applicable,not applicable
283,11902,2013-11-16 15:36:00,N,not applicable,not applicable
284,11906,2013-11-29 07:48:00,N,not applicable,not applicable
285,11910,2013-11-30 13:48:00,N,not applicable,not applicable
286,11911,2013-12-03 12:24:00,N,not applicable,not applicable
287,11914,2013-12-03 08:24:00,N,not applicable,not applicable
288,11915,2013-12-06 03:48:00,N,not applicable,not applicable
289,11918,2013-12-13 09:48:00,N,not applicable,not applicable
290,11919,2013-12-11 11:12:00,N,not applicable,not applicable
291,11922,2013-12-12 23:12:00,N,not applicable,not applicable
292,11923,2013-12-14 16:36:00,N,not applicable,not applicable
293,11924,2013-12-12 10:36:00,N,not applicable,not applicable
294,11927,2013-12-16 21:48:00,N,not applicable,not applicable
295,11929,2013-12-22 03:48:00,N,not applicable,not applicable
296,11932,2013-12-20 17:00:00,N,not applicable,not applicable
297,11933,2013-12-22 05:00:00,N,not applicable,not applicable
298,11935,2013-12-29 05:00:00,N,not applicable,not applicable
299,11939,2013-12-27 17:00:00,N,not applicable,not applicable
300,11941,2013-12-30 10:48:00,N,not applicable,not applicable
301,11942,2014-01-05 04:48:00,N,not applicable,not applicable
