,FLARE_TYPE,COINCIDENCE,MEANGBZ_1,MEANGBZ_2,MEANGBZ_3,MEANGBZ_4,MEANGBZ_5,MEANGBZ_6,MEANGBZ_7,MEANGBZ_8,MEANGBZ_9,MEANGBZ_10,MEANGBZ_11,MEANGBZ_12,MEANGBZ_13,MEANGBZ_14,MEANGBZ_15,MEANGBZ_16,MEANGBZ_17,MEANGBZ_18,MEANGBZ_19,MEANGBZ_20,MEANGBZ_21,MEANGBZ_22,MEANGBZ_23,MEANGBZ_24,MEANGBZ_25,MEANGBZ_26,MEANGBZ_27,MEANGBZ_28,MEANGBZ_29,MEANGBZ_30,MEANGBZ_31,MEANGBZ_32,MEANGBZ_33,MEANGBZ_34,MEANGBZ_35,MEANGBZ_36,MEANGBZ_37,MEANGBZ_38,MEANGBZ_39,MEANGBZ_40,MEANGBZ_41,MEANGBZ_42,MEANGBZ_43,MEANGBZ_44,MEANGBZ_45
12,X,False,108.75,107.87,108.36,108.35,108.02,106.77,106.34,105.46,104.7,103.97,102.85,101.93,101.33,100.77,100.58,100.54,100.51,101.21,102.57,103.31,103.65,104.08,105.01,105.12,106.48,106.67,106.53,106.57,106.72,106.62,106.62,106.4,106.3,106.37,105.95,106.02,106.22,106.04,105.56,105.46,105.26,105.04,105.77,106.01,106.19
13,X,False,111.59,112.56,112.8,112.67,113.35,112.45,111.65,111.03,110.87,110.41,109.77,109.77,108.65,107.16,107.13,106.75,106.87,106.52,106.24,106.31,105.68,106.06,106.92,107.11,107.91,108.37,108.85,108.92,109.14,109.26,109.66,109.47,109.76,109.6,110.57,109.87,110.1,109.99,110.42,109.35,110.06,110.05,109.24,108.46,108.13
14,X,False,96.496,96.208,95.595,93.899,93.579,94.087,93.799,94.531,94.382,94.035,94.047,93.497,93.815,93.89,93.652,93.252,93.699,94.142,94.228,94.439,94.679,94.968,94.43,94.806,94.827,94.933,94.472,94.563,94.545,93.913,94.29,92.419,92.092,90.832,90.096,89.321,88.787,89.089,88.982,85.209,88.013,88.836,88.825,89.013,88.969
15,X,False,93.251,93.856,94.491,95.612,96.056,97.084,97.943,98.438,98.567,99.413,100.42,100.61,101.11,100.43,99.968,99.687,99.083,98.19,97.668,96.985,96.464,96.444,95.882,95.655,95.689,95.946,95.844,95.379,95.186,95.282,95.888,95.951,95.634,95.795,95.832,95.626,95.801,95.857,95.752,95.314,94.744,94.622,94.561,94.29,94.3
16,X,False,57.567,58.836,57.486,59.755,61.213,63.792,63.621,63.56,64.63,60.09,65.25,66.372,66.156,69.273,76.983,80.221,83.243,73.821,77.744,85.274,82.597,84.294,81.18,82.7,85.805,86.341,83.654,82.248,83.102,76.521,83.081,74.354,77.319,74.248,78.969,77.31,77.154,76.849,76.76,76.86,75.273,79.682,84.203,80.483,77.362
17,X,False,83.497,83.531,82.271,87.454,84.652,86.021,85.058,87.631,87.42,87.692,88.479,91.912,90.747,93.273,91.247,94.25,95.476,94.431,96.744,97.724,98.842,95.62,98.377,100.56,98.825,98.063,99.656,96.773,96.467,93.656,95.108,93.879,93.428,92.561,91.15,90.399,91.175,92.231,92.933,92.355,92.761,92.707,95.414,94.939,96.637
18,X,False,83.24,77.927,78.007,81.612,85.594,81.606,85.035,84.831,90.26,88.084,90.06,95.943,88.652,87.453,81.11,91.267,86.308,83.898,83.457,89.069,83.749,82.05,80.678,79.627,82.525,84.659,75.37,80.404,83.28,76.716,85.713,78.794,74.767,80.621,76.147,75.886,76.053,76.456,77.157,75.234,74.762,76.673,72.932,69.869,74.022
19,X,False,75.414,80.828,73.837,81.849,74.366,74.851,74.556,75.873,78.517,79.516,73.752,74.651,74.673,73.788,74.384,77.1,75.652,76.679,78.282,77.037,77.425,81.117,76.717,76.534,77.192,76.378,76.062,75.409,76.329,75.274,75.231,76.599,75.58,75.005,76.475,77.154,75.452,75.269,76.284,76.143,75.718,74.199,75.154,74.361,74.543
20,X,True,98.036,98.146,98.713,99.174,99.381,99.637,99.882,100.21,100.52,100.27,100.4,99.672,99.542,99.354,98.817,97.974,97.336,96.824,96.413,96.073,95.912,95.557,95.465,95.698,95.753,96.026,96.265,96.707,97.304,98.043,98.489,98.66,98.696,98.429,98.929,98.524,98.406,97.6,98.048,97.527,96.714,96.391,95.601,95.324,94.803
21,X,False,99.661,99.266,99.729,99.792,99.772,100.64,101.45,102.8,103.49,104.73,105.08,106.65,107.22,108.47,109.87,110.62,111.35,112.42,112.15,112.18,112.86,112.29,111.57,110.8,110.92,110.39,109.98,109.6,108.75,108.71,108.57,108.27,108.17,107.49,107.4,107.44,107.2,107.45,107.23,107.75,107.38,107.26,107.83,108.97,109.14
22,X,True,107.09,106.16,105.59,105.02,105.71,106.15,107.4,107.56,108.26,110.1,112.79,114.72,115.9,116.57,117.83,119.13,119.09,119.42,117.86,116.71,114.89,112.66,111.54,111.29,110.47,110.58,109.85,109.21,109.83,110.81,111.2,111.98,112.3,113.55,114.53,115.77,116.0,115.55,115.95,117.15,117.43,117.85,117.02,117.75,118.57
23,X,False,159.88,90.752,82.224,69.889,117.33,69.059,61.838,53.913,49.331,47.247,48.494,48.375,50.316,47.511,53.958,51.587,50.811,58.328,59.999,66.694,68.076,87.37,64.971,62.05,64.112,63.785,61.821,65.194,60.619,59.075,58.41,57.358,82.081,58.871,57.526,57.037,59.456,58.651,60.511,60.841,59.675,60.975,62.598,63.516,64.441
24,X,True,119.97,122.0,121.24,121.67,121.75,122.0,122.99,123.31,122.84,124.21,125.17,125.54,125.26,125.93,126.67,126.08,126.25,125.98,125.37,125.16,125.31,123.78,123.75,122.91,123.46,122.67,121.83,121.17,120.44,120.12,119.67,120.28,119.51,118.99,119.57,119.88,120.48,121.24,122.13,123.69,124.61,125.36,125.64,127.27,128.14
25,X,True,126.67,126.08,126.25,125.98,125.37,125.16,125.31,123.78,123.75,122.91,123.46,122.67,121.83,121.17,120.44,120.12,119.67,120.28,119.51,118.99,119.57,119.88,120.48,121.24,122.13,123.69,124.61,125.36,125.64,127.27,128.14,127.63,127.45,126.69,125.82,125.22,122.89,121.51,120.48,119.88,118.96,119.9,119.41,120.89,120.71
26,X,False,91.602,89.029,93.11,87.775,90.413,93.843,91.981,94.161,99.157,97.932,91.049,92.907,93.208,94.709,90.314,88.741,86.041,88.722,87.759,89.486,86.095,88.157,90.025,98.178,89.684,90.794,87.93,95.253,88.389,85.472,91.72,90.296,94.919,98.594,105.24,95.298,86.351,101.8,99.31,105.23,102.6,100.07,100.62,106.83,107.03
27,M,False,126.36,125.33,125.36,123.37,123.01,124.0,124.29,123.58,122.39,122.01,123.54,123.28,126.67,128.22,128.17,125.72,126.62,129.55,127.91,126.08,124.53,124.4,124.25,143.19,118.88,119.91,121.19,120.65,119.23,119.07,118.25,118.08,118.9,116.9,114.94,116.97,117.22,116.01,114.58,117.08,117.42,116.8,120.49,119.65,120.51
28,M,False,126.28,116.27,122.06,140.14,117.53,137.82,135.4,111.3,112.05,111.76,115.93,111.02,122.28,116.88,124.95,123.83,132.47,109.21,125.24,112.92,120.35,109.05,123.9,119.19,117.81,123.43,114.1,119.09,109.42,114.83,112.86,109.65,115.49,115.15,114.31,124.46,111.07,117.46,124.78,120.77,120.52,126.33,142.33,121.53,113.22
29,M,False,90.062,89.621,89.782,90.123,89.626,90.782,90.649,91.605,92.809,93.053,92.668,93.236,93.231,94.322,95.11,95.497,95.346,94.522,95.112,95.19,95.965,95.444,95.094,94.681,94.336,94.235,93.201,92.919,92.012,91.869,91.907,91.795,91.789,91.922,91.29,91.521,90.613,91.458,92.626,92.211,92.858,93.059,93.276,92.493,93.026
30,M,True,101.19,51.856,99.673,56.076,52.373,53.132,53.567,54.413,54.13,104.19,58.678,57.654,60.476,70.263,57.911,59.778,62.809,60.697,61.981,57.512,57.34,60.814,63.874,62.918,66.841,65.718,59.023,54.318,59.837,60.097,57.009,62.314,92.973,60.548,58.452,63.001,63.944,65.441,69.77,65.549,67.491,73.582,72.393,64.13,65.641
31,M,False,85.076,84.64,84.797,83.931,84.394,86.07,83.419,82.449,81.955,81.291,82.194,82.054,81.787,81.245,81.096,84.163,83.865,84.778,87.386,88.888,85.609,86.979,88.351,86.109,87.209,87.124,88.574,87.256,86.628,85.035,87.991,85.503,86.127,85.486,86.556,84.777,85.295,83.902,84.166,83.312,84.717,85.653,85.245,85.623,85.308
32,M,False,70.959,68.417,68.277,66.973,68.276,66.897,70.405,68.778,68.262,67.456,67.13,66.666,66.414,67.696,69.736,74.33,65.685,66.684,65.597,64.47,66.887,68.039,69.649,78.44,67.759,67.584,67.347,67.634,68.991,66.264,65.604,76.329,62.543,64.349,65.119,61.517,61.881,61.182,70.577,63.005,63.123,62.313,61.505,64.21,68.143
33,M,False,92.471,88.18,91.024,91.321,92.126,92.869,92.729,93.246,93.048,92.126,93.527,95.405,92.723,90.621,91.341,92.6,93.651,96.445,95.758,97.947,98.815,99.957,99.606,99.108,100.25,101.0,101.65,102.02,100.45,101.99,100.53,96.925,93.186,96.26,96.741,97.072,95.095,90.467,89.397,89.645,98.449,92.1,92.012,91.891,93.482
34,M,True,117.25,119.24,117.45,117.87,118.87,121.5,123.05,123.07,122.61,123.44,127.34,129.27,128.94,125.48,122.54,122.3,120.45,119.3,118.21,118.52,116.95,115.9,115.69,115.35,115.02,113.74,115.44,116.97,117.13,116.88,117.22,119.44,119.66,120.26,121.75,123.13,122.06,121.61,120.83,120.35,120.62,121.5,123.75,124.75,125.91
35,M,True,112.61,113.73,116.56,117.9,118.57,118.32,119.21,119.36,119.94,120.69,120.81,120.62,119.08,117.83,115.98,115.13,113.95,113.52,112.6,111.33,111.19,111.43,111.75,111.65,112.57,113.31,113.44,114.47,114.61,115.94,116.7,116.31,116.92,116.91,117.4,117.38,118.29,118.31,118.24,117.64,118.01,116.57,116.17,117.58,117.63
36,M,False,118.56,117.05,115.66,115.07,112.13,111.45,110.74,108.65,108.57,108.23,108.53,109.22,109.62,109.32,110.71,110.95,110.92,112.37,114.24,114.3,114.91,114.84,115.46,115.75,115.42,114.73,115.19,115.14,115.16,116.1,116.77,115.73,114.87,116.3,115.83,116.43,117.72,116.15,115.95,114.8,114.12,113.95,113.13,113.11,113.13
37,M,False,100.39,100.52,100.94,100.41,100.76,100.66,101.23,102.65,102.71,102.42,103.43,104.27,105.0,105.76,106.51,106.85,107.49,107.31,107.71,108.0,107.76,107.65,106.65,105.75,104.79,103.22,102.78,102.76,103.39,103.4,103.31,104.41,105.46,105.51,107.13,107.88,109.09,110.05,111.67,112.42,112.95,112.8,111.7,112.07,111.82
38,M,True,110.68,111.35,110.85,110.77,110.94,111.98,111.63,111.09,111.15,109.99,109.41,109.96,110.12,111.04,111.15,110.89,110.84,110.25,110.13,110.48,110.61,110.59,111.56,112.56,112.68,112.48,112.32,112.93,113.74,113.53,112.87,113.08,112.56,113.32,113.12,112.41,112.24,110.91,109.88,107.48,107.91,105.95,104.84,103.77,104.27
39,M,True,108.67,109.03,108.33,108.39,108.71,109.21,109.51,109.9,110.75,110.69,110.24,110.26,110.27,111.0,111.51,111.36,112.1,111.68,112.81,112.63,112.8,111.48,111.88,112.56,111.64,110.66,110.0,110.84,110.03,110.24,108.69,109.13,108.86,108.65,108.92,110.18,111.31,112.02,114.23,115.64,116.44,116.82,117.91,118.03,119.98
40,M,False,110.89,110.84,110.25,110.13,110.48,110.61,110.59,111.56,112.56,112.68,112.48,112.32,112.93,113.74,113.53,112.87,113.08,112.56,113.32,113.12,112.41,112.24,110.91,109.88,107.48,107.91,105.95,104.84,103.77,104.27,105.29,104.8,104.52,104.6,106.29,106.77,108.12,108.09,108.4,107.98,108.5,109.09,109.75,109.06,108.82
41,M,False,112.81,112.63,112.8,111.48,111.88,112.56,111.64,110.66,110.0,110.84,110.03,110.24,108.69,109.13,108.86,108.65,108.92,110.18,111.31,112.02,114.23,115.64,116.44,116.82,117.91,118.03,119.98,118.82,117.98,116.13,115.25,115.45,113.59,111.25,110.73,109.69,109.65,110.79,109.07,110.12,110.57,111.3,111.39,113.25,114.32
42,M,False,109.69,109.65,110.79,109.07,110.12,110.57,111.3,111.39,113.25,114.32,114.46,117.06,118.4,118.48,119.57,120.56,120.67,123.14,122.3,122.54,122.0,120.7,121.08,122.14,123.83,124.4,124.49,124.82,124.57,125.21,124.27,123.91,123.95,123.71,124.29,123.65,122.61,121.99,122.64,122.62,121.16,120.82,119.55,119.04,120.94
43,M,False,83.41,85.6,82.414,82.068,82.926,83.434,82.602,82.778,82.903,83.524,82.719,82.252,82.704,83.001,84.254,84.026,84.462,84.321,83.89,82.997,84.536,85.061,84.723,84.445,85.065,85.164,85.922,85.103,86.429,86.09,87.368,88.735,89.909,89.873,89.945,90.019,89.692,88.743,89.704,90.695,88.301,87.763,87.262,86.753,86.689
44,M,True,109.69,110.0,109.7,109.4,108.41,108.02,107.63,106.94,104.89,104.16,103.93,103.41,102.82,103.05,103.07,103.15,103.37,104.41,104.41,104.84,106.3,107.19,107.14,106.91,106.22,105.95,105.96,106.28,106.03,105.31,104.83,104.56,103.38,103.59,103.2,102.25,102.21,101.96,101.92,101.1,100.98,100.68,100.05,100.15,100.52
45,M,True,108.11,108.22,107.39,107.24,108.51,108.34,107.15,108.29,107.94,108.02,109.2,107.76,108.47,107.74,107.21,106.89,108.04,106.41,106.66,106.17,105.5,106.02,105.39,105.66,105.75,105.59,104.54,102.26,103.8,101.93,102.75,101.75,102.82,102.94,105.1,103.13,103.56,104.12,104.0,104.29,105.05,105.88,104.39,104.62,104.19
46,M,False,103.15,103.37,104.41,104.41,104.84,106.3,107.19,107.14,106.91,106.22,105.95,105.96,106.28,106.03,105.31,104.83,104.56,103.38,103.59,103.2,102.25,102.21,101.96,101.92,101.1,100.98,100.68,100.05,100.15,100.52,100.78,99.992,100.78,101.19,101.35,101.23,101.88,102.48,102.37,102.36,102.12,102.69,101.88,102.61,101.88
47,M,False,107.19,107.14,106.91,106.22,105.95,105.96,106.28,106.03,105.31,104.83,104.56,103.38,103.59,103.2,102.25,102.21,101.96,101.92,101.1,100.98,100.68,100.05,100.15,100.52,100.78,99.992,100.78,101.19,101.35,101.23,101.88,102.48,102.37,102.36,102.12,102.69,101.88,102.61,101.88,101.64,101.01,100.8,99.607,99.835,98.634
48,M,False,98.02,96.411,96.918,97.876,99.163,99.22,98.286,98.125,97.375,97.444,96.816,96.535,95.661,96.505,96.638,95.878,95.513,96.114,95.605,95.761,96.378,97.112,97.434,98.312,99.24,99.842,100.75,101.3,101.78,101.82,101.15,100.93,99.626,98.176,98.404,97.211,96.929,97.04,96.655,96.945,97.579,96.715,97.654,98.101,97.821
49,M,False,98.673,99.62,100.01,100.48,101.52,101.43,101.38,100.98,100.95,99.566,98.899,98.472,97.285,96.071,95.616,94.321,94.469,93.531,93.066,92.826,93.242,92.323,91.935,92.573,93.263,92.325,91.725,91.47,91.556,92.771,93.038,92.095,92.255,92.103,92.401,92.732,93.498,93.007,93.045,93.54,93.81,94.48,94.473,95.544,96.275
50,M,True,99.148,98.001,96.583,97.263,96.666,99.425,95.567,94.86,96.641,97.751,97.658,96.679,96.359,97.217,99.673,98.927,97.676,97.402,96.756,96.185,97.32,99.335,97.16,97.099,97.823,96.825,97.017,96.874,96.628,97.037,97.855,97.667,96.051,94.993,96.857,98.162,98.143,99.078,99.483,102.51,101.29,99.665,100.83,99.924,100.44
51,M,False,97.099,97.823,96.825,97.017,96.874,96.628,97.037,97.855,97.667,96.051,94.993,96.857,98.162,98.143,99.078,99.483,102.51,101.29,99.665,100.83,99.924,100.44,101.31,103.3,102.6,100.86,98.647,97.469,96.206,98.585,98.177,96.98,96.165,95.91,96.178,95.062,97.209,95.654,98.573,98.525,97.621,96.865,95.99,97.877,95.251
52,M,False,96.865,95.99,97.877,95.251,93.51,95.91,92.507,91.983,92.301,92.375,91.083,90.063,92.82,92.442,92.825,88.244,86.862,87.819,87.846,88.075,88.94,87.847,86.604,87.453,88.912,89.166,88.104,88.2,87.385,85.286,85.507,84.789,86.241,84.284,84.722,83.943,84.943,86.23,84.412,84.692,86.221,87.024,85.414,87.772,88.889
53,M,False,84.412,84.692,86.221,87.024,85.414,87.772,88.889,87.057,94.094,94.666,94.3,91.711,98.743,98.471,93.055,94.802,92.955,94.214,95.85,100.6,90.503,82.156,94.589,95.083,93.447,95.565,94.544,97.887,95.257,92.626,89.877,97.81,97.182,88.026,90.599,88.905,88.156,90.826,86.224,86.36,83.609,86.61,80.174,88.589,83.364
54,M,False,94.094,94.666,94.3,91.711,98.743,98.471,93.055,94.802,92.955,94.214,95.85,100.6,90.503,82.156,94.589,95.083,93.447,95.565,94.544,97.887,95.257,92.626,89.877,97.81,97.182,88.026,90.599,88.905,88.156,90.826,86.224,86.36,83.609,86.61,80.174,88.589,83.364,82.87,85.962,83.569,80.312,80.088,75.725,79.709,79.932
55,M,True,97.255,97.06,97.787,98.305,98.882,98.62,99.081,99.941,100.74,100.65,100.83,101.36,102.06,102.12,102.24,102.3,102.16,102.62,101.77,101.08,101.13,100.89,100.42,100.25,100.01,99.861,99.388,99.126,99.742,99.867,99.19,100.07,101.28,102.08,102.98,103.65,104.86,106.04,106.13,106.87,107.45,106.91,106.91,106.21,105.97
56,M,False,102.12,102.24,102.3,102.16,102.62,101.77,101.08,101.13,100.89,100.42,100.25,100.01,99.861,99.388,99.126,99.742,99.867,99.19,100.07,101.28,102.08,102.98,103.65,104.86,106.04,106.13,106.87,107.45,106.91,106.91,106.21,105.97,104.7,104.09,103.11,101.53,101.19,101.98,102.87,102.69,103.37,104.52,104.83,104.93,106.38
57,M,True,111.03,112.26,112.86,115.31,115.13,115.59,117.81,118.42,117.5,116.22,116.15,114.66,114.34,113.96,113.07,111.57,110.86,111.3,109.59,109.21,108.32,108.88,108.21,107.42,108.05,107.68,107.66,108.04,108.88,107.98,107.93,108.25,109.38,109.75,109.18,109.76,108.97,108.25,107.87,108.57,109.2,108.38,108.93,110.59,111.38
58,M,False,77.672,78.441,78.758,77.767,78.329,78.183,79.048,79.755,78.607,79.238,79.444,80.305,80.941,80.703,81.16,81.528,81.923,82.877,82.861,82.726,82.989,83.122,82.803,82.021,81.385,80.761,80.59,80.25,80.219,80.201,80.776,81.802,82.711,82.592,83.038,84.24,85.221,85.459,85.828,86.493,87.088,87.346,87.028,87.078,86.012
59,M,False,130.3,129.46,128.53,127.29,124.69,123.4,121.56,121.07,120.54,120.78,120.43,120.3,123.31,124.06,125.02,126.2,126.96,128.21,129.87,130.11,131.54,133.59,134.62,133.55,133.35,133.26,132.47,131.38,130.53,129.88,128.29,127.21,126.62,127.44,126.21,125.94,126.44,126.48,126.99,127.17,127.86,127.06,127.86,128.19,128.59
60,M,True,97.247,97.937,99.371,99.475,100.42,101.59,100.57,99.123,98.196,98.112,96.606,95.656,95.664,94.361,92.985,93.52,92.622,90.768,91.865,91.821,92.544,92.567,93.647,93.824,94.57,96.052,96.099,97.635,97.224,97.003,96.163,97.15,96.352,97.472,98.592,97.758,97.606,97.151,97.078,97.268,98.219,98.648,98.451,97.953,98.469
61,M,False,93.157,93.695,93.457,94.092,93.806,94.309,94.614,95.365,96.672,97.642,98.135,99.646,99.418,100.62,101.2,102.16,101.8,101.59,101.57,100.23,99.055,98.458,97.606,97.125,96.939,96.351,95.901,96.324,95.894,95.859,96.285,97.467,97.04,97.367,97.596,98.38,99.249,98.912,99.675,99.584,99.979,100.4,100.34,100.4,100.88
62,M,True,94.445,85.627,97.788,100.54,94.81,100.14,89.911,92.997,93.82,92.871,91.523,92.527,89.255,96.316,89.902,93.35,90.954,96.007,99.534,92.672,101.24,91.885,93.165,99.176,92.217,104.48,93.076,96.63,90.506,92.205,102.13,100.42,86.719,101.13,89.297,88.079,99.687,92.598,96.38,90.2,93.159,92.037,94.131,97.107,93.571
63,M,False,92.693,94.282,95.3,91.784,104.77,92.021,90.064,99.598,90.462,93.076,93.679,89.103,92.999,88.041,90.819,90.94,92.166,90.873,89.571,89.479,91.914,91.616,90.148,92.438,99.575,90.512,93.22,95.691,95.686,96.291,93.582,91.744,90.937,95.955,91.337,95.029,91.949,91.674,91.114,94.781,94.971,92.104,94.802,95.168,95.136
64,M,False,112.7,110.7,110.94,110.77,111.39,111.19,112.31,111.72,112.01,112.24,112.94,113.17,113.29,113.19,112.12,113.12,114.1,113.56,114.49,114.83,115.78,115.07,115.13,115.91,115.46,115.22,114.93,115.05,114.81,115.28,116.08,116.67,117.22,116.71,117.53,117.12,116.56,116.45,115.63,115.39,116.08,115.98,115.49,116.04,116.11
65,M,False,62.87,56.949,60.406,69.432,62.037,72.489,69.005,65.812,68.96,70.485,65.895,63.862,60.43,71.333,56.383,65.195,62.192,64.38,59.559,75.002,65.348,62.09,63.799,57.468,64.182,63.526,60.442,69.959,63.263,55.198,61.692,57.756,58.108,62.222,65.545,64.139,58.254,61.968,58.034,61.732,58.068,63.497,64.404,63.448,58.862
66,M,False,115.56,114.79,113.82,113.47,113.64,113.25,112.73,112.54,111.64,112.6,110.99,111.37,112.38,111.33,112.68,114.06,113.67,113.25,115.96,118.01,118.63,120.22,121.69,121.37,122.4,121.63,122.28,123.98,124.92,124.83,125.33,124.54,124.1,122.6,120.64,120.83,119.79,118.28,117.41,117.64,117.36,117.37,115.6,115.46,115.22
67,M,False,99.818,99.913,99.076,99.013,99.318,100.46,100.82,101.74,102.63,102.44,102.13,102.74,103.74,104.8,104.87,105.34,105.8,107.16,106.46,107.19,107.36,106.61,106.8,106.78,107.24,105.94,106.26,105.43,105.4,105.46,105.13,104.67,103.75,103.81,103.54,103.54,104.45,104.63,105.36,106.57,106.16,106.54,107.22,108.3,108.07
68,M,True,114.73,115.16,117.01,117.09,118.63,119.24,120.64,121.01,121.92,121.67,121.57,121.69,122.83,120.9,120.78,120.43,118.91,116.78,115.75,115.08,114.17,113.7,112.68,111.82,112.42,112.18,112.65,113.54,113.47,114.49,115.14,115.14,116.18,115.81,116.07,116.22,117.18,116.66,115.44,115.81,116.95,116.0,116.96,116.84,117.76
69,M,True,118.69,119.49,119.64,120.01,119.52,119.26,118.78,118.49,118.69,119.26,118.74,118.19,118.41,118.07,117.02,117.36,117.96,119.03,118.06,119.34,120.99,121.03,121.76,122.03,121.72,121.89,121.3,121.5,120.75,120.49,119.22,118.0,117.56,117.29,115.96,114.3,113.62,113.91,114.06,113.52,113.26,113.24,113.51,113.49,114.66
