,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10,AREA_ACR_11,AREA_ACR_12,AREA_ACR_13,AREA_ACR_14,AREA_ACR_15,AREA_ACR_16,AREA_ACR_17,AREA_ACR_18,AREA_ACR_19,AREA_ACR_20,AREA_ACR_21,AREA_ACR_22,AREA_ACR_23,AREA_ACR_24,AREA_ACR_25,AREA_ACR_26,AREA_ACR_27,AREA_ACR_28,AREA_ACR_29,AREA_ACR_30,AREA_ACR_31,AREA_ACR_32,AREA_ACR_33,AREA_ACR_34,AREA_ACR_35,AREA_ACR_36,AREA_ACR_37,AREA_ACR_38,AREA_ACR_39,AREA_ACR_40,AREA_ACR_41,AREA_ACR_42,AREA_ACR_43,AREA_ACR_44,AREA_ACR_45
1129,B,True,96.311,95.446,93.592,93.715,95.266,96.98,97.767,95.506,97.578,95.636,94.602,95.361,96.311,95.099,92.431,92.985,91.071,91.287,95.062,94.587,93.07,92.434,92.935,91.975,92.605,94.915,98.777,93.072,94.429,93.309,90.014,92.106,94.246,93.414,95.41,91.992,93.194,95.631,94.272,95.326,94.664,95.88,95.621,93.611,91.719
1130,B,True,5.3503,6.123,5.4416,6.6804,7.4305,8.0062,8.4201,9.3149,10.04,9.3747,9.1431,11.194,19.4,19.583,18.68,19.596,19.009,18.431,18.336,18.509,19.39,19.464,18.209,16.681,18.095,17.856,18.579,19.15,18.212,18.655,19.477,18.83,19.016,19.034,19.724,18.578,18.724,18.912,19.338,17.935,18.208,19.584,19.444,18.062,18.952
1131,B,False,340.93,343.68,347.19,347.88,351.76,351.62,356.95,359.6,362.53,366.17,370.49,373.3,373.98,372.52,379.85,389.7,395.81,403.6,407.71,416.03,416.75,421.73,421.82,421.88,427.11,431.87,431.81,444.42,444.91,445.42,445.99,451.89,456.74,463.23,465.23,469.77,466.69,467.97,477.71,484.7,483.35,485.55,487.31,489.65,486.47
1132,B,False,393.31,390.72,395.09,404.08,398.86,392.65,397.22,397.37,400.13,396.85,397.05,398.05,395.42,391.02,399.75,387.02,386.92,390.0,389.86,393.66,395.24,393.16,390.26,391.32,391.6,389.94,393.61,383.43,379.26,378.15,378.04,372.16,376.05,376.41,378.9,382.53,380.52,379.83,381.88,381.31,379.05,375.72,379.57,376.98,374.51
1133,B,False,251.97,248.78,255.57,254.15,255.18,257.4,257.78,264.12,262.83,272.8,273.91,279.44,283.69,278.82,283.37,277.65,278.49,280.36,283.44,285.71,286.2,288.09,291.3,288.66,294.11,293.21,289.42,289.35,289.11,291.71,292.28,294.39,291.08,289.81,290.96,297.32,298.19,294.47,288.31,293.63,292.71,300.41,303.94,307.24,310.12
1134,B,False,796.33,788.11,787.21,788.37,785.6,787.42,789.39,787.93,789.77,796.12,799.77,801.29,801.42,797.73,799.79,797.09,793.51,795.45,801.6,807.38,809.22,809.73,812.83,816.53,822.7,821.78,824.12,830.45,826.12,826.61,828.26,830.35,836.09,837.52,832.48,834.36,838.17,839.47,835.03,837.22,833.62,832.02,826.74,831.63,839.63
1135,B,False,129.6,131.46,132.56,135.21,136.01,139.67,140.87,142.91,142.92,144.4,147.19,148.03,151.01,154.39,153.73,155.72,159.12,160.99,162.83,165.53,167.32,168.77,170.91,170.19,173.18,175.8,176.71,175.63,176.56,178.84,178.0,177.57,177.39,178.23,176.55,175.83,175.37,176.04,179.84,179.57,183.8,186.66,188.75,188.19,187.54
1136,B,False,224.43,217.54,220.75,214.88,214.24,213.1,216.33,216.05,213.17,213.49,220.07,217.79,218.78,213.62,216.68,213.29,216.43,212.27,204.12,205.23,207.88,206.86,207.69,211.81,204.87,204.7,206.19,205.96,208.94,208.47,202.44,201.67,199.82,201.51,204.74,210.53,213.5,217.47,220.86,209.54,210.75,210.58,205.13,211.23,211.79
1137,B,False,144.73,145.67,147.65,152.31,154.63,152.66,153.43,155.41,157.05,154.71,154.71,153.45,151.34,152.83,153.96,154.55,154.36,155.4,156.31,161.36,163.9,165.56,174.14,182.95,186.32,191.92,194.48,199.33,202.84,206.32,205.77,211.3,212.71,219.39,227.84,228.69,234.79,233.15,234.23,236.71,238.69,236.94,235.6,232.85,236.65
1138,B,False,1133.8,1145.0,1146.6,1149.2,1146.2,1153.0,1157.4,1150.1,1152.5,1148.1,1150.0,1150.1,1147.0,1147.4,1140.1,1144.9,1145.8,1144.3,1146.2,1142.7,1139.0,1145.3,1147.7,1145.9,1149.9,1135.9,1133.5,1137.6,1135.0,1127.8,1133.8,1128.4,1122.9,1133.1,1126.4,1121.4,1125.4,1126.4,1135.0,1128.2,1133.0,1126.7,1123.6,1122.8,1127.9
1139,B,False,90.785,89.257,90.581,91.252,89.446,90.437,89.975,91.081,90.721,91.817,92.978,94.434,94.409,90.817,90.315,90.875,92.613,91.716,92.163,92.088,91.45,91.791,93.757,96.043,95.291,94.125,94.768,92.764,91.645,91.542,90.758,92.637,94.013,92.565,94.309,92.878,93.227,94.177,94.918,94.332,92.71,90.241,91.985,92.816,92.773
1140,B,False,83.333,85.107,85.56,86.546,87.103,88.498,90.213,91.155,89.052,89.751,91.805,90.742,88.777,91.09,93.297,92.387,97.202,97.65,100.7,102.51,104.13,103.53,105.5,109.9,112.35,115.13,115.74,115.21,121.31,126.6,125.96,125.54,128.36,131.03,125.88,125.8,127.41,128.55,133.91,136.05,136.44,138.52,139.45,139.22,141.77
1141,B,False,429.75,424.44,427.64,434.16,435.16,428.34,428.03,422.33,409.62,408.51,403.55,398.28,405.91,408.17,401.8,401.2,405.27,397.05,398.92,390.13,393.91,390.05,388.17,394.39,395.82,402.65,394.61,400.1,403.17,404.69,397.59,396.56,396.43,396.42,403.86,394.02,391.37,394.21,386.48,388.95,395.82,399.83,397.47,394.99,407.75
1142,B,False,193.42,197.36,197.58,198.74,196.32,196.63,193.08,192.44,194.18,199.98,195.08,193.47,188.98,194.0,193.64,194.8,196.4,192.26,192.51,192.74,190.51,202.5,210.45,203.42,196.97,191.0,190.9,185.41,179.85,177.98,152.33,139.13,139.59,131.57,114.37,108.82,106.96,98.383,93.866,71.705,61.792,52.202,54.655,45.706,37.528
1143,B,False,356.29,352.06,359.07,361.86,363.68,365.98,364.9,365.1,364.91,366.61,366.76,369.21,369.82,372.59,370.72,369.33,370.13,365.88,366.48,367.48,371.13,373.95,375.17,378.4,375.62,381.79,381.47,379.29,382.12,386.96,384.11,386.46,385.55,390.66,387.08,393.83,397.03,399.36,397.13,400.11,403.63,402.51,397.28,398.63,397.76
