,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,ABSNJZH_2,ABSNJZH_3,ABSNJZH_4,ABSNJZH_5,ABSNJZH_6,ABSNJZH_7,ABSNJZH_8,ABSNJZH_9,ABSNJZH_10,ABSNJZH_11,ABSNJZH_12,ABSNJZH_13,ABSNJZH_14,ABSNJZH_15,ABSNJZH_16,ABSNJZH_17,ABSNJZH_18,ABSNJZH_19,ABSNJZH_20,ABSNJZH_21,ABSNJZH_22,ABSNJZH_23,ABSNJZH_24,ABSNJZH_25,ABSNJZH_26,ABSNJZH_27,ABSNJZH_28,ABSNJZH_29,ABSNJZH_30,ABSNJZH_31,ABSNJZH_32,ABSNJZH_33,ABSNJZH_34,ABSNJZH_35,ABSNJZH_36,ABSNJZH_37,ABSNJZH_38,ABSNJZH_39,ABSNJZH_40,ABSNJZH_41,ABSNJZH_42,ABSNJZH_43,ABSNJZH_44,ABSNJZH_45,ABSNJZH_46,ABSNJZH_47,ABSNJZH_48,ABSNJZH_49,ABSNJZH_50,ABSNJZH_51,ABSNJZH_52,ABSNJZH_53,ABSNJZH_54,ABSNJZH_55,ABSNJZH_56,ABSNJZH_57,ABSNJZH_58,ABSNJZH_59,ABSNJZH_60,ABSNJZH_61,ABSNJZH_62,ABSNJZH_63,ABSNJZH_64,ABSNJZH_65
26,X,False,376.18,576.48,553.49,434.37,447.95,539.71,453.9,171.39,383.63,245.94,412.44,395.22,316.21,150.38,300.98,180.06,274.7,282.21,194.62,125.78,174.03,210.86,175.05,244.16,207.08,158.65,215.35,182.04,278.5,236.85,200.57,116.68,121.18,58.328,112.29,113.67,208.7,21.001,112.0,78.469,68.612,94.981,46.804,15.802,16.523,144.17,56.114,55.553,15.339,51.124,69.06,33.86,58.301,74.76,60.425,34.459,16.962,45.845,10.168,29.093,65.813,38.058,25.251,11.257,0.087889
27,M,False,249.61,240.63,264.96,271.17,274.89,278.53,274.77,280.7,267.34,257.62,259.54,245.44,247.85,235.59,253.7,251.7,246.62,247.08,250.45,278.48,273.04,272.77,286.18,289.21,286.71,283.62,291.04,273.48,273.79,290.41,298.58,283.42,297.6,282.77,290.93,278.63,297.69,284.48,276.58,289.12,299.52,305.09,303.79,323.53,321.61,333.63,292.84,312.15,315.59,320.68,339.09,346.86,337.35,346.39,340.2,328.29,328.18,328.4,326.61,332.97,333.31,328.64,335.34,333.83,321.53
28,M,False,20.74,19.354,20.222,35.544,19.716,23.584,43.421,17.09,18.843,14.497,14.945,13.509,15.205,11.176,6.4055,2.152,33.12,12.028,25.026,9.3464,50.805,1.2963,47.278,24.004,39.195,39.64,14.782,31.574,22.949,23.128,32.359,34.557,25.317,33.911,52.086,21.768,48.896,25.249,11.188,13.623,59.615,20.008,7.8265,26.87,33.264,26.27,1.971,15.355,4.9525,8.9576,39.257,24.266,43.741,25.589,1.7469,31.453,13.8,10.328,14.726,64.16,31.277,49.812,25.413,45.792,115.36
29,M,False,132.15,143.69,142.55,144.08,151.55,151.13,154.36,146.02,146.75,147.01,142.98,137.06,126.43,133.04,127.78,122.11,118.94,115.31,103.05,108.11,99.298,109.19,102.09,105.29,108.22,101.68,106.88,106.4,110.07,110.3,111.46,120.16,125.83,131.44,123.55,126.69,135.02,133.58,139.88,134.61,123.25,126.23,130.98,125.23,131.55,129.2,132.14,131.48,130.07,132.61,116.34,128.94,133.11,122.44,110.39,120.8,123.78,123.63,117.48,120.56,126.22,127.53,116.99,125.29,146.84
30,M,True,54.656,36.733,4.407,35.304,36.884,35.79,35.914,37.538,37.717,55.114,39.835,37.597,37.78,37.61,39.207,37.313,40.175,41.192,41.053,39.394,40.577,41.56,42.861,40.321,39.743,41.558,41.82,44.233,44.837,44.213,45.095,43.68,41.541,42.375,43.55,42.704,42.719,40.634,39.508,42.162,43.021,33.338,35.735,38.748,36.237,32.77,32.25,32.101,35.258,35.625,34.681,34.633,35.07,37.465,37.304,33.541,32.414,32.071,30.199,34.281,34.152,30.169,37.806,37.887,39.831
31,M,False,113.9,106.82,94.831,103.6,101.55,81.725,108.15,110.61,134.02,125.19,108.65,111.8,110.53,110.69,113.48,137.42,118.51,108.72,70.875,70.825,66.256,97.444,79.74,79.515,82.887,83.812,57.094,80.23,72.788,65.379,54.465,70.905,83.891,52.047,47.103,29.405,59.636,65.923,58.475,53.706,54.386,3.8289,50.215,41.168,56.121,43.597,29.588,25.622,33.882,9.5691,14.696,28.083,1.5918,9.6058,9.5441,8.176,9.6388,6.0553,11.031,31.976,23.321,27.002,30.709,24.412,5.1179
32,M,False,50.13,143.88,138.01,149.87,131.63,124.24,120.4,114.51,114.31,20.436,111.6,103.39,91.541,93.616,76.553,36.408,102.85,98.067,91.166,94.756,92.382,88.25,76.904,15.221,80.079,52.892,69.648,67.066,56.494,55.552,59.224,8.6265,81.701,69.607,63.598,72.087,70.956,78.989,242.41,63.35,84.22,88.665,79.412,111.85,103.08,88.955,89.096,83.31,72.484,74.951,81.703,81.352,97.413,87.08,90.478,76.677,103.37,319.76,80.663,94.524,73.527,83.424,83.676,33.899,46.427
33,M,False,55.622,35.038,46.33,49.428,34.691,31.41,67.38,25.23,33.315,17.072,41.535,51.437,36.476,64.718,55.567,33.285,35.551,33.352,37.523,39.745,36.621,41.833,26.339,29.233,48.165,24.02,6.5903,4.8933,14.855,11.28,12.066,47.957,13.401,52.371,69.118,100.59,84.528,14.412,39.474,63.37,110.66,68.438,88.097,85.58,90.515,109.73,115.44,119.3,107.37,120.25,134.62,136.9,142.89,144.96,170.01,167.8,165.3,165.97,178.4,192.17,178.17,174.26,187.42,194.04,185.82
34,M,True,3.039,15.378,12.492,0.13985,3.053,6.7281,0.63501,19.87,23.425,2.4648,19.15,16.473,23.139,39.086,44.584,52.797,69.059,80.428,93.151,103.14,99.058,104.27,107.38,117.93,122.39,126.92,136.2,153.9,160.61,171.49,193.51,211.73,241.45,269.4,288.97,302.72,315.39,318.43,351.43,468.13,494.08,528.3,594.28,543.16,594.53,625.0,659.43,649.93,641.57,615.88,629.7,625.04,639.07,659.74,687.6,678.23,659.11,617.51,601.4,619.83,613.3,589.5,611.72,652.18,656.88
35,M,True,736.12,738.51,834.2,840.25,835.09,803.44,800.52,780.4,747.13,742.15,765.96,771.5,765.94,848.24,803.89,796.95,784.88,781.5,795.21,780.58,794.61,782.05,783.25,802.12,772.09,770.64,788.96,787.59,768.9,754.65,766.6,779.55,772.11,760.73,761.94,750.67,738.78,737.49,735.39,732.06,751.45,764.51,764.14,745.29,769.27,796.42,833.26,807.49,823.0,838.58,848.0,829.88,866.7,872.58,860.06,867.4,848.23,841.44,848.64,828.53,818.45,828.21,812.3,808.52,809.8
36,M,False,126.98,141.61,137.36,156.06,151.38,166.75,171.95,185.06,201.48,195.81,194.17,193.2,197.93,208.77,233.87,211.9,201.69,205.79,199.43,217.7,222.7,209.9,210.71,201.27,191.69,193.39,183.72,189.76,186.23,198.51,185.89,203.85,196.1,183.81,188.97,192.11,176.86,197.08,201.25,195.56,204.42,220.21,240.12,245.87,251.22,256.33,266.76,244.06,243.14,264.17,271.7,273.65,281.72,274.73,287.83,293.2,281.95,289.18,300.1,302.13,303.1,299.39,298.8,291.74,307.42
37,M,False,1001.4,1019.0,1027.8,1025.2,1042.5,1115.0,1112.6,1111.3,1124.1,1128.3,1119.3,1128.4,1113.1,1091.7,1065.2,1053.0,1036.6,1071.4,1063.6,1016.6,1025.6,1047.4,1037.4,1029.7,1026.9,1043.1,1050.7,1035.8,1021.8,1051.8,1058.7,1010.7,1008.4,984.94,988.28,1002.2,997.11,981.43,992.05,1023.2,953.2,1010.3,1022.4,1053.9,1027.8,1037.4,1020.7,1025.6,1018.6,1046.6,1005.9,994.27,985.78,990.95,1007.9,997.41,998.52,1021.5,1040.8,1083.1,1092.5,1075.5,1100.1,1077.2,1062.2
38,M,True,846.62,864.71,845.27,820.21,829.3,800.35,816.99,814.36,803.22,784.74,770.84,755.88,740.73,757.18,741.32,707.05,728.14,740.43,744.76,750.54,733.16,719.99,728.45,737.0,747.58,790.01,797.31,773.99,785.31,774.09,830.56,814.5,769.08,777.17,762.6,749.66,748.42,746.74,765.55,786.58,779.45,783.55,799.06,800.65,792.08,793.67,790.34,791.36,755.64,744.29,749.21,767.34,770.02,772.26,775.26,766.93,755.23,765.76,792.46,779.37,798.38,780.42,765.77,745.59,784.38
39,M,True,161.97,172.32,174.45,169.94,172.6,172.62,166.72,162.47,167.48,179.7,174.27,168.63,161.74,181.06,182.71,182.33,170.68,197.43,201.99,190.02,191.13,195.92,188.95,182.36,175.51,201.25,181.03,170.81,182.64,162.08,163.91,168.24,166.01,169.65,170.08,167.16,149.42,160.71,177.16,166.8,170.79,158.57,170.09,173.41,168.35,168.77,187.19,163.29,160.29,129.76,138.89,136.53,136.67,129.91,153.23,158.6,147.12,131.18,104.2,124.19,111.57,121.75,115.28,103.45,105.62
40,M,False,707.05,728.14,740.43,744.76,750.54,733.16,719.99,728.45,737.0,747.58,790.01,797.31,773.99,785.31,774.09,830.56,814.5,769.08,777.17,762.6,749.66,748.42,746.74,765.55,786.58,779.45,783.55,799.06,800.65,792.08,793.67,790.34,791.36,755.64,744.29,749.21,767.34,770.02,772.26,775.26,766.93,755.23,765.76,792.46,779.37,798.38,780.42,765.77,745.59,784.38,772.07,780.42,773.97,718.52,688.95,689.75,693.02,708.56,724.35,701.47,691.36,671.92,682.3,644.13,658.07
41,M,False,201.99,190.02,191.13,195.92,188.95,182.36,175.51,201.25,181.03,170.81,182.64,162.08,163.91,168.24,166.01,169.65,170.08,167.16,149.42,160.71,177.16,166.8,170.79,158.57,170.09,173.41,168.35,168.77,187.19,163.29,160.29,129.76,138.89,136.53,136.67,129.91,153.23,158.6,147.12,131.18,104.2,124.19,111.57,121.75,115.28,103.45,105.62,93.58,111.1,140.28,129.44,122.05,143.42,117.85,110.59,103.33,110.84,87.754,78.426,98.009,77.932,95.169,51.139,41.68,59.796
42,M,False,129.91,153.23,158.6,147.12,131.18,104.2,124.19,111.57,121.75,115.28,103.45,105.62,93.58,111.1,140.28,129.44,122.05,143.42,117.85,110.59,103.33,110.84,87.754,78.426,98.009,77.932,95.169,51.139,41.68,59.796,64.311,49.568,28.259,30.31,35.735,62.781,50.766,65.874,90.964,80.054,101.67,118.91,97.793,112.2,133.26,133.39,140.83,108.69,102.64,104.87,110.92,109.39,125.76,126.87,148.71,163.86,197.11,197.48,192.74,173.72,125.85,114.56,102.97,135.39,134.2
43,M,False,542.82,456.77,524.3,534.25,541.03,524.76,517.22,515.37,495.51,473.29,499.77,481.75,481.2,467.9,472.47,475.97,481.02,501.37,476.43,502.45,507.01,491.68,488.42,400.07,405.62,367.34,378.19,451.37,446.0,386.05,472.23,470.92,485.75,502.53,492.28,492.52,512.03,523.05,512.7,418.05,474.3,416.16,418.76,505.89,452.09,494.55,475.03,477.85,478.2,479.16,463.34,457.58,474.86,462.36,469.88,475.21,454.11,466.22,478.2,496.72,496.54,503.59,507.45,502.78,507.67
44,M,True,774.17,738.51,759.58,744.76,746.28,753.19,730.48,734.87,696.82,702.0,711.32,691.95,704.11,705.38,687.73,662.75,631.9,624.15,647.78,630.38,613.07,602.93,588.2,572.89,565.05,572.63,537.88,552.86,574.05,580.12,596.67,579.67,607.52,588.6,591.51,616.65,633.77,571.44,559.98,543.1,578.22,561.16,565.18,580.56,557.17,549.17,543.78,494.36,539.95,547.93,593.97,562.3,582.95,561.84,545.49,588.47,591.27,578.96,577.88,605.06,650.69,613.67,615.12,602.41,584.48
45,M,True,322.87,302.3,269.48,269.69,274.42,169.28,170.98,158.63,184.3,175.47,227.51,199.46,193.58,182.11,228.6,253.23,245.38,249.38,246.14,251.79,260.68,253.98,194.43,269.14,263.41,221.58,226.8,170.18,172.95,207.62,251.93,237.75,190.87,185.75,205.16,198.59,232.34,220.54,203.87,185.3,173.19,201.49,217.37,110.12,75.022,149.92,84.756,80.39,53.627,56.425,40.528,64.145,102.85,43.003,96.097,3.5746,67.356,60.502,18.755,26.244,42.994,69.594,70.45,102.26,131.09
46,M,False,662.75,631.9,624.15,647.78,630.38,613.07,602.93,588.2,572.89,565.05,572.63,537.88,552.86,574.05,580.12,596.67,579.67,607.52,588.6,591.51,616.65,633.77,571.44,559.98,543.1,578.22,561.16,565.18,580.56,557.17,549.17,543.78,494.36,539.95,547.93,593.97,562.3,582.95,561.84,545.49,588.47,591.27,578.96,577.88,605.06,650.69,613.67,615.12,602.41,584.48,580.96,576.26,603.75,613.72,611.95,598.85,590.99,610.95,604.88,620.52,619.77,615.01,614.87,597.9,610.67
