,FLARE_TYPE,COINCIDENCE,LABEL,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
14,X,False,1,700.105,1556.1740000000002,38.39552,44.39217999999998,83.32006000000001,92.58959999999998,-0.16987404,0.009562376000000004,7608.757999999999,31.286420000000007,4.810276000000001,28017340000000.0,22.86254,7.376124000000001e+23,3354.67,57509500000000.0,5.513712000000001e+22,249.4919999999999,20781.24,15.274059999999999
15,X,False,1,2047.6179999999995,4471.638,55.46516,57.991420000000026,91.11904,96.39942,0.19093399999999996,0.0152365,16588.66,48.52932,4.9923720000000005,68056580000000.0,51.55590000000001,2.961212e+24,7243.289999999999,143220000000000.0,8.783172000000003e+22,332.8336,201697.4,9.041532000000004
16,X,False,1,8.9350836,410.8180000000001,22.157140000000005,25.30776,65.65479999999998,74.84004000000003,-0.15062220320000003,0.00014506941999999998,1110.88,17.56708,0.0,1415908400000.0,4.775707000000001,2.34668e+22,291.4818,6589274000000.0,9.155984000000001e+21,81.06689999999999,96452.48,3.4297670000000005
17,X,False,1,156.57178000000002,1030.2859999999998,31.413059999999994,37.97946000000001,88.13964,93.09150000000001,-0.16516437199999998,-0.0008531327999999999,3252.632,25.358539999999998,4.86244,6209386000000.0,10.697600000000005,1.954406e+23,1474.707999999999,28843620000000.0,2.93096e+22,922.1070000000001,115576.98,42.04446000000001
18,X,False,1,679.9166,402.5358,46.1513,37.98314,64.70688,80.73499999999999,0.41830524000000013,0.024765640000000002,8695.199999999999,40.08014,0.565202,21809200000000.0,37.98076,3.1339760000000005e+23,1334.8019999999995,19521680000000.0,1.842046e+22,359.2868399999999,3550.363,45.016676000000004
19,X,False,1,809.6900400000002,3643.7500000000005,43.0877,36.70919999999999,64.36266,76.07726000000002,-0.026097637000000007,-0.00484761706,12986.5,35.62006,4.859422,19294710000000.0,32.444019999999995,2.8236939999999995e+24,6624.220000000001,108863820000000.0,1.2182459999999999e+23,217.953,114832.22,7.72108
20,X,True,1,104.231288,6693.762,43.655280000000005,49.49642000000001,88.72177999999998,97.45409999999998,0.015927485999999987,-0.00018085886000000003,14953.22,38.93271999999999,5.417374,48619820000000.0,33.8016,5.030438e+24,13822.78,234359600000000.0,1.9115239999999995e+23,270.57059999999996,691064.2,5.883932000000001
21,X,False,1,1687.372,1426.53,38.58554000000001,51.55472,98.79370000000003,107.65100000000002,-0.025199264000000002,0.026515,7349.783999999999,33.26432,4.844142,56855400000000.0,23.591139999999996,6.224170000000001e+23,4185.725999999999,69811880000000.0,4.421864000000001e+22,197.2304,37312.68,11.640639999999996
22,X,True,1,1724.1000000000004,1254.3639999999996,47.33244,61.6464,105.93102000000003,113.56599999999999,0.18398166,0.04627706,12529.034,40.60284,4.913145999999999,60877240000000.0,36.505439999999986,6.19477e+23,3054.0099999999993,48486520000000.0,2.5051920000000006e+22,98.47606000000002,39542.92,5.687517999999999
23,X,False,1,78.63286,641.1253999999999,48.4691,35.671299999999995,55.148480000000006,65.23531999999999,0.32234782,-0.006025638000000001,9164.403999999999,42.81624000000001,4.573988000000001,3567276600000.0,41.512220000000006,1.5973494e+23,428.77080000000007,6647462000000.0,9.916254e+21,83.631,61732.48,3.8980619999999995
24,X,True,1,2953.8359999999984,1538.9279999999997,55.736940000000004,75.04488,105.35820000000001,123.48199999999999,-0.013097459599999998,-0.05524483999999999,19668.84,48.4662,5.254324,80753300000000.0,53.15822,1.397294e+24,6140.062000000001,82447800000000.0,3.8374700000000015e+22,110.44740000000002,190283.4,4.02023
25,X,True,1,3182.776,1552.5339999999997,55.154040000000016,75.19064000000002,105.20620000000001,122.96300000000002,-0.07335275399999999,-0.05918201999999999,20065.96,48.08014000000001,5.251404000000001,83811320000000.0,52.39231999999999,1.433656e+24,6316.161999999999,82833000000000.0,3.918498e+22,109.13180000000003,191494.0,3.915812
