,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10,MEANGBH_11,MEANGBH_12,MEANGBH_13,MEANGBH_14,MEANGBH_15,MEANGBH_16,MEANGBH_17,MEANGBH_18,MEANGBH_19,MEANGBH_20,MEANGBH_21,MEANGBH_22,MEANGBH_23,MEANGBH_24,MEANGBH_25,MEANGBH_26,MEANGBH_27,MEANGBH_28,MEANGBH_29,MEANGBH_30,MEANGBH_31,MEANGBH_32,MEANGBH_33,MEANGBH_34,MEANGBH_35,MEANGBH_36,MEANGBH_37,MEANGBH_38,MEANGBH_39,MEANGBH_40,MEANGBH_41,MEANGBH_42,MEANGBH_43,MEANGBH_44,MEANGBH_45,MEANGBH_46,MEANGBH_47,MEANGBH_48,MEANGBH_49,MEANGBH_50,MEANGBH_51,MEANGBH_52,MEANGBH_53,MEANGBH_54,MEANGBH_55,MEANGBH_56,MEANGBH_57,MEANGBH_58,MEANGBH_59,MEANGBH_60
882,B,True,58.83,57.743,58.275,58.265,58.468,57.927,58.731,57.76,57.872,57.519,59.626,59.353,60.275,59.375,61.539,61.528,61.759,61.127,61.284,59.756,59.132,61.091,60.946,59.721,58.684,59.707,60.459,59.55,58.3,59.393,58.951,59.335,59.727,61.588,60.9,61.208,60.363,60.752,61.439,60.163,59.029,60.704,59.64,60.1,60.567,57.673,60.027,60.822,59.193,59.64,61.039,59.718,60.639,60.657,61.726,61.135,61.216,61.359,60.151,59.396
883,B,False,34.607,32.219,32.44,32.894,31.81,31.764,31.396,32.676,32.68,32.556,32.643,32.313,34.13,34.839,33.641,34.6,35.113,34.378,34.5,33.728,34.327,34.447,35.439,33.547,34.873,35.078,34.517,34.757,35.023,34.775,35.227,34.83,35.298,34.162,34.42,35.168,35.663,34.191,36.048,36.448,33.957,33.506,33.291,33.835,33.32,33.964,33.865,32.683,33.395,32.204,34.228,32.906,34.365,34.853,33.649,34.06,32.738,31.565,32.572,33.098
884,B,False,25.576,13.542,19.741,17.597,19.758,21.156,25.052,28.154,33.126,32.804,30.826,32.235,31.542,32.863,31.898,34.21,33.611,32.251,31.865,31.736,30.843,29.966,33.477,33.591,32.697,32.368,33.038,29.205,29.16,29.335,32.662,32.035,33.749,31.745,32.702,34.927,32.774,32.6,31.969,31.819,32.238,30.534,31.334,29.837,30.006,28.717,30.658,30.309,28.281,28.843,28.073,28.426,28.713,27.895,28.724,28.442,29.02,29.299,28.814,29.215
885,B,False,39.648,39.534,39.952,39.835,40.197,40.269,40.729,40.805,41.079,41.189,41.156,40.908,41.524,41.177,40.307,39.884,39.199,38.976,38.803,38.573,38.902,38.794,38.924,38.753,39.359,39.196,39.881,40.504,40.709,40.753,40.791,40.751,40.505,41.248,41.007,41.264,41.312,40.583,40.841,40.369,40.672,40.423,40.55,41.165,40.406,40.465,40.657,41.322,41.283,41.681,41.49,41.671,41.35,41.763,42.272,42.592,43.014,43.29,43.592,43.915
886,B,False,85.464,83.357,80.256,88.632,78.111,74.474,76.279,74.933,78.516,74.098,76.817,73.686,72.84,71.937,74.203,72.291,73.71,75.698,77.853,75.239,75.81,70.644,73.666,70.013,74.551,70.825,70.542,71.027,75.688,64.571,67.843,63.4,65.897,64.521,64.228,66.424,64.237,66.366,68.825,63.112,65.515,64.582,67.015,65.545,63.557,61.383,63.275,63.498,65.373,66.41,64.347,64.154,64.198,65.417,66.246,66.846,65.777,68.172,67.679,66.778
887,B,False,47.887,48.303,48.152,48.484,48.368,47.561,47.62,47.413,47.329,46.879,45.875,45.883,45.346,46.138,45.392,46.256,46.821,47.739,48.627,49.672,51.168,51.605,52.768,53.009,53.104,52.396,50.44,50.409,49.002,49.007,48.39,47.283,47.587,47.219,47.719,47.92,47.646,47.329,47.459,47.546,47.519,47.87,49.366,49.496,49.25,49.622,49.992,50.058,50.416,50.545,51.11,51.218,51.191,51.07,50.845,51.325,51.016,51.088,51.294,50.895
888,B,True,68.97,68.575,68.133,68.111,69.36,68.313,68.228,67.887,67.906,66.993,67.955,68.225,68.37,68.883,68.926,69.074,68.191,69.578,70.14,69.605,69.522,69.563,69.928,70.087,70.135,69.993,69.449,70.036,70.117,70.742,71.52,71.286,72.53,71.012,72.043,72.206,73.109,74.697,75.477,75.102,75.421,74.856,75.081,75.081,75.315,73.345,72.615,71.868,69.856,69.862,67.882,67.475,67.575,67.494,68.296,68.178,68.781,69.192,70.192,69.619
889,B,False,30.758,30.716,31.726,30.354,30.08,30.953,32.113,31.381,31.401,30.33,30.793,30.888,31.801,31.231,32.457,32.394,31.611,31.565,31.002,31.259,31.165,31.058,31.415,31.393,30.999,30.805,31.113,30.853,30.736,30.998,31.876,31.894,32.013,32.117,32.348,32.16,32.06,32.027,32.142,31.556,31.919,32.349,32.512,32.86,32.953,33.426,33.385,33.988,33.612,33.691,33.219,32.891,33.051,33.243,33.189,34.337,33.555,33.636,35.076,34.241
890,B,False,29.565,29.557,29.478,29.614,29.922,30.274,30.284,30.725,30.958,31.101,31.377,31.895,32.057,31.768,31.798,31.55,30.86,31.31,31.116,30.977,30.3,29.945,29.717,30.185,30.475,30.062,29.891,30.117,29.991,30.574,30.877,31.072,31.568,31.239,31.273,30.76,31.395,31.095,30.988,30.961,30.419,30.572,30.833,30.251,30.157,30.216,30.235,30.57,30.684,30.645,31.03,31.288,31.433,31.624,32.315,32.612,33.028,33.137,33.202,33.804
891,B,False,73.966,73.823,72.363,73.058,72.356,72.948,72.835,73.152,72.814,71.354,70.043,68.958,69.035,68.194,68.923,69.01,68.824,68.725,68.734,69.09,68.45,68.178,69.794,69.224,69.886,69.287,69.497,70.671,71.571,69.325,69.071,70.251,69.518,70.774,69.209,70.296,70.61,68.759,68.115,67.119,65.959,67.239,66.485,66.62,66.604,67.617,56.809,64.888,66.278,66.039,65.444,66.238,65.777,66.257,66.249,67.65,67.693,69.539,69.107,69.267
