TSS_mean,TSS_std,SSW_mean,SSW_std,kernel,C,gamma,degree,coef0,tol,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.001,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.001,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.001,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.01,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.01,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.01,3,1,0.0001,
0.4258614014711576,0.03321179679847387,0.4258614014711576,0.03321179679847387,sigmoid,0.01,0.1,3,-1,0.0001,
0.017034456058846303,0.03165034018476127,0.017034456058846303,0.03165034018476127,sigmoid,0.01,0.1,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.1,3,1,0.0001,
0.34079558652729386,0.10728531034019886,0.34079558652729386,0.10728531034019886,sigmoid,0.01,1,3,-1,0.0001,
0.16077235772357726,0.06311713193091846,0.16077235772357726,0.06311713193091846,sigmoid,0.01,1,3,0,0.0001,
0.07945218737901664,0.056336150604147026,0.07945218737901664,0.056336150604147026,sigmoid,0.01,1,3,1,0.0001,
0.11065621370499419,0.05529379272763938,0.11065621370499419,0.05529379272763938,sigmoid,0.01,10,3,-1,0.0001,
0.09921602787456443,0.05371050371115554,0.09921602787456443,0.05371050371115554,sigmoid,0.01,10,3,0,0.0001,
0.07965543941153695,0.056101939249898064,0.07965543941153695,0.056101939249898064,sigmoid,0.01,10,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.01,1e-05,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.01,1e-05,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.01,1e-05,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.0001,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.0001,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.0001,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.001,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.001,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.001,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.01,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.01,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.01,3,1,0.001,
0.4266550522648084,0.035087536465661866,0.4266550522648084,0.035087536465661866,sigmoid,0.01,0.1,3,-1,0.001,
0.017034456058846303,0.03165034018476127,0.017034456058846303,0.03165034018476127,sigmoid,0.01,0.1,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.1,3,1,0.001,
0.3412020905923346,0.10751236607941675,0.3412020905923346,0.10751236607941675,sigmoid,0.01,1,3,-1,0.001,
0.16097560975609757,0.0635194234413157,0.16097560975609757,0.0635194234413157,sigmoid,0.01,1,3,0,0.001,
0.07945218737901664,0.056336150604147026,0.07945218737901664,0.056336150604147026,sigmoid,0.01,1,3,1,0.001,
0.11065621370499419,0.05529379272763938,0.11065621370499419,0.05529379272763938,sigmoid,0.01,10,3,-1,0.001,
0.09921602787456443,0.05371050371115554,0.09921602787456443,0.05371050371115554,sigmoid,0.01,10,3,0,0.001,
0.07965543941153695,0.056101939249898064,0.07965543941153695,0.056101939249898064,sigmoid,0.01,10,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.1,1e-05,3,-1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.1,1e-05,3,0,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.1,1e-05,3,1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.1,0.0001,3,-1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.1,0.0001,3,0,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.1,0.0001,3,1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.1,0.001,3,-1,1e-05,
0.0031746031746031746,0.00634920634920635,0.0031746031746031746,0.00634920634920635,sigmoid,0.1,0.001,3,0,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.1,0.001,3,1,1e-05,
0.12806813782423537,0.04081568633958136,0.12806813782423537,0.04081568633958136,sigmoid,0.1,0.01,3,-1,1e-05,
0.2875241966705381,0.051119030371010774,0.2875241966705381,0.051119030371010774,sigmoid,0.1,0.01,3,0,1e-05,
0.08107820363917925,0.02953121868962694,0.08107820363917925,0.02953121868962694,sigmoid,0.1,0.01,3,1,1e-05,
0.47312233836624074,0.045406604164896607,0.47312233836624074,0.045406604164896607,sigmoid,0.1,0.1,3,-1,1e-05,
0.3834301200154858,0.04528477476674373,0.3834301200154858,0.04528477476674373,sigmoid,0.1,0.1,3,0,1e-05,
0.3167344173441734,0.04787499692992606,0.3167344173441734,0.04787499692992606,sigmoid,0.1,0.1,3,1,1e-05,
0.2784165698799845,0.05989127045349746,0.2784165698799845,0.05989127045349746,sigmoid,0.1,1,3,-1,1e-05,
0.262137049941928,0.06271273931540379,0.262137049941928,0.06271273931540379,sigmoid,0.1,1,3,0,1e-05,
0.25135501355013545,0.0668662335872626,0.25135501355013545,0.0668662335872626,sigmoid,0.1,1,3,1,1e-05,
0.31011420828493996,0.0759358350089007,0.31011420828493996,0.0759358350089007,sigmoid,0.1,10,3,-1,1e-05,
0.2822396438250096,0.08354684428121999,0.2822396438250096,0.08354684428121999,sigmoid,0.1,10,3,0,1e-05,
0.29548006194347654,0.06347605257247704,0.29548006194347654,0.06347605257247704,sigmoid,0.1,10,3,1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.1,1e-05,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.1,1e-05,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.1,1e-05,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.1,0.0001,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.1,0.0001,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.1,0.0001,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.1,0.001,3,-1,0.0001,
0.0031746031746031746,0.00634920634920635,0.0031746031746031746,0.00634920634920635,sigmoid,0.1,0.001,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.1,0.001,3,1,0.0001,
0.12806813782423537,0.04081568633958136,0.12806813782423537,0.04081568633958136,sigmoid,0.1,0.01,3,-1,0.0001,
0.2875241966705381,0.051119030371010774,0.2875241966705381,0.051119030371010774,sigmoid,0.1,0.01,3,0,0.0001,
0.08107820363917925,0.02953121868962694,0.08107820363917925,0.02953121868962694,sigmoid,0.1,0.01,3,1,0.0001,
0.47312233836624074,0.045406604164896607,0.47312233836624074,0.045406604164896607,sigmoid,0.1,0.1,3,-1,0.0001,
0.3834301200154858,0.04528477476674373,0.3834301200154858,0.04528477476674373,sigmoid,0.1,0.1,3,0,0.0001,
0.3167344173441734,0.04787499692992606,0.3167344173441734,0.04787499692992606,sigmoid,0.1,0.1,3,1,0.0001,
0.2784165698799845,0.05989127045349746,0.2784165698799845,0.05989127045349746,sigmoid,0.1,1,3,-1,0.0001,
0.262137049941928,0.06271273931540379,0.262137049941928,0.06271273931540379,sigmoid,0.1,1,3,0,0.0001,
0.25135501355013545,0.0668662335872626,0.25135501355013545,0.0668662335872626,sigmoid,0.1,1,3,1,0.0001,
0.31011420828493996,0.0759358350089007,0.31011420828493996,0.0759358350089007,sigmoid,0.1,10,3,-1,0.0001,
0.2822396438250096,0.08354684428121999,0.2822396438250096,0.08354684428121999,sigmoid,0.1,10,3,0,0.0001,
0.29548006194347654,0.06347605257247704,0.29548006194347654,0.06347605257247704,sigmoid,0.1,10,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.1,1e-05,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.1,1e-05,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.1,1e-05,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.1,0.0001,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.1,0.0001,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.1,0.0001,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.1,0.001,3,-1,0.001,
0.0031746031746031746,0.00634920634920635,0.0031746031746031746,0.00634920634920635,sigmoid,0.1,0.001,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.1,0.001,3,1,0.001,
0.12806813782423537,0.04081568633958136,0.12806813782423537,0.04081568633958136,sigmoid,0.1,0.01,3,-1,0.001,
0.2875241966705381,0.051119030371010774,0.2875241966705381,0.051119030371010774,sigmoid,0.1,0.01,3,0,0.001,
0.08107820363917925,0.02953121868962694,0.08107820363917925,0.02953121868962694,sigmoid,0.1,0.01,3,1,0.001,
0.47312233836624074,0.045406604164896607,0.47312233836624074,0.045406604164896607,sigmoid,0.1,0.1,3,-1,0.001,
0.3834301200154858,0.04528477476674373,0.3834301200154858,0.04528477476674373,sigmoid,0.1,0.1,3,0,0.001,
0.3167344173441734,0.04787499692992606,0.3167344173441734,0.04787499692992606,sigmoid,0.1,0.1,3,1,0.001,
0.2784165698799845,0.05989127045349746,0.2784165698799845,0.05989127045349746,sigmoid,0.1,1,3,-1,0.001,
0.262137049941928,0.06271273931540379,0.262137049941928,0.06271273931540379,sigmoid,0.1,1,3,0,0.001,
0.25135501355013545,0.0668662335872626,0.25135501355013545,0.0668662335872626,sigmoid,0.1,1,3,1,0.001,
0.31011420828493996,0.0759358350089007,0.31011420828493996,0.0759358350089007,sigmoid,0.1,10,3,-1,0.001,
0.2822396438250096,0.08354684428121999,0.2822396438250096,0.08354684428121999,sigmoid,0.1,10,3,0,0.001,
0.29548006194347654,0.06347605257247704,0.29548006194347654,0.06347605257247704,sigmoid,0.1,10,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,1,1e-05,3,-1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,1,1e-05,3,0,1e-05,
0.0,0.0,0.0,0.0,sigmoid,1,1e-05,3,1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,1,0.0001,3,-1,1e-05,
0.0031746031746031746,0.00634920634920635,0.0031746031746031746,0.00634920634920635,sigmoid,1,0.0001,3,0,1e-05,
0.0,0.0,0.0,0.0,sigmoid,1,0.0001,3,1,1e-05,
0.10545876887340302,0.03690305483554701,0.10545876887340302,0.03690305483554701,sigmoid,1,0.001,3,-1,1e-05,
0.2818041037553232,0.052968711680688015,0.2818041037553232,0.052968711680688015,sigmoid,1,0.001,3,0,1e-05,
0.10763646922183508,0.0381949471524509,0.10763646922183508,0.0381949471524509,sigmoid,1,0.001,3,1,1e-05,
0.4171699574138598,0.05004284806102611,0.4171699574138598,0.05004284806102611,sigmoid,1,0.01,3,-1,1e-05,
0.49550909794812237,0.06363674228342826,0.49550909794812237,0.06363674228342826,sigmoid,1,0.01,3,0,1e-05,
0.5183217189314752,0.0705560248694273,0.5183217189314752,0.0705560248694273,sigmoid,1,0.01,3,1,1e-05,
0.4366337591947348,0.058634144515034306,0.4366337591947348,0.058634144515034306,sigmoid,1,0.1,3,-1,1e-05,
0.37267711962833916,0.08532739094246732,0.37267711962833916,0.08532739094246732,sigmoid,1,0.1,3,0,1e-05,
0.41546651180797517,0.10223465219898899,0.41546651180797517,0.10223465219898899,sigmoid,1,0.1,3,1,1e-05,
0.2680991095625242,0.06325804582836407,0.2680991095625242,0.06325804582836407,sigmoid,1,1,3,-1,1e-05,
0.2752419667053813,0.06840494605636466,0.2752419667053813,0.06840494605636466,sigmoid,1,1,3,0,1e-05,
0.23891792489353464,0.07195861353584249,0.23891792489353464,0.07195861353584249,sigmoid,1,1,3,1,1e-05,
0.29638017808749517,0.06957506859755909,0.29638017808749517,0.06957506859755909,sigmoid,1,10,3,-1,1e-05,
0.2625048393341077,0.08222202452887449,0.2625048393341077,0.08222202452887449,sigmoid,1,10,3,0,1e-05,
0.26347270615563295,0.07726632810323034,0.26347270615563295,0.07726632810323034,sigmoid,1,10,3,1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,1,1e-05,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,1,1e-05,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,1,1e-05,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,1,0.0001,3,-1,0.0001,
0.0031746031746031746,0.00634920634920635,0.0031746031746031746,0.00634920634920635,sigmoid,1,0.0001,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,1,0.0001,3,1,0.0001,
0.10545876887340302,0.03690305483554701,0.10545876887340302,0.03690305483554701,sigmoid,1,0.001,3,-1,0.0001,
0.2818041037553232,0.052968711680688015,0.2818041037553232,0.052968711680688015,sigmoid,1,0.001,3,0,0.0001,
0.10763646922183508,0.0381949471524509,0.10763646922183508,0.0381949471524509,sigmoid,1,0.001,3,1,0.0001,
0.4171699574138598,0.05004284806102611,0.4171699574138598,0.05004284806102611,sigmoid,1,0.01,3,-1,0.0001,
0.49550909794812237,0.06363674228342826,0.49550909794812237,0.06363674228342826,sigmoid,1,0.01,3,0,0.0001,
0.5183217189314752,0.0705560248694273,0.5183217189314752,0.0705560248694273,sigmoid,1,0.01,3,1,0.0001,
0.4366337591947348,0.058634144515034306,0.4366337591947348,0.058634144515034306,sigmoid,1,0.1,3,-1,0.0001,
0.37267711962833916,0.08532739094246732,0.37267711962833916,0.08532739094246732,sigmoid,1,0.1,3,0,0.0001,
0.41546651180797517,0.10223465219898899,0.41546651180797517,0.10223465219898899,sigmoid,1,0.1,3,1,0.0001,
0.2680991095625242,0.06325804582836407,0.2680991095625242,0.06325804582836407,sigmoid,1,1,3,-1,0.0001,
