,FLARE_TYPE,COINCIDENCE,MEANGBT_1,MEANGBT_2,MEANGBT_3,MEANGBT_4,MEANGBT_5,MEANGBT_6,MEANGBT_7,MEANGBT_8,MEANGBT_9,MEANGBT_10,MEANGBT_11,MEANGBT_12,MEANGBT_13,MEANGBT_14,MEANGBT_15,MEANGBT_16,MEANGBT_17,MEANGBT_18,MEANGBT_19,MEANGBT_20,MEANGBT_21,MEANGBT_22,MEANGBT_23,MEANGBT_24,MEANGBT_25,MEANGBT_26,MEANGBT_27,MEANGBT_28,MEANGBT_29,MEANGBT_30,MEANGBT_31,MEANGBT_32,MEANGBT_33,MEANGBT_34,MEANGBT_35,MEANGBT_36,MEANGBT_37,MEANGBT_38,MEANGBT_39,MEANGBT_40,MEANGBT_41,MEANGBT_42,MEANGBT_43,MEANGBT_44,MEANGBT_45,MEANGBT_46,MEANGBT_47,MEANGBT_48,MEANGBT_49,MEANGBT_50,MEANGBT_51,MEANGBT_52,MEANGBT_53,MEANGBT_54,MEANGBT_55,MEANGBT_56,MEANGBT_57,MEANGBT_58,MEANGBT_59,MEANGBT_60,MEANGBT_61,MEANGBT_62,MEANGBT_63,MEANGBT_64,MEANGBT_65,MEANGBT_66,MEANGBT_67,MEANGBT_68,MEANGBT_69,MEANGBT_70
819,B,False,51.138,51.48,51.978,51.447,52.164,51.625,51.586,51.809,51.371,52.498,52.693,53.209,53.841,54.712,54.098,53.485,53.327,53.893,56.685,56.767,56.047,57.416,57.544,58.656,59.341,58.178,59.432,59.403,61.04,60.452,61.078,62.225,59.347,59.292,59.31,59.642,59.756,58.964,58.855,58.328,59.105,58.653,58.814,58.998,60.094,59.169,59.995,59.145,60.641,60.194,59.943,60.079,59.894,58.861,59.32,59.113,59.13,59.065,59.819,59.522,58.569,58.942,58.355,59.862,59.683,59.769,59.743,60.537,58.663,59.04
820,B,False,113.17,111.09,108.7,109.6,108.64,108.17,110.68,111.26,110.66,109.71,107.19,105.04,105.7,104.12,102.42,103.11,103.61,102.23,102.59,102.52,102.35,103.47,103.72,105.21,104.42,103.76,102.97,102.9,102.84,103.58,103.21,104.12,106.41,107.56,106.82,108.1,107.36,107.61,109.62,110.13,109.82,109.8,110.13,109.35,110.44,110.41,108.65,106.48,104.63,104.83,104.33,102.63,101.11,98.838,96.633,95.469,95.023,94.566,94.132,94.904,94.579,94.457,93.881,95.782,96.186,97.081,96.492,97.036,99.248,99.299
821,B,False,92.459,90.736,90.223,90.82,89.353,87.954,88.7,86.773,86.102,85.731,86.926,86.893,87.375,89.163,88.721,88.731,89.586,89.599,89.862,90.145,90.846,89.966,91.294,91.524,91.858,91.555,90.495,91.825,90.765,91.498,88.894,89.308,89.276,87.887,87.063,85.266,86.617,86.061,84.439,82.286,82.915,81.539,80.504,79.939,81.681,79.831,80.125,79.098,78.854,81.868,84.398,82.578,81.381,82.987,81.167,82.602,82.959,81.142,85.34,80.528,80.749,83.978,81.448,85.954,80.806,79.982,81.685,83.604,82.808,84.988
822,B,False,101.72,101.45,98.742,98.96,98.416,96.361,97.978,97.45,98.024,98.751,99.754,99.542,99.256,98.684,100.37,102.17,102.8,103.24,105.0,103.2,102.84,104.35,102.97,102.44,98.543,98.629,99.328,97.099,98.139,99.537,97.554,96.592,98.103,97.836,99.779,98.769,98.02,97.516,98.141,98.059,97.8,98.212,99.537,100.02,99.97,99.844,99.696,101.58,104.74,103.67,104.17,103.12,101.73,101.64,101.32,99.333,99.018,96.256,95.767,93.518,91.862,90.88,89.57,87.738,88.215,87.718,87.594,86.406,86.342,87.025
823,B,False,136.71,135.13,136.68,137.98,138.71,139.33,141.08,144.54,145.53,146.21,150.22,149.86,149.99,148.33,148.33,144.59,143.56,144.23,141.25,142.2,138.72,136.5,135.39,134.16,133.67,133.19,132.59,133.55,134.17,135.24,135.66,136.76,138.58,138.75,139.8,138.51,136.44,131.13,130.23,128.15,126.6,123.93,125.73,124.65,122.8,124.53,126.11,124.15,123.04,123.43,121.41,122.35,120.92,120.53,120.86,120.03,120.85,121.02,118.23,118.97,118.87,118.81,121.17,120.8,121.08,120.46,119.82,121.19,122.95,125.18
824,B,False,83.812,83.401,83.591,82.875,82.739,82.752,82.63,82.053,82.234,82.273,81.662,80.989,80.523,80.552,80.755,80.975,81.301,80.321,81.036,79.642,80.235,80.033,80.507,81.311,80.65,80.877,81.241,81.334,81.984,82.425,82.295,83.171,84.77,84.651,85.748,86.782,86.998,85.968,85.496,85.672,83.236,82.541,82.168,81.331,81.363,80.041,80.279,79.652,78.672,78.471,79.177,80.212,79.75,80.538,81.008,81.383,81.991,83.037,82.96,83.866,83.336,83.04,82.181,81.738,82.601,81.336,81.313,79.944,79.264,78.697
825,B,False,109.5,107.4,107.19,105.48,102.39,105.08,110.38,107.96,107.94,104.4,104.92,95.4,101.99,103.14,103.03,105.64,106.36,108.5,110.39,114.15,114.86,114.67,118.45,121.4,118.4,117.49,116.55,119.28,118.8,117.69,117.45,116.07,112.29,111.99,114.34,112.92,110.76,105.29,105.25,104.58,104.03,102.67,103.08,105.55,105.91,107.53,107.3,109.19,107.49,106.12,106.88,105.48,104.4,103.66,99.633,98.059,96.637,92.849,95.02,93.09,91.531,93.368,93.093,93.482,93.458,94.054,92.463,92.648,93.416,94.132
826,B,False,141.53,143.84,142.71,140.23,139.14,138.93,135.83,136.55,134.02,134.13,136.69,135.78,134.63,130.74,130.59,130.25,133.63,133.03,136.02,140.13,141.46,143.74,146.26,146.98,145.96,143.43,141.8,140.04,140.01,137.55,133.57,131.46,128.63,128.93,129.13,132.93,132.93,130.98,130.2,130.45,131.65,128.62,128.28,127.04,126.17,127.54,127.69,128.07,127.55,128.72,128.45,128.46,126.34,127.33,128.48,126.38,125.69,124.85,124.83,124.56,125.95,126.97,129.28,129.3,129.99,128.78,130.6,131.99,135.67,136.72
827,B,False,106.19,105.82,107.36,106.09,105.38,107.14,107.76,107.08,106.9,105.34,106.04,104.59,103.43,103.59,103.49,103.21,101.83,101.68,100.95,99.064,97.864,98.664,97.31,96.903,97.546,95.839,96.617,96.243,96.992,96.427,95.141,94.79,93.348,93.292,94.236,94.22,93.296,93.448,93.519,94.722,94.469,95.147,91.537,93.092,94.683,95.431,94.897,95.527,94.249,95.077,95.07,94.886,96.733,97.417,97.77,99.825,100.71,101.35,100.77,102.04,100.68,100.25,101.13,99.156,99.472,97.979,99.226,97.844,97.294,95.417
828,B,True,65.206,67.706,72.184,78.396,66.234,72.089,64.684,68.571,70.435,73.069,80.04,67.099,76.629,70.213,68.395,77.144,73.882,66.611,70.696,71.568,74.19,73.855,70.764,64.74,63.738,67.226,58.637,69.265,66.76,68.755,67.827,66.791,67.279,61.969,59.237,61.703,64.511,60.021,59.006,57.265,56.196,56.227,60.411,56.798,60.584,62.126,57.2,58.064,61.385,62.152,60.737,61.335,58.172,57.675,62.308,55.629,63.937,65.986,59.725,58.796,55.824,61.202,58.36,58.876,59.357,60.736,60.319,61.445,56.898,61.56
829,B,False,127.0,122.14,121.74,118.11,120.56,123.97,123.84,127.3,124.11,122.96,123.26,123.93,121.33,122.61,123.92,126.78,125.79,124.14,124.15,121.65,120.16,116.3,114.37,117.71,116.44,114.33,114.39,115.85,115.2,114.52,114.81,115.47,114.75,114.33,117.46,116.1,115.79,114.39,115.26,114.19,115.1,112.09,112.01,111.54,107.93,109.0,107.48,105.76,105.8,104.31,103.41,102.34,101.34,99.72,101.94,101.69,101.78,102.3,102.69,102.4,101.71,99.94,99.463,99.481,98.911,97.807,98.455,98.982,99.564,98.405
830,B,False,81.118,80.432,83.418,83.275,82.821,81.234,80.325,81.076,80.874,81.032,80.835,80.958,80.645,79.346,80.105,80.185,80.04,78.709,77.092,76.15,75.749,73.617,73.432,72.839,72.397,71.929,72.827,71.402,72.67,71.554,74.34,74.354,73.928,77.161,76.358,77.573,77.452,77.96,76.425,79.008,77.807,77.999,79.292,78.586,77.45,77.472,76.756,76.024,75.442,76.264,73.974,74.349,73.621,73.518,73.732,73.553,72.684,71.969,71.757,69.812,71.145,70.181,71.768,71.965,71.547,72.598,72.763,74.537,73.415,71.801
831,B,True,101.68,101.5,101.96,102.99,102.1,103.56,103.41,103.13,101.95,103.66,103.67,104.04,102.37,102.24,103.49,102.88,102.35,102.98,103.32,102.88,102.65,103.37,101.5,101.7,101.9,100.36,99.52,97.592,97.492,97.661,97.236,97.122,95.683,95.909,96.641,95.726,96.276,96.91,98.345,99.881,100.63,103.08,104.66,105.62,107.47,107.3,106.55,105.17,104.52,101.95,101.41,99.609,99.479,97.903,97.161,96.974,96.665,97.249,96.438,97.116,97.391,96.91,97.535,98.697,98.651,98.692,98.677,98.533,98.272,98.156
